Date,FBCJX
2024-10-14,215.9600067138672
2024-10-15,213.8699951171875
2024-10-16,214.8000030517578
2024-10-17,214.6300048828125
2024-10-18,216.22999572753906
2024-10-21,217.47000122070312
2024-10-22,217.49000549316406
2024-10-23,214.02999877929688
2024-10-24,214.83999633789062
2024-10-25,216.08999633789062
2024-10-28,216.83999633789062
2024-10-29,218.49000549316406
2024-10-30,217.58999633789062
2024-10-31,211.2100067138672
2024-11-01,213.5
2024-11-04,212.5800018310547
2024-11-05,215.94000244140625
2024-11-06,220.60000610351562
2024-11-07,225.5399932861328
2024-11-08,225.7100067138672
2024-11-11,225.11000061035156
2024-11-12,225.4600067138672
2024-11-13,224.6300048828125
2024-11-14,223.6999969482422
2024-11-15,219.16000366210938
2024-11-18,219.9600067138672
2024-11-19,223.0
2024-11-20,222.77999877929688
2024-11-21,223.0399932861328
