Date,NFFFX
2022-02-28,76.75
2022-03-01,75.62999725341797
2022-03-02,76.19999694824219
2022-03-03,75.04000091552734
2022-03-04,73.11000061035156
2022-03-07,70.33000183105469
2022-03-08,70.38999938964844
2022-03-09,72.68000030517578
2022-03-10,72.26000213623047
2022-03-11,71.11000061035156
2022-03-14,69.98999786376953
2022-03-15,70.19000244140625
2022-03-16,73.48999786376953
2022-03-17,74.9800033569336
2022-03-18,75.95999908447266
2022-03-21,75.33999633789062
2022-03-22,76.31999969482422
2022-03-23,75.80999755859375
2022-03-24,76.63999938964844
2022-03-25,76.06999969482422
2022-03-28,76.4000015258789
2022-03-29,77.87999725341797
2022-03-30,77.86000061035156
2022-03-31,76.8499984741211
2022-04-01,77.69999694824219
2022-04-04,78.77999877929688
2022-04-05,77.38999938964844
2022-04-06,76.08000183105469
2022-04-07,75.87000274658203
2022-04-08,75.62999725341797
2022-04-11,74.30999755859375
2022-04-12,74.06999969482422
2022-04-13,74.87000274658203
2022-04-14,74.33999633789062
2022-04-18,74.1500015258789
2022-04-19,74.37999725341797
2022-04-20,74.2300033569336
2022-04-21,73.0199966430664
2022-04-22,71.55000305175781
2022-04-25,71.22000122070312
2022-04-26,69.4000015258789
2022-04-27,69.97000122070312
2022-04-28,71.23999786376953
2022-04-29,70.19999694824219
2022-05-02,70.27999877929688
2022-05-03,70.56999969482422
2022-05-04,71.51000213623047
2022-05-05,69.22000122070312
2022-05-06,68.02999877929688
2022-05-09,65.61000061035156
2022-05-10,66.05999755859375
2022-05-11,65.6500015258789
2022-05-12,65.54000091552734
2022-05-13,67.33999633789062
2022-05-16,67.23999786376953
2022-05-17,68.83000183105469
2022-05-18,67.18000030517578
2022-05-19,67.5199966430664
2022-05-20,68.22000122070312
2022-05-23,68.91999816894531
2022-05-24,67.9800033569336
2022-05-25,68.12999725341797
2022-05-26,69.12999725341797
2022-05-27,70.55999755859375
2022-05-31,70.7699966430664
2022-06-01,70.02999877929688
2022-06-02,71.52999877929688
2022-06-03,70.63999938964844
2022-06-06,71.0
2022-06-07,71.30999755859375
2022-06-08,70.80000305175781
2022-06-09,69.20999908447266
2022-06-10,67.70999908447266
2022-06-13,65.22000122070312
2022-06-14,65.16999816894531
2022-06-15,66.19000244140625
2022-06-16,64.1500015258789
2022-06-17,64.51000213623047
2022-06-21,65.69999694824219
2022-06-22,64.98999786376953
2022-06-23,65.18000030517578
2022-06-24,67.0199966430664
2022-06-27,66.94999694824219
2022-06-28,66.18000030517578
2022-06-29,65.91999816894531
2022-06-30,65.44999694824219
2022-07-01,65.55000305175781
2022-07-05,65.33000183105469
2022-07-06,65.19000244140625
2022-07-07,66.30000305175781
2022-07-08,66.23999786376953
2022-07-11,65.01000213623047
2022-07-12,64.56999969482422
2022-07-13,64.52999877929688
2022-07-14,64.16999816894531
