Date,RFNHX
2022-02-28,69.93000030517578
2022-03-01,68.86000061035156
2022-03-02,70.12000274658203
2022-03-03,69.47000122070312
2022-03-04,68.70999908447266
2022-03-07,66.48999786376953
2022-03-08,66.2300033569336
2022-03-09,68.11000061035156
2022-03-10,67.83000183105469
2022-03-11,66.88999938964844
2022-03-14,66.2699966430664
2022-03-15,67.48999786376953
2022-03-16,69.0
2022-03-17,70.0199966430664
2022-03-18,70.86000061035156
2022-03-21,70.61000061035156
2022-03-22,71.33999633789062
2022-03-23,70.38999938964844
2022-03-24,71.33000183105469
2022-03-25,71.4800033569336
2022-03-28,71.69999694824219
2022-03-29,72.70999908447266
2022-03-30,72.26000213623047
2022-03-31,71.20999908447266
2022-04-01,71.62999725341797
2022-04-04,72.19999694824219
2022-04-05,71.19999694824219
2022-04-06,70.62000274658203
2022-04-07,70.83999633789062
2022-04-08,70.69999694824219
2022-04-11,69.83000183105469
2022-04-12,69.55000305175781
2022-04-13,70.4000015258789
2022-04-14,69.7300033569336
2022-04-18,69.63999938964844
2022-04-19,70.55999755859375
2022-04-20,70.45999908447266
2022-04-21,69.19000244140625
2022-04-22,67.41000366210938
2022-04-25,67.54000091552734
2022-04-26,65.75
2022-04-27,65.93000030517578
2022-04-28,67.36000061035156
2022-04-29,65.41999816894531
2022-05-02,65.83000183105469
2022-05-03,66.18000030517578
2022-05-04,67.86000061035156
2022-05-05,65.75
2022-05-06,65.22000122070312
2022-05-09,62.86000061035156
2022-05-10,63.040000915527344
2022-05-11,62.43000030517578
2022-05-12,62.540000915527344
2022-05-13,64.25
2022-05-16,64.18000030517578
2022-05-17,65.44000244140625
2022-05-18,63.130001068115234
2022-05-19,62.939998626708984
2022-05-20,63.08000183105469
2022-05-23,63.939998626708984
2022-05-24,63.540000915527344
2022-05-25,64.12999725341797
2022-05-26,65.33000183105469
2022-05-27,66.7699966430664
2022-05-31,66.26000213623047
2022-06-01,65.7699966430664
2022-06-02,66.87000274658203
2022-06-03,65.9800033569336
2022-06-06,66.18000030517578
2022-06-07,66.75
2022-06-08,65.97000122070312
2022-06-09,64.41999816894531
2022-06-10,62.66999816894531
2022-06-13,60.13999938964844
2022-06-14,59.83000183105469
2022-06-15,59.27000045776367
2022-06-16,57.31999969482422
2022-06-17,57.349998474121094
2022-06-21,58.56999969482422
2022-06-22,58.25
2022-06-23,58.52000045776367
2022-06-24,60.25
2022-06-27,60.279998779296875
2022-06-28,59.41999816894531
2022-06-29,59.15999984741211
2022-06-30,58.599998474121094
2022-07-01,59.04999923706055
