Date,CAIFX
2022-02-28,68.37999725341797
2022-03-01,67.58000183105469
2022-03-02,68.23999786376953
2022-03-03,67.94999694824219
2022-03-04,67.4800033569336
2022-03-07,66.16000366210938
2022-03-08,65.86000061035156
2022-03-09,66.94000244140625
2022-03-10,66.69000244140625
2022-03-11,66.23999786376953
2022-03-14,65.54000091552734
2022-03-15,65.97000122070312
2022-03-16,66.7699966430664
2022-03-17,67.5
2022-03-18,67.73999786376953
2022-03-21,67.68000030517578
2022-03-22,68.0
2022-03-23,67.61000061035156
2022-03-24,68.12000274658203
2022-03-25,68.33000183105469
2022-03-28,68.3499984741211
2022-03-29,68.94999694824219
2022-03-30,69.0199966430664
2022-03-31,68.37999725341797
2022-04-01,68.79000091552734
2022-04-04,68.87999725341797
2022-04-05,68.47000122070312
2022-04-06,68.5199966430664
2022-04-07,68.54000091552734
2022-04-08,68.69999694824219
2022-04-11,68.16999816894531
2022-04-12,68.05000305175781
2022-04-13,68.41000366210938
2022-04-14,68.12000274658203
2022-04-18,68.01000213623047
2022-04-19,68.26000213623047
2022-04-20,68.69999694824219
2022-04-21,68.1500015258789
2022-04-22,67.1500015258789
2022-04-25,66.98999786376953
2022-04-26,66.05000305175781
2022-04-27,66.18000030517578
2022-04-28,66.83999633789062
2022-04-29,65.61000061035156
2022-05-02,65.44999694824219
2022-05-03,65.9000015258789
2022-05-04,66.98999786376953
2022-05-05,65.76000213623047
2022-05-06,65.44999694824219
2022-05-09,64.27999877929688
2022-05-10,64.2300033569336
2022-05-11,64.22000122070312
2022-05-12,64.13999938964844
2022-05-13,65.0199966430664
2022-05-16,65.2699966430664
2022-05-17,66.05000305175781
2022-05-18,64.91999816894531
2022-05-19,64.66999816894531
2022-05-20,64.97000122070312
2022-05-23,65.5199966430664
2022-05-24,65.81999969482422
2022-05-25,66.22000122070312
2022-05-26,66.62000274658203
2022-05-27,67.33999633789062
2022-05-31,67.12000274658203
2022-06-01,66.68000030517578
2022-06-02,67.22000122070312
2022-06-03,66.72000122070312
2022-06-06,66.75
2022-06-07,67.20999908447266
2022-06-08,66.5199966430664
2022-06-09,65.51000213623047
2022-06-10,64.45999908447266
2022-06-13,62.2599983215332
2022-06-14,61.7599983215332
2022-06-15,62.43000030517578
2022-06-16,61.279998779296875
2022-06-17,61.060001373291016
2022-06-21,62.02000045776367
2022-06-22,61.869998931884766
2022-06-23,61.939998626708984
2022-06-24,63.0099983215332
2022-06-27,63.09000015258789
2022-06-28,62.84000015258789
2022-06-29,62.70000076293945
2022-06-30,62.459999084472656
2022-07-01,62.83000183105469
2022-07-05,62.130001068115234
2022-07-06,61.959999084472656
2022-07-07,62.470001220703125
2022-07-08,62.45000076293945
2022-07-11,62.09000015258789
2022-07-12,61.91999816894531
2022-07-13,61.709999084472656
2022-07-14,61.20000076293945
2022-07-15,61.939998626708984
2022-07-18,61.810001373291016
2022-07-19,62.77000045776367
2022-07-20,62.529998779296875
2022-07-21,62.81999969482422
2022-07-22,62.880001068115234
2022-07-25,63.16999816894531
2022-07-26,62.970001220703125
2022-07-27,63.59000015258789
2022-07-28,63.9900016784668
2022-07-29,64.18000030517578
2022-08-01,64.16000366210938
2022-08-02,63.72999954223633
2022-08-03,64.06999969482422
2022-08-04,64.0199966430664
2022-08-05,63.939998626708984
2022-08-08,64.05999755859375
2022-08-09,64.06999969482422
2022-08-10,64.72000122070312
2022-08-11,64.76000213623047
2022-08-12,65.31999969482422
2022-08-15,65.3499984741211
2022-08-16,65.43000030517578
2022-08-17,65.06999969482422
2022-08-18,65.0999984741211
2022-08-19,64.69999694824219
2022-08-22,63.90999984741211
2022-08-23,63.84000015258789
2022-08-24,63.880001068115234
2022-08-25,64.47000122070312
2022-08-26,63.43000030517578
2022-08-29,63.20000076293945
2022-08-30,62.689998626708984
2022-08-31,62.36000061035156
2022-09-01,62.209999084472656
2022-09-02,62.040000915527344
2022-09-06,61.779998779296875
2022-09-07,62.36000061035156
2022-09-08,62.540000915527344
2022-09-09,63.2400016784668
2022-09-12,63.279998779296875
2022-09-13,61.7400016784668
2022-09-14,61.81999969482422
2022-09-15,61.43000030517578
2022-09-16,61.31999969482422
2022-09-19,61.470001220703125
2022-09-20,60.91999816894531
2022-09-21,60.369998931884766
2022-09-22,60.029998779296875
2022-09-23,58.849998474121094
2022-09-26,57.9900016784668
2022-09-27,57.709999084472656
2022-09-28,58.540000915527344
2022-09-29,57.79999923706055
2022-09-30,57.34000015258789
2022-10-03,58.4900016784668
2022-10-04,59.790000915527344
2022-10-05,59.529998779296875
2022-10-06,58.689998626708984
2022-10-07,57.97999954223633
2022-10-10,57.650001525878906
2022-10-11,57.45000076293945
2022-10-12,57.279998779296875
2022-10-13,58.11000061035156
2022-10-14,57.369998931884766
2022-10-17,58.2400016784668
2022-10-18,58.650001525878906
2022-10-19,58.220001220703125
2022-10-20,57.83000183105469
2022-10-21,58.619998931884766
2022-10-24,58.88999938964844
2022-10-25,59.5
2022-10-26,59.849998474121094
2022-10-27,59.95000076293945
2022-10-28,60.66999816894531
2022-10-31,60.41999816894531
2022-11-01,60.650001525878906
2022-11-02,59.93000030517578
2022-11-03,59.65999984741211
2022-11-04,60.65999984741211
2022-11-07,60.93000030517578
2022-11-08,61.279998779296875
2022-11-09,60.709999084472656
2022-11-10,62.630001068115234
2022-11-11,62.91999816894531
2022-11-14,62.599998474121094
2022-11-15,63.04999923706055
2022-11-16,62.95000076293945
2022-11-17,62.83000183105469
2022-11-18,63.08000183105469
2022-11-21,63.11000061035156
2022-11-22,63.709999084472656
