Date,PRUFX
2022-02-28,89.87999725341797
2022-03-01,87.94000244140625
2022-03-02,88.5199966430664
2022-03-03,86.5
2022-03-04,84.30000305175781
2022-03-07,80.16999816894531
2022-03-08,79.93000030517578
2022-03-09,83.44999694824219
2022-03-10,82.70999908447266
2022-03-11,80.66000366210938
2022-03-14,78.77999877929688
2022-03-15,81.20999908447266
2022-03-16,84.91000366210938
2022-03-17,86.23999786376953
2022-03-18,88.54000091552734
2022-03-21,87.81999969482422
2022-03-22,89.7300033569336
2022-03-23,88.62999725341797
2022-03-24,90.31999969482422
2022-03-25,89.6500015258789
2022-03-28,91.04000091552734
2022-03-29,93.29000091552734
2022-03-30,92.05000305175781
2022-03-31,90.37999725341797
2022-04-01,90.62999725341797
2022-04-04,92.58000183105469
2022-04-05,90.41999816894531
2022-04-06,87.94000244140625
2022-04-07,87.79000091552734
2022-04-08,86.5199966430664
2022-04-11,84.81999969482422
2022-04-12,84.29000091552734
2022-04-13,86.19000244140625
2022-04-14,84.4800033569336
2022-04-18,84.18000030517578
2022-04-19,86.18000030517578
2022-04-20,84.48999786376953
2022-04-21,82.12000274658203
2022-04-22,79.61000061035156
2022-04-25,80.7699966430664
2022-04-26,77.55999755859375
2022-04-27,77.66000366210938
2022-04-28,80.45999908447266
2022-04-29,76.56999969482422
2022-05-02,77.5999984741211
2022-05-03,77.36000061035156
2022-05-04,79.79000091552734
2022-05-05,75.62999725341797
2022-05-06,74.3499984741211
2022-05-09,70.62000274658203
2022-05-10,71.16999816894531
2022-05-11,69.16999816894531
2022-05-12,69.33999633789062
2022-05-13,72.3499984741211
2022-05-16,71.12000274658203
2022-05-17,73.04000091552734
2022-05-18,69.69999694824219
2022-05-19,70.01000213623047
2022-05-20,69.79000091552734
2022-05-23,70.7699966430664
2022-05-24,68.47000122070312
2022-05-25,69.70999908447266
2022-05-26,71.6500015258789
2022-05-27,74.0
2022-05-31,73.77999877929688
2022-06-01,73.27999877929688
2022-06-02,75.54000091552734
2022-06-03,73.55999755859375
2022-06-06,73.91999816894531
2022-06-07,74.56999969482422
2022-06-08,74.26000213623047
2022-06-09,72.0999984741211
2022-06-10,69.31999969482422
2022-06-13,66.01000213623047
2022-06-14,66.06999969482422
2022-06-15,68.04000091552734
2022-06-16,65.23999786376953
2022-06-17,66.11000061035156
2022-06-21,67.79000091552734
2022-06-22,67.7300033569336
2022-06-23,69.16000366210938
2022-06-24,71.6500015258789
2022-06-27,70.80000305175781
2022-06-28,68.44000244140625
2022-06-29,68.56999969482422
2022-06-30,67.41999816894531
2022-07-01,68.19999694824219
2022-07-05,69.66000366210938
2022-07-06,69.94999694824219
2022-07-07,71.43000030517578
2022-07-08,71.38999938964844
2022-07-11,69.81999969482422
2022-07-12,68.69000244140625
2022-07-13,68.5199966430664
2022-07-14,68.38999938964844
2022-07-15,69.87000274658203
2022-07-18,69.4800033569336
2022-07-19,71.63999938964844
2022-07-20,73.04000091552734
2022-07-21,74.26000213623047
2022-07-22,72.5
2022-07-25,72.11000061035156
2022-07-26,70.3499984741211
2022-07-27,73.18000030517578
2022-07-28,74.30999755859375
2022-07-29,75.94000244140625
2022-08-01,75.79000091552734
2022-08-02,75.6500015258789
2022-08-03,77.55000305175781
2022-08-04,78.01000213623047
2022-08-05,77.76000213623047
2022-08-08,77.6500015258789
2022-08-09,76.79000091552734
2022-08-10,79.01000213623047
2022-08-11,78.58999633789062
2022-08-12,80.06999969482422
2022-08-15,80.30999755859375
2022-08-16,80.30999755859375
2022-08-17,79.2699966430664
2022-08-18,79.30000305175781
2022-08-19,77.73999786376953
2022-08-22,75.62000274658203
2022-08-23,75.41000366210938
2022-08-24,75.79000091552734
2022-08-25,76.9800033569336
2022-08-26,73.97000122070312
2022-08-29,73.26000213623047
2022-08-30,72.55000305175781
2022-08-31,72.04000091552734
2022-09-01,71.94999694824219
2022-09-02,71.1500015258789
2022-09-06,70.80999755859375
2022-09-07,72.26000213623047
2022-09-08,72.88999938964844
2022-09-09,74.48999786376953
2022-09-12,75.5999984741211
2022-09-13,71.87000274658203
2022-09-14,72.37000274658203
2022-09-15,71.48999786376953
2022-09-16,70.73999786376953
2022-09-19,70.97000122070312
2022-09-20,70.13999938964844
2022-09-21,68.73999786376953
2022-09-22,67.87000274658203
2022-09-23,66.83999633789062
2022-09-26,66.63999938964844
2022-09-27,66.69999694824219
2022-09-28,68.05000305175781
2022-09-29,66.16000366210938
2022-09-30,65.19999694824219
2022-10-03,66.5
2022-10-04,69.13999938964844
2022-10-05,69.12000274658203
2022-10-06,68.70999908447266
2022-10-07,66.0999984741211
2022-10-10,65.0999984741211
2022-10-11,64.30000305175781
2022-10-12,64.30999755859375
2022-10-13,65.37999725341797
2022-10-14,63.220001220703125
2022-10-17,65.58999633789062
2022-10-18,66.30000305175781
2022-10-19,65.8499984741211
2022-10-20,65.66999816894531
2022-10-21,67.2300033569336
2022-10-24,67.79000091552734
2022-10-25,69.45999908447266
2022-10-26,67.88999938964844
2022-10-27,67.0
2022-10-28,68.27999877929688
2022-10-31,67.76000213623047
2022-11-01,66.62000274658203
2022-11-02,64.33000183105469
2022-11-03,63.150001525878906
2022-11-04,63.689998626708984
2022-11-07,64.26000213623047
2022-11-08,64.6500015258789
2022-11-09,62.7599983215332
2022-11-10,67.61000061035156
2022-11-11,68.66999816894531
2022-11-14,67.9000015258789
2022-11-15,68.91999816894531
2022-11-16,68.05000305175781
2022-11-17,67.55000305175781
2022-11-18,67.5199966430664
2022-11-21,66.66000366210938
2022-11-22,67.62000274658203
