Date,TRSAX
2022-02-28,87.16999816894531
2022-03-01,85.27999877929688
2022-03-02,85.8499984741211
2022-03-03,83.88999938964844
2022-03-04,81.75
2022-03-07,77.75
2022-03-08,77.51000213623047
2022-03-09,80.91999816894531
2022-03-10,80.19999694824219
2022-03-11,78.20999908447266
2022-03-14,76.38999938964844
2022-03-15,78.73999786376953
2022-03-16,82.33000183105469
2022-03-17,83.62000274658203
2022-03-18,85.83999633789062
2022-03-21,85.1500015258789
2022-03-22,87.0
2022-03-23,85.93000030517578
2022-03-24,87.55999755859375
2022-03-25,86.91999816894531
2022-03-28,88.26000213623047
2022-03-29,90.44999694824219
2022-03-30,89.23999786376953
2022-03-31,87.62000274658203
2022-04-01,87.86000061035156
2022-04-04,89.75
2022-04-05,87.6500015258789
2022-04-06,85.25
2022-04-07,85.0999984741211
2022-04-08,83.87000274658203
2022-04-11,82.22000122070312
2022-04-12,81.70999908447266
2022-04-13,83.55000305175781
2022-04-14,81.88999938964844
2022-04-18,81.58999633789062
2022-04-19,83.52999877929688
2022-04-20,81.88999938964844
2022-04-21,79.58999633789062
2022-04-22,77.16000366210938
2022-04-25,78.27999877929688
2022-04-26,75.16999816894531
2022-04-27,75.2699966430664
2022-04-28,77.9800033569336
2022-04-29,74.19999694824219
2022-05-02,75.19999694824219
2022-05-03,74.97000122070312
2022-05-04,77.31999969482422
2022-05-05,73.29000091552734
2022-05-06,72.05000305175781
2022-05-09,68.43000030517578
2022-05-10,68.97000122070312
2022-05-11,67.0199966430664
2022-05-12,67.19000244140625
2022-05-13,70.0999984741211
2022-05-16,68.91000366210938
2022-05-17,70.7699966430664
2022-05-18,67.52999877929688
2022-05-19,67.83000183105469
2022-05-20,67.62000274658203
2022-05-23,68.56999969482422
2022-05-24,66.33999633789062
2022-05-25,67.52999877929688
2022-05-26,69.41000366210938
2022-05-27,71.69000244140625
2022-05-31,71.4800033569336
2022-06-01,70.98999786376953
2022-06-02,73.18000030517578
2022-06-03,71.26000213623047
2022-06-06,71.61000061035156
2022-06-07,72.23999786376953
2022-06-08,71.94000244140625
2022-06-09,69.83999633789062
2022-06-10,67.1500015258789
2022-06-13,63.939998626708984
2022-06-14,64.0
2022-06-15,65.91000366210938
2022-06-16,63.20000076293945
2022-06-17,64.02999877929688
2022-06-21,65.66000366210938
2022-06-22,65.5999984741211
2022-06-23,66.9800033569336
2022-06-24,69.4000015258789
2022-06-27,68.56999969482422
2022-06-28,66.29000091552734
2022-06-29,66.41000366210938
2022-06-30,65.30000305175781
2022-07-01,66.05000305175781
2022-07-05,67.45999908447266
2022-07-06,67.73999786376953
2022-07-07,69.16999816894531
2022-07-08,69.12999725341797
2022-07-11,67.61000061035156
2022-07-12,66.5199966430664
2022-07-13,66.3499984741211
2022-07-14,66.2300033569336
2022-07-15,67.66000366210938
2022-07-18,67.27999877929688
2022-07-19,69.37000274658203
2022-07-20,70.72000122070312
2022-07-21,71.91000366210938
2022-07-22,70.19999694824219
2022-07-25,69.81999969482422
2022-07-26,68.12000274658203
2022-07-27,70.8499984741211
2022-07-28,71.94000244140625
2022-07-29,73.52999877929688
2022-08-01,73.37999725341797
2022-08-02,73.23999786376953
2022-08-03,75.08000183105469
2022-08-04,75.5199966430664
2022-08-05,75.27999877929688
2022-08-08,75.16999816894531
2022-08-09,74.33999633789062
2022-08-10,76.48999786376953
2022-08-11,76.08999633789062
2022-08-12,77.51000213623047
2022-08-15,77.73999786376953
2022-08-16,77.73999786376953
2022-08-17,76.73999786376953
2022-08-18,76.7699966430664
2022-08-19,75.25
2022-08-22,73.19999694824219
2022-08-23,72.98999786376953
2022-08-24,73.36000061035156
2022-08-25,74.51000213623047
2022-08-26,71.5999984741211
2022-08-29,70.91000366210938
2022-08-30,70.22000122070312
2022-08-31,69.72000122070312
2022-09-01,69.63999938964844
2022-09-02,68.87000274658203
2022-09-06,68.52999877929688
2022-09-07,69.94000244140625
2022-09-08,70.54000091552734
2022-09-09,72.08999633789062
2022-09-12,73.16000366210938
2022-09-13,69.55000305175781
2022-09-14,70.04000091552734
2022-09-15,69.18000030517578
2022-09-16,68.45999908447266
2022-09-19,68.68000030517578
2022-09-20,67.87000274658203
2022-09-21,66.5199966430664
2022-09-22,65.68000030517578
2022-09-23,64.66999816894531
2022-09-26,64.4800033569336
2022-09-27,64.54000091552734
2022-09-28,65.83999633789062
2022-09-29,64.01000213623047
2022-09-30,63.08000183105469
2022-10-03,64.33999633789062
2022-10-04,66.9000015258789
2022-10-05,66.87999725341797
2022-10-06,66.4800033569336
2022-10-07,63.95000076293945
2022-10-10,62.97999954223633
2022-10-11,62.209999084472656
2022-10-12,62.220001220703125
2022-10-13,63.25
2022-10-14,61.15999984741211
2022-10-17,63.45000076293945
2022-10-18,64.13999938964844
2022-10-19,63.709999084472656
2022-10-20,63.529998779296875
2022-10-21,65.02999877929688
2022-10-24,65.56999969482422
2022-10-25,67.19000244140625
2022-10-26,65.66999816894531
2022-10-27,64.80999755859375
2022-10-28,66.05000305175781
2022-10-31,65.54000091552734
2022-11-01,64.44000244140625
2022-11-02,62.220001220703125
2022-11-03,61.08000183105469
2022-11-04,61.599998474121094
2022-11-07,62.150001525878906
2022-11-08,62.529998779296875
2022-11-09,60.70000076293945
2022-11-10,65.37999725341797
2022-11-11,66.41999816894531
2022-11-14,65.66999816894531
2022-11-15,66.66000366210938
2022-11-16,65.80999755859375
2022-11-17,65.33000183105469
2022-11-18,65.30000305175781
2022-11-21,64.47000122070312
2022-11-22,65.38999938964844
2022-11-23,66.1500015258789
