Date,RGAHX
2022-02-28,63.720001220703125
2022-03-01,62.61000061035156
2022-03-02,63.540000915527344
2022-03-03,62.29999923706055
2022-03-04,61.279998779296875
2022-03-07,58.880001068115234
2022-03-08,58.86000061035156
2022-03-09,61.0099983215332
2022-03-10,60.68000030517578
2022-03-11,59.380001068115234
2022-03-14,58.38999938964844
2022-03-15,59.880001068115234
2022-03-16,62.130001068115234
2022-03-17,63.279998779296875
2022-03-18,64.56999969482422
2022-03-21,64.16999816894531
2022-03-22,65.43000030517578
2022-03-23,64.54000091552734
2022-03-24,65.41999816894531
2022-03-25,65.2699966430664
2022-03-28,66.1500015258789
2022-03-29,67.33999633789062
2022-03-30,66.66999816894531
2022-03-31,65.62000274658203
2022-04-01,65.98999786376953
2022-04-04,67.0999984741211
2022-04-05,65.72000122070312
2022-04-06,64.38999938964844
2022-04-07,64.55000305175781
2022-04-08,64.06999969482422
2022-04-11,62.86000061035156
2022-04-12,62.63999938964844
2022-04-13,63.869998931884766
2022-04-14,62.83000183105469
2022-04-18,62.709999084472656
2022-04-19,63.95000076293945
2022-04-20,62.93000030517578
2022-04-21,61.709999084472656
2022-04-22,60.209999084472656
2022-04-25,60.560001373291016
2022-04-26,58.130001068115234
2022-04-27,58.2400016784668
2022-04-28,59.779998779296875
2022-04-29,57.7400016784668
2022-05-02,58.47999954223633
2022-05-03,58.630001068115234
2022-05-04,60.33000183105469
2022-05-05,57.599998474121094
2022-05-06,56.790000915527344
2022-05-09,53.959999084472656
2022-05-10,54.349998474121094
2022-05-11,53.09000015258789
2022-05-12,53.25
2022-05-13,55.2400016784668
2022-05-16,54.56999969482422
2022-05-17,55.869998931884766
2022-05-18,53.54999923706055
2022-05-19,53.709999084472656
2022-05-20,53.5
2022-05-23,54.16999816894531
2022-05-24,52.939998626708984
2022-05-25,53.75
2022-05-26,55.189998626708984
2022-05-27,56.849998474121094
2022-05-31,56.540000915527344
2022-06-01,56.02000045776367
2022-06-02,57.439998626708984
2022-06-03,56.18000030517578
2022-06-06,56.45000076293945
2022-06-07,56.93000030517578
2022-06-08,56.52000045776367
2022-06-09,55.11000061035156
2022-06-10,53.369998931884766
2022-06-13,50.90999984741211
2022-06-14,50.810001373291016
2022-06-15,51.84000015258789
2022-06-16,49.720001220703125
2022-06-17,50.099998474121094
2022-06-21,51.34000015258789
2022-06-22,51.209999084472656
2022-06-23,51.720001220703125
2022-06-24,53.40999984741211
2022-06-27,53.209999084472656
2022-06-28,52.060001373291016
2022-06-29,51.880001068115234
2022-06-30,51.220001220703125
2022-07-01,51.65999984741211
2022-07-05,52.099998474121094
2022-07-06,52.08000183105469
2022-07-07,53.18000030517578
2022-07-08,53.16999816894531
2022-07-11,52.119998931884766
2022-07-12,51.56999969482422
2022-07-13,51.43000030517578
2022-07-14,51.119998931884766
2022-07-15,52.16999816894531
2022-07-18,52.029998779296875
2022-07-19,53.529998779296875
2022-07-20,54.13999938964844
2022-07-21,54.95000076293945
2022-07-22,54.0099983215332
2022-07-25,54.0099983215332
2022-07-26,53.06999969482422
2022-07-27,54.849998474121094
2022-07-28,55.4900016784668
2022-07-29,56.439998626708984
2022-08-01,56.310001373291016
2022-08-02,56.15999984741211
2022-08-03,57.2599983215332
2022-08-04,57.470001220703125
2022-08-05,57.279998779296875
2022-08-08,57.439998626708984
2022-08-09,56.81999969482422
2022-08-10,58.40999984741211
2022-08-11,58.27000045776367
2022-08-12,59.36000061035156
2022-08-15,59.5099983215332
2022-08-16,59.470001220703125
2022-08-17,58.7400016784668
2022-08-18,58.880001068115234
2022-08-19,57.81999969482422
2022-08-22,56.560001373291016
2022-08-23,56.630001068115234
2022-08-24,56.95000076293945
2022-08-25,57.81999969482422
2022-08-26,55.86000061035156
2022-08-29,55.470001220703125
2022-08-30,54.84000015258789
2022-08-31,54.529998779296875
2022-09-01,54.38999938964844
2022-09-02,53.90999984741211
2022-09-06,53.66999816894531
2022-09-07,54.689998626708984
2022-09-08,55.290000915527344
2022-09-09,56.45000076293945
2022-09-12,57.029998779296875
2022-09-13,54.59000015258789
2022-09-14,54.97999954223633
2022-09-15,54.54999923706055
2022-09-16,53.959999084472656
2022-09-19,54.31999969482422
2022-09-20,53.650001525878906
2022-09-21,52.630001068115234
2022-09-22,51.849998474121094
2022-09-23,50.7599983215332
2022-09-26,50.27000045776367
2022-09-27,50.40999984741211
2022-09-28,51.650001525878906
2022-09-29,50.45000076293945
2022-09-30,49.86000061035156
2022-10-03,50.790000915527344
2022-10-04,52.66999816894531
2022-10-05,52.52000045776367
2022-10-06,52.209999084472656
2022-10-07,50.54999923706055
2022-10-10,49.9900016784668
2022-10-11,49.33000183105469
2022-10-12,49.369998931884766
2022-10-13,50.2599983215332
2022-10-14,48.810001373291016
2022-10-17,50.349998474121094
2022-10-18,50.84000015258789
2022-10-19,50.47999954223633
2022-10-20,50.11000061035156
2022-10-21,51.25
2022-10-24,51.54999923706055
2022-10-25,52.68000030517578
2022-10-26,52.189998626708984
2022-10-27,51.650001525878906
2022-10-28,52.45000076293945
2022-10-31,52.13999938964844
2022-11-01,51.95000076293945
2022-11-02,50.380001068115234
2022-11-03,49.9900016784668
2022-11-04,50.630001068115234
2022-11-07,50.959999084472656
2022-11-08,51.209999084472656
2022-11-09,49.95000076293945
2022-11-10,53.040000915527344
2022-11-11,53.880001068115234
2022-11-14,53.2599983215332
2022-11-15,53.959999084472656
2022-11-16,53.220001220703125
2022-11-17,52.77000045776367
2022-11-18,52.83000183105469
2022-11-21,52.22999954223633
2022-11-22,52.900001525878906
