Date,VIGRX
2022-02-28,142.8000030517578
2022-03-01,140.63999938964844
2022-03-02,142.86000061035156
2022-03-03,140.64999389648438
2022-03-04,138.27000427246094
2022-03-07,132.74000549316406
2022-03-08,132.16000366210938
2022-03-09,137.1999969482422
2022-03-10,136.00999450683594
2022-03-11,133.25
2022-03-14,130.8800048828125
2022-03-15,134.97000122070312
2022-03-16,139.75
2022-03-17,141.67999267578125
2022-03-18,144.8300018310547
2022-03-21,144.07000732421875
2022-03-22,146.63999938964844
2022-03-23,144.47000122070312
2022-03-24,147.1999969482422
2022-03-25,146.99000549316406
2022-03-28,149.35000610351562
2022-03-29,152.27999877929688
2022-03-30,150.49000549316406
2022-03-31,148.0500030517578
2022-04-01,148.5500030517578
2022-04-04,151.33999633789062
2022-04-05,148.3300018310547
2022-04-06,144.83999633789062
2022-04-07,145.27999877929688
2022-04-08,143.57000732421875
2022-04-11,140.1999969482422
2022-04-12,139.52999877929688
2022-04-13,142.16000366210938
2022-04-14,139.16000366210938
2022-04-18,138.92999267578125
2022-04-19,142.07000732421875
2022-04-20,140.5
2022-04-21,137.58999633789062
2022-04-22,133.64999389648438
2022-04-25,135.32000732421875
2022-04-26,130.02000427246094
2022-04-27,130.32000732421875
2022-04-28,134.8699951171875
2022-04-29,129.0500030517578
2022-05-02,130.63999938964844
2022-05-03,130.61000061035156
2022-05-04,134.85000610351562
2022-05-05,128.0399932861328
2022-05-06,126.31999969482422
2022-05-09,120.7300033569336
2022-05-10,121.7699966430664
2022-05-11,118.13999938964844
2022-05-12,117.98999786376953
2022-05-13,122.44999694824219
2022-05-16,120.83000183105469
2022-05-17,123.7699966430664
2022-05-18,117.93000030517578
2022-05-19,117.88999938964844
2022-05-20,117.68000030517578
2022-05-23,119.87000274658203
2022-05-24,117.06999969482422
2022-05-25,118.6500015258789
2022-05-26,121.88999938964844
2022-05-27,126.13999938964844
2022-05-31,125.48999786376953
2022-06-01,124.55000305175781
2022-06-02,128.41000366210938
2022-06-03,125.19999694824219
2022-06-06,125.7300033569336
2022-06-07,126.83999633789062
2022-06-08,125.83999633789062
2022-06-09,122.44000244140625
2022-06-10,117.77999877929688
2022-06-13,112.37999725341797
2022-06-14,112.41000366210938
2022-06-15,115.23999786376953
2022-06-16,110.66000366210938
2022-06-17,111.94000244140625
2022-06-21,114.69999694824219
2022-06-22,114.62000274658203
2022-06-23,116.73999786376953
2022-06-24,120.94000244140625
2022-06-27,119.8499984741211
2022-06-28,116.0199966430664
2022-06-29,116.26000213623047
2022-06-30,114.70999908447266
2022-07-01,115.91999816894531
2022-07-05,117.88999938964844
2022-07-06,118.4800033569336
2022-07-07,120.91999816894531
2022-07-08,120.9000015258789
2022-07-11,118.6500015258789
2022-07-12,117.06999969482422
2022-07-13,116.7699966430664
2022-07-14,116.91999816894531
2022-07-15,119.0999984741211
2022-07-18,118.08999633789062
2022-07-19,121.8499984741211
2022-07-20,123.75
2022-07-21,125.72000122070312
2022-07-22,123.47000122070312
2022-07-25,122.80000305175781
2022-07-26,120.30999755859375
2022-07-27,125.25
2022-07-28,127.19000244140625
2022-07-29,129.75
2022-08-01,129.52999877929688
2022-08-02,129.05999755859375
2022-08-03,132.3000030517578
2022-08-04,132.92999267578125
2022-08-05,132.27999877929688
2022-08-08,131.94000244140625
2022-08-09,130.5
2022-08-10,134.38999938964844
2022-08-11,133.5500030517578
2022-08-12,136.25
2022-08-15,137.1199951171875
2022-08-16,136.99000549316406
2022-08-17,135.64999389648438
2022-08-18,135.77999877929688
2022-08-19,133.10000610351562
2022-08-22,129.67999267578125
2022-08-23,129.35000610351562
2022-08-24,129.8000030517578
2022-08-25,132.0
2022-08-26,126.66999816894531
2022-08-29,125.41999816894531
2022-08-30,124.0999984741211
2022-08-31,123.2300033569336
2022-09-01,123.23999786376953
2022-09-02,121.66000366210938
2022-09-06,121.08999633789062
2022-09-07,123.7300033569336
2022-09-08,124.55999755859375
2022-09-09,127.0999984741211
2022-09-12,128.72999572753906
2022-09-13,122.06999969482422
2022-09-14,122.8499984741211
2022-09-15,120.80000305175781
2022-09-16,119.66999816894531
2022-09-19,120.55000305175781
2022-09-20,119.33999633789062
2022-09-21,117.13999938964844
2022-09-22,115.37000274658203
2022-09-23,113.5
2022-09-26,112.7300033569336
2022-09-27,112.80000305175781
2022-09-28,115.01000213623047
2022-09-29,111.98999786376953
2022-09-30,110.1500015258789
2022-10-03,112.75
2022-10-04,116.51000213623047
2022-10-05,116.4000015258789
2022-10-06,115.55999755859375
2022-10-07,111.26000213623047
2022-10-10,110.02999877929688
2022-10-11,108.56999969482422
2022-10-12,108.4000015258789
2022-10-13,110.75
2022-10-14,107.33000183105469
2022-10-17,111.18000030517578
2022-10-18,112.33999633789062
2022-10-19,111.56999969482422
2022-10-20,110.77999877929688
2022-10-21,113.2300033569336
2022-10-24,114.33000183105469
2022-10-25,117.04000091552734
2022-10-26,114.54000091552734
2022-10-27,112.9000015258789
2022-10-28,115.97000122070312
2022-10-31,114.69999694824219
2022-11-01,113.55999755859375
2022-11-02,109.45999908447266
2022-11-03,107.31999969482422
2022-11-04,108.69000244140625
2022-11-07,109.7699966430664
2022-11-08,110.37999725341797
2022-11-09,107.56999969482422
2022-11-10,116.13999938964844
2022-11-11,118.43000030517578
2022-11-14,116.95999908447266
2022-11-15,118.68000030517578
2022-11-16,117.31999969482422
2022-11-17,116.47000122070312
2022-11-18,116.5199966430664
2022-11-21,115.33999633789062
2022-11-22,117.0
2022-11-23,118.2300033569336
2022-11-25,117.7699966430664
