Date,CIRFX
2022-02-28,68.4000015258789
2022-03-01,67.5999984741211
2022-03-02,68.26000213623047
2022-03-03,67.95999908447266
2022-03-04,67.5
2022-03-07,66.16999816894531
2022-03-08,65.87000274658203
2022-03-09,66.94999694824219
2022-03-10,66.69999694824219
2022-03-11,66.25
2022-03-14,65.56999969482422
2022-03-15,66.0
2022-03-16,66.80000305175781
2022-03-17,67.52999877929688
2022-03-18,67.7699966430664
2022-03-21,67.70999908447266
2022-03-22,68.02999877929688
2022-03-23,67.63999938964844
2022-03-24,68.1500015258789
2022-03-25,68.36000061035156
2022-03-28,68.37999725341797
2022-03-29,68.9800033569336
2022-03-30,69.05000305175781
2022-03-31,68.41000366210938
2022-04-01,68.81999969482422
2022-04-04,68.91000366210938
2022-04-05,68.5
2022-04-06,68.55000305175781
2022-04-07,68.56999969482422
2022-04-08,68.7300033569336
2022-04-11,68.19000244140625
2022-04-12,68.08000183105469
2022-04-13,68.44000244140625
2022-04-14,68.13999938964844
2022-04-18,68.02999877929688
2022-04-19,68.27999877929688
2022-04-20,68.72000122070312
2022-04-21,68.18000030517578
2022-04-22,67.16999816894531
2022-04-25,67.01000213623047
2022-04-26,66.06999969482422
2022-04-27,66.19999694824219
2022-04-28,66.86000061035156
2022-04-29,65.62999725341797
2022-05-02,65.47000122070312
2022-05-03,65.91999816894531
2022-05-04,67.01000213623047
2022-05-05,65.77999877929688
2022-05-06,65.47000122070312
2022-05-09,64.30000305175781
2022-05-10,64.23999786376953
2022-05-11,64.2300033569336
2022-05-12,64.16000366210938
2022-05-13,65.04000091552734
2022-05-16,65.29000091552734
2022-05-17,66.05999755859375
2022-05-18,64.94000244140625
2022-05-19,64.69000244140625
2022-05-20,64.98999786376953
2022-05-23,65.52999877929688
2022-05-24,65.83999633789062
2022-05-25,66.2300033569336
2022-05-26,66.63999938964844
2022-05-27,67.36000061035156
2022-05-31,67.13999938964844
2022-06-01,66.69000244140625
2022-06-02,67.2300033569336
2022-06-03,66.7300033569336
2022-06-06,66.76000213623047
2022-06-07,67.22000122070312
2022-06-08,66.52999877929688
2022-06-09,65.5199966430664
2022-06-10,64.47000122070312
2022-06-13,62.290000915527344
2022-06-14,61.790000915527344
2022-06-15,62.45000076293945
2022-06-16,61.29999923706055
2022-06-17,61.08000183105469
2022-06-21,62.04999923706055
2022-06-22,61.88999938964844
2022-06-23,61.959999084472656
2022-06-24,63.040000915527344
2022-06-27,63.119998931884766
2022-06-28,62.86000061035156
2022-06-29,62.72999954223633
2022-06-30,62.47999954223633
2022-07-01,62.86000061035156
2022-07-05,62.15999984741211
2022-07-06,61.97999954223633
2022-07-07,62.4900016784668
2022-07-08,62.47999954223633
2022-07-11,62.11000061035156
2022-07-12,61.939998626708984
2022-07-13,61.7400016784668
2022-07-14,61.220001220703125
2022-07-15,61.959999084472656
2022-07-18,61.83000183105469
2022-07-19,62.790000915527344
2022-07-20,62.54999923706055
2022-07-21,62.84000015258789
2022-07-22,62.900001525878906
2022-07-25,63.189998626708984
2022-07-26,62.9900016784668
2022-07-27,63.61000061035156
2022-07-28,64.01000213623047
2022-07-29,64.19999694824219
2022-08-01,64.18000030517578
2022-08-02,63.75
2022-08-03,64.08999633789062
2022-08-04,64.04000091552734
2022-08-05,63.959999084472656
2022-08-08,64.08000183105469
2022-08-09,64.08000183105469
2022-08-10,64.73999786376953
2022-08-11,64.77999877929688
2022-08-12,65.33999633789062
2022-08-15,65.37000274658203
2022-08-16,65.44999694824219
2022-08-17,65.08999633789062
2022-08-18,65.12000274658203
2022-08-19,64.72000122070312
2022-08-22,63.91999816894531
2022-08-23,63.86000061035156
2022-08-24,63.900001525878906
2022-08-25,64.4800033569336
2022-08-26,63.45000076293945
2022-08-29,63.220001220703125
2022-08-30,62.70000076293945
2022-08-31,62.369998931884766
2022-09-01,62.220001220703125
2022-09-02,62.060001373291016
2022-09-06,61.79999923706055
2022-09-07,62.380001068115234
2022-09-08,62.560001373291016
2022-09-09,63.25
2022-09-12,63.310001373291016
2022-09-13,61.77000045776367
2022-09-14,61.849998474121094
2022-09-15,61.459999084472656
2022-09-16,61.349998474121094
2022-09-19,61.4900016784668
2022-09-20,60.95000076293945
2022-09-21,60.38999938964844
2022-09-22,60.060001373291016
2022-09-23,58.869998931884766
2022-09-26,58.0099983215332
2022-09-27,57.72999954223633
2022-09-28,58.560001373291016
2022-09-29,57.81999969482422
2022-09-30,57.369998931884766
2022-10-03,58.52000045776367
2022-10-04,59.810001373291016
2022-10-05,59.54999923706055
2022-10-06,58.720001220703125
2022-10-07,58.0
2022-10-10,57.66999816894531
2022-10-11,57.470001220703125
2022-10-12,57.29999923706055
2022-10-13,58.130001068115234
2022-10-14,57.38999938964844
2022-10-17,58.2599983215332
2022-10-18,58.66999816894531
2022-10-19,58.2400016784668
2022-10-20,57.849998474121094
2022-10-21,58.63999938964844
2022-10-24,58.900001525878906
2022-10-25,59.52000045776367
2022-10-26,59.869998931884766
2022-10-27,59.970001220703125
2022-10-28,60.689998626708984
2022-10-31,60.439998626708984
2022-11-01,60.66999816894531
2022-11-02,59.95000076293945
2022-11-03,59.68000030517578
2022-11-04,60.66999816894531
2022-11-07,60.95000076293945
2022-11-08,61.29999923706055
2022-11-09,60.72999954223633
2022-11-10,62.650001525878906
2022-11-11,62.93000030517578
2022-11-14,62.619998931884766
2022-11-15,63.06999969482422
2022-11-16,62.970001220703125
2022-11-17,62.849998474121094
2022-11-18,63.09000015258789
2022-11-21,63.130001068115234
2022-11-22,63.72999954223633
2022-11-23,64.0
