Date,RWMCX
2022-02-28,56.70000076293945
2022-03-01,55.93000030517578
2022-03-02,57.02000045776367
2022-03-03,56.90999984741211
2022-03-04,56.970001220703125
2022-03-07,55.68000030517578
2022-03-08,55.119998931884766
2022-03-09,56.22999954223633
2022-03-10,56.150001525878906
2022-03-11,55.619998931884766
2022-03-14,55.58000183105469
2022-03-15,56.43000030517578
2022-03-16,57.040000915527344
2022-03-17,57.70000076293945
2022-03-18,58.02000045776367
2022-03-21,58.08000183105469
2022-03-22,58.41999816894531
2022-03-23,57.849998474121094
2022-03-24,58.61000061035156
2022-03-25,58.970001220703125
2022-03-28,59.04999923706055
2022-03-29,59.41999816894531
2022-03-30,59.31999969482422
2022-03-31,58.47999954223633
2022-04-01,58.66999816894531
2022-04-04,58.779998779296875
2022-04-05,58.33000183105469
2022-04-06,58.27000045776367
2022-04-07,58.59000015258789
2022-04-08,58.70000076293945
2022-04-11,57.97999954223633
2022-04-12,57.81999969482422
2022-04-13,58.279998779296875
2022-04-14,57.84000015258789
2022-04-18,57.880001068115234
2022-04-19,58.459999084472656
2022-04-20,58.75
2022-04-21,57.970001220703125
2022-04-22,56.56999969482422
2022-04-25,56.689998626708984
2022-04-26,55.45000076293945
2022-04-27,55.779998779296875
2022-04-28,56.65999984741211
2022-04-29,54.93000030517578
2022-05-02,55.11000061035156
2022-05-03,55.47999954223633
2022-05-04,56.90999984741211
2022-05-05,55.40999984741211
2022-05-06,55.380001068115234
2022-05-09,53.849998474121094
2022-05-10,53.9900016784668
2022-05-11,53.5099983215332
2022-05-12,53.5099983215332
2022-05-13,54.41999816894531
2022-05-16,54.5
2022-05-17,55.43000030517578
2022-05-18,53.540000915527344
2022-05-19,53.18000030517578
2022-05-20,53.349998474121094
2022-05-23,54.08000183105469
2022-05-24,54.150001525878906
2022-05-25,54.56999969482422
2022-05-26,55.400001525878906
2022-05-27,56.45000076293945
2022-05-31,56.040000915527344
2022-06-01,55.63999938964844
2022-06-02,56.20000076293945
2022-06-03,55.619998931884766
2022-06-06,55.689998626708984
2022-06-07,56.310001373291016
2022-06-08,55.66999816894531
2022-06-09,54.540000915527344
2022-06-10,53.349998474121094
2022-06-13,51.619998931884766
2022-06-14,51.310001373291016
2022-06-15,50.099998474121094
2022-06-16,48.689998626708984
2022-06-17,48.540000915527344
2022-06-21,49.720001220703125
2022-06-22,49.61000061035156
2022-06-23,49.810001373291016
2022-06-24,51.040000915527344
2022-06-27,51.11000061035156
2022-06-28,50.4900016784668
2022-06-29,50.40999984741211
2022-06-30,50.18000030517578
2022-07-01,50.529998779296875
2022-07-05,50.06999969482422
2022-07-06,50.29999923706055
2022-07-07,50.880001068115234
2022-07-08,50.84000015258789
2022-07-11,50.41999816894531
2022-07-12,49.9900016784668
2022-07-13,49.70000076293945
2022-07-14,49.38999938964844
2022-07-15,50.33000183105469
2022-07-18,49.959999084472656
2022-07-19,51.18000030517578
2022-07-20,51.119998931884766
