Date,CNPAX
2022-02-28,57.25
2022-03-01,56.150001525878906
2022-03-02,56.93000030517578
2022-03-03,56.0
2022-03-04,54.869998931884766
2022-03-07,52.97999954223633
2022-03-08,53.0
2022-03-09,55.09000015258789
2022-03-10,54.56999969482422
2022-03-11,53.619998931884766
2022-03-14,53.16999816894531
2022-03-15,54.06999969482422
2022-03-16,56.08000183105469
2022-03-17,57.0
2022-03-18,57.959999084472656
2022-03-21,57.61000061035156
2022-03-22,58.56999969482422
2022-03-23,57.7599983215332
2022-03-24,58.47999954223633
2022-03-25,58.349998474121094
2022-03-28,59.040000915527344
2022-03-29,60.16999816894531
2022-03-30,59.81999969482422
2022-03-31,58.86000061035156
2022-04-01,59.25
2022-04-04,60.040000915527344
2022-04-05,58.970001220703125
2022-04-06,57.900001525878906
2022-04-07,58.11000061035156
2022-04-08,57.689998626708984
2022-04-11,56.61000061035156
2022-04-12,56.27000045776367
2022-04-13,57.189998626708984
2022-04-14,56.43000030517578
2022-04-18,56.27000045776367
2022-04-19,57.0099983215332
2022-04-20,56.66999816894531
2022-04-21,55.900001525878906
2022-04-22,54.689998626708984
2022-04-25,54.709999084472656
2022-04-26,52.689998626708984
2022-04-27,52.86000061035156
2022-04-28,53.93000030517578
2022-04-29,52.77000045776367
2022-05-02,53.119998931884766
2022-05-03,53.2400016784668
2022-05-04,54.47999954223633
2022-05-05,52.31999969482422
2022-05-06,51.52000045776367
2022-05-09,49.34000015258789
2022-05-10,49.720001220703125
2022-05-11,48.88999938964844
2022-05-12,48.959999084472656
2022-05-13,50.47999954223633
2022-05-16,50.13999938964844
2022-05-17,51.349998474121094
2022-05-18,49.529998779296875
2022-05-19,49.689998626708984
2022-05-20,49.7400016784668
2022-05-23,50.41999816894531
2022-05-24,49.619998931884766
2022-05-25,50.040000915527344
2022-05-26,51.09000015258789
2022-05-27,52.45000076293945
2022-05-31,52.33000183105469
2022-06-01,51.689998626708984
2022-06-02,52.939998626708984
2022-06-03,51.900001525878906
2022-06-06,52.119998931884766
2022-06-07,52.439998626708984
2022-06-08,52.029998779296875
2022-06-09,50.779998779296875
2022-06-10,49.349998474121094
2022-06-13,47.33000183105469
2022-06-14,47.13999938964844
2022-06-15,48.09000015258789
2022-06-16,46.47999954223633
2022-06-17,46.720001220703125
2022-06-21,47.689998626708984
2022-06-22,47.439998626708984
2022-06-23,47.65999984741211
2022-06-24,49.2599983215332
2022-06-27,49.150001525878906
2022-06-28,48.2599983215332
2022-06-29,48.150001525878906
2022-06-30,47.650001525878906
2022-07-01,47.88999938964844
2022-07-05,47.79999923706055
2022-07-06,47.779998779296875
2022-07-07,48.7599983215332
2022-07-08,48.790000915527344
2022-07-11,47.900001525878906
