Date,RMFAX
2022-02-28,50.7400016784668
2022-03-01,50.209999084472656
2022-03-02,51.06999969482422
2022-03-03,51.150001525878906
2022-03-04,51.22999954223633
2022-03-07,50.380001068115234
2022-03-08,49.72999954223633
2022-03-09,50.459999084472656
2022-03-10,50.369998931884766
2022-03-11,49.959999084472656
2022-03-14,49.97999954223633
2022-03-15,50.65999984741211
2022-03-16,51.04999923706055
2022-03-17,51.650001525878906
2022-03-18,51.810001373291016
2022-03-21,51.970001220703125
2022-03-22,52.18000030517578
2022-03-23,51.75
2022-03-24,52.22999954223633
2022-03-25,52.619998931884766
2022-03-28,52.689998626708984
2022-03-29,53.060001373291016
2022-03-30,52.9900016784668
2022-03-31,52.31999969482422
2022-04-01,52.540000915527344
2022-04-04,52.56999969482422
2022-04-05,52.34000015258789
2022-04-06,52.45000076293945
2022-04-07,52.75
2022-04-08,52.95000076293945
2022-04-11,52.34000015258789
2022-04-12,52.189998626708984
2022-04-13,52.439998626708984
2022-04-14,52.18000030517578
2022-04-18,52.060001373291016
2022-04-19,52.52000045776367
2022-04-20,52.970001220703125
2022-04-21,52.41999816894531
2022-04-22,51.2400016784668
2022-04-25,51.31999969482422
2022-04-26,50.439998626708984
2022-04-27,50.689998626708984
2022-04-28,51.38999938964844
2022-04-29,49.90999984741211
2022-05-02,49.880001068115234
2022-05-03,50.18000030517578
2022-05-04,51.369998931884766
2022-05-05,50.22999954223633
2022-05-06,50.25
2022-05-09,49.189998626708984
2022-05-10,49.09000015258789
2022-05-11,48.77000045776367
2022-05-12,48.81999969482422
2022-05-13,49.5
2022-05-16,49.65999984741211
2022-05-17,50.349998474121094
2022-05-18,48.90999984741211
2022-05-19,48.630001068115234
2022-05-20,48.790000915527344
2022-05-23,49.47999954223633
2022-05-24,49.689998626708984
2022-05-25,49.939998626708984
2022-05-26,50.439998626708984
2022-05-27,51.189998626708984
2022-05-31,50.849998474121094
2022-06-01,50.540000915527344
2022-06-02,51.040000915527344
2022-06-03,50.650001525878906
2022-06-06,50.66999816894531
2022-06-07,51.189998626708984
2022-06-08,50.599998474121094
2022-06-09,49.66999816894531
2022-06-10,48.81999969482422
2022-06-13,47.439998626708984
2022-06-14,47.0
2022-06-15,47.20000076293945
2022-06-16,46.09000015258789
2022-06-17,45.91999816894531
2022-06-21,46.95000076293945
2022-06-22,46.939998626708984
2022-06-23,47.130001068115234
2022-06-24,48.20000076293945
2022-06-27,48.2599983215332
2022-06-28,47.83000183105469
2022-06-29,47.83000183105469
2022-06-30,47.720001220703125
2022-07-01,48.15999984741211
2022-07-05,47.59000015258789
2022-07-06,47.720001220703125
2022-07-07,48.060001373291016
2022-07-08,48.040000915527344
2022-07-11,47.81999969482422
2022-07-12,47.439998626708984
2022-07-13,47.209999084472656
2022-07-14,46.900001525878906
2022-07-15,47.599998474121094
2022-07-18,47.220001220703125
2022-07-19,48.189998626708984
2022-07-20,48.119998931884766
2022-07-21,48.349998474121094
2022-07-22,48.2599983215332
2022-07-25,48.52000045776367
2022-07-26,48.310001373291016
2022-07-27,48.900001525878906
2022-07-28,49.34000015258789
2022-07-29,49.54999923706055
2022-08-01,49.380001068115234
2022-08-02,49.11000061035156
2022-08-03,49.54999923706055
2022-08-04,49.380001068115234
2022-08-05,49.45000076293945
2022-08-08,49.470001220703125
2022-08-09,49.52000045776367
2022-08-10,50.18000030517578
2022-08-11,50.25
2022-08-12,50.91999816894531
2022-08-15,51.06999969482422
2022-08-16,51.220001220703125
2022-08-17,50.97999954223633
2022-08-18,51.060001373291016
2022-08-19,50.75
2022-08-22,49.9900016784668
2022-08-23,49.83000183105469
2022-08-24,49.93000030517578
2022-08-25,50.400001525878906
2022-08-26,49.220001220703125
2022-08-29,49.02000045776367
2022-08-30,48.5099983215332
2022-08-31,48.220001220703125
2022-09-01,48.43000030517578
2022-09-02,48.0099983215332
2022-09-06,47.849998474121094
2022-09-07,48.54999923706055
2022-09-08,48.810001373291016
2022-09-09,49.34000015258789
2022-09-12,49.7599983215332
2022-09-13,48.15999984741211
2022-09-14,48.25
2022-09-15,47.86000061035156
2022-09-16,47.66999816894531
2022-09-19,47.88999938964844
2022-09-20,47.400001525878906
2022-09-21,46.84000015258789
2022-09-22,46.63999938964844
2022-09-23,45.900001525878906
2022-09-26,45.33000183105469
2022-09-27,45.099998474121094
2022-09-28,45.869998931884766
2022-09-29,45.15999984741211
2022-09-30,44.54999923706055
2022-10-03,45.720001220703125
2022-10-04,46.880001068115234
2022-10-05,46.709999084472656
2022-10-06,46.060001373291016
2022-10-07,45.22999954223633
2022-10-10,45.040000915527344
2022-10-11,44.939998626708984
2022-10-12,44.68000030517578
2022-10-13,45.81999969482422
2022-10-14,45.0099983215332
2022-10-17,45.84000015258789
2022-10-18,46.349998474121094
2022-10-19,46.04999923706055
2022-10-20,45.630001068115234
2022-10-21,46.5099983215332
2022-10-24,46.970001220703125
2022-10-25,47.380001068115234
2022-10-26,47.52000045776367
2022-10-27,47.599998474121094
2022-10-28,48.58000183105469
2022-10-31,48.36000061035156
2022-11-01,48.349998474121094
2022-11-02,47.65999984741211
2022-11-03,47.459999084472656
2022-11-04,48.119998931884766
2022-11-07,48.540000915527344
2022-11-08,48.79999923706055
2022-11-09,48.150001525878906
2022-11-10,49.880001068115234
2022-11-11,49.869998931884766
2022-11-14,49.52000045776367
2022-11-15,49.779998779296875
2022-11-16,49.599998474121094
2022-11-17,49.529998779296875
2022-11-18,49.86000061035156
2022-11-21,49.959999084472656
2022-11-22,50.4900016784668
2022-11-23,50.65999984741211
