Date,FBGKX
2022-02-28,157.0500030517578
2022-03-01,153.75999450683594
2022-03-02,156.30999755859375
2022-03-03,152.6999969482422
2022-03-04,148.85000610351562
2022-03-07,142.1699981689453
2022-03-08,142.97000122070312
2022-03-09,148.72000122070312
2022-03-10,147.83999633789062
2022-03-11,144.49000549316406
2022-03-14,141.05999755859375
2022-03-15,145.72000122070312
2022-03-16,151.97000122070312
2022-03-17,154.55999755859375
2022-03-18,158.49000549316406
2022-03-21,157.42999267578125
2022-03-22,160.4499969482422
2022-03-23,158.33999633789062
2022-03-24,161.97000122070312
2022-03-25,161.22000122070312
2022-03-28,163.17999267578125
2022-03-29,166.77000427246094
2022-03-30,164.02999877929688
2022-03-31,160.9499969482422
2022-04-01,161.27999877929688
2022-04-04,165.1300048828125
2022-04-05,160.72000122070312
2022-04-06,156.24000549316406
2022-04-07,156.0399932861328
2022-04-08,153.97999572753906
2022-04-11,150.75
2022-04-12,150.41000366210938
2022-04-13,154.07000732421875
2022-04-14,150.9199981689453
2022-04-18,150.75
2022-04-19,154.38999938964844
2022-04-20,151.52000427246094
2022-04-21,147.39999389648438
2022-04-22,143.30999755859375
2022-04-25,145.11000061035156
2022-04-26,139.22000122070312
2022-04-27,139.0399932861328
2022-04-28,144.38999938964844
2022-04-29,138.1699981689453
2022-05-02,140.66000366210938
2022-05-03,140.57000732421875
2022-05-04,144.1699981689453
2022-05-05,136.17999267578125
2022-05-06,134.0399932861328
2022-05-09,126.62999725341797
2022-05-10,127.87999725341797
2022-05-11,123.61000061035156
2022-05-12,123.69999694824219
2022-05-13,129.25
2022-05-16,127.33999633789062
2022-05-17,130.86000061035156
2022-05-18,124.29000091552734
2022-05-19,124.55999755859375
2022-05-20,123.94999694824219
2022-05-23,125.93000030517578
2022-05-24,121.44999694824219
2022-05-25,123.97000122070312
2022-05-26,128.11000061035156
2022-05-27,132.3800048828125
2022-05-31,131.5399932861328
2022-06-01,130.6699981689453
2022-06-02,134.97999572753906
2022-06-03,131.57000732421875
2022-06-06,132.44000244140625
2022-06-07,133.7899932861328
2022-06-08,133.14999389648438
2022-06-09,129.35000610351562
2022-06-10,124.30000305175781
2022-06-13,117.7699966430664
2022-06-14,118.04000091552734
2022-06-15,120.98999786376953
2022-06-16,115.27999877929688
2022-06-17,116.68000030517578
2022-06-21,119.55999755859375
2022-06-22,118.97000122070312
2022-06-23,120.61000061035156
2022-06-24,124.93000030517578
2022-06-27,123.94999694824219
2022-06-28,119.81999969482422
2022-06-29,119.30999755859375
2022-06-30,117.04000091552734
2022-07-01,117.76000213623047
2022-07-05,120.38999938964844
2022-07-06,120.44000244140625
2022-07-07,123.88999938964844
2022-07-08,123.8499984741211
2022-07-11,120.68000030517578
2022-07-12,119.5
2022-07-13,119.52999877929688
2022-07-14,119.30000305175781
2022-07-15,121.86000061035156
2022-07-18,121.54000091552734
2022-07-19,125.5999984741211
2022-07-20,128.3300018310547
2022-07-21,130.14999389648438
2022-07-22,127.08999633789062
2022-07-25,126.48999786376953
2022-07-26,123.33000183105469
2022-07-27,128.72999572753906
2022-07-28,130.27999877929688
2022-07-29,133.47999572753906
2022-08-01,133.4199981689453
2022-08-02,133.72000122070312
2022-08-03,137.14999389648438
2022-08-04,137.3800048828125
2022-08-05,136.94000244140625
2022-08-08,136.72000122070312
2022-08-09,134.35000610351562
2022-08-10,138.9199981689453
2022-08-11,138.52000427246094
2022-08-12,141.64999389648438
2022-08-15,142.2100067138672
2022-08-16,142.2100067138672
2022-08-17,140.35000610351562
2022-08-18,140.97000122070312
2022-08-19,137.66000366210938
2022-08-22,134.1300048828125
2022-08-23,134.49000549316406
2022-08-24,135.35000610351562
2022-08-25,137.97999572753906
2022-08-26,132.07000732421875
2022-08-29,130.72000122070312
2022-08-30,129.10000610351562
2022-08-31,128.1199951171875
2022-09-01,127.37999725341797
2022-09-02,126.26000213623047
2022-09-06,125.2699966430664
2022-09-07,128.05999755859375
2022-09-08,129.38999938964844
2022-09-09,131.67999267578125
2022-09-12,133.60000610351562
2022-09-13,126.45999908447266
2022-09-14,127.80000305175781
2022-09-15,126.25
2022-09-16,124.79000091552734
2022-09-19,125.9800033569336
2022-09-20,124.73999786376953
2022-09-21,122.38999938964844
2022-09-22,120.02999877929688
2022-09-23,117.56999969482422
2022-09-26,116.5999984741211
2022-09-27,117.36000061035156
2022-09-28,120.06999969482422
2022-09-29,116.4800033569336
2022-09-30,114.61000061035156
2022-10-03,117.06999969482422
2022-10-04,121.6500015258789
2022-10-05,121.76000213623047
2022-10-06,121.37000274658203
2022-10-07,116.44999694824219
2022-10-10,114.91999816894531
2022-10-11,113.2699966430664
2022-10-12,113.4800033569336
2022-10-13,115.58000183105469
2022-10-14,111.54000091552734
2022-10-17,115.69999694824219
2022-10-18,116.93000030517578
2022-10-19,116.23999786376953
2022-10-20,115.7300033569336
2022-10-21,118.25
2022-10-24,118.81999969482422
2022-10-25,122.08999633789062
2022-10-26,119.58999633789062
2022-10-27,117.62999725341797
2022-10-28,120.16000366210938
2022-10-31,118.79000091552734
2022-11-01,118.12999725341797
2022-11-02,113.88999938964844
2022-11-03,112.2300033569336
2022-11-04,113.69000244140625
2022-11-07,114.77999877929688
2022-11-08,115.08000183105469
2022-11-09,111.19000244140625
2022-11-10,120.36000061035156
2022-11-11,123.16000366210938
2022-11-14,121.7699966430664
2022-11-15,124.31999969482422
2022-11-16,121.91000366210938
2022-11-17,121.33999633789062
2022-11-18,120.95999908447266
2022-11-21,118.93000030517578
2022-11-22,120.80000305175781
