Date,RWMBX
2022-02-28,56.2400016784668
2022-03-01,55.47999954223633
2022-03-02,56.560001373291016
2022-03-03,56.45000076293945
2022-03-04,56.5099983215332
2022-03-07,55.22999954223633
2022-03-08,54.66999816894531
2022-03-09,55.77000045776367
2022-03-10,55.689998626708984
2022-03-11,55.16999816894531
2022-03-14,55.119998931884766
2022-03-15,55.959999084472656
2022-03-16,56.63999938964844
2022-03-17,57.290000915527344
2022-03-18,57.61000061035156
2022-03-21,57.65999984741211
2022-03-22,58.0
2022-03-23,57.43000030517578
2022-03-24,58.189998626708984
2022-03-25,58.540000915527344
2022-03-28,58.619998931884766
2022-03-29,58.9900016784668
2022-03-30,58.88999938964844
2022-03-31,58.04999923706055
2022-04-01,58.2400016784668
2022-04-04,58.34000015258789
2022-04-05,57.900001525878906
2022-04-06,57.84000015258789
2022-04-07,58.15999984741211
2022-04-08,58.27000045776367
2022-04-11,57.540000915527344
2022-04-12,57.380001068115234
2022-04-13,57.84000015258789
2022-04-14,57.400001525878906
2022-04-18,57.439998626708984
2022-04-19,58.0099983215332
2022-04-20,58.310001373291016
2022-04-21,57.529998779296875
2022-04-22,56.13999938964844
2022-04-25,56.25
2022-04-26,55.029998779296875
2022-04-27,55.36000061035156
2022-04-28,56.22999954223633
2022-04-29,54.5
2022-05-02,54.68000030517578
2022-05-03,55.04999923706055
2022-05-04,56.470001220703125
2022-05-05,54.97999954223633
2022-05-06,54.95000076293945
2022-05-09,53.43000030517578
2022-05-10,53.56999969482422
2022-05-11,53.099998474121094
2022-05-12,53.09000015258789
2022-05-13,53.9900016784668
2022-05-16,54.06999969482422
2022-05-17,54.9900016784668
2022-05-18,53.11000061035156
2022-05-19,52.7599983215332
2022-05-20,52.93000030517578
2022-05-23,53.650001525878906
2022-05-24,53.720001220703125
2022-05-25,54.130001068115234
2022-05-26,54.959999084472656
2022-05-27,56.0
2022-05-31,55.59000015258789
2022-06-01,55.189998626708984
2022-06-02,55.75
2022-06-03,55.15999984741211
2022-06-06,55.2400016784668
2022-06-07,55.86000061035156
2022-06-08,55.220001220703125
2022-06-09,54.09000015258789
2022-06-10,52.91999816894531
2022-06-13,51.20000076293945
2022-06-14,50.88999938964844
2022-06-15,49.72999954223633
2022-06-16,48.34000015258789
2022-06-17,48.18000030517578
2022-06-21,49.349998474121094
2022-06-22,49.2400016784668
2022-06-23,49.439998626708984
2022-06-24,50.65999984741211
2022-06-27,50.72999954223633
2022-06-28,50.11000061035156
2022-06-29,50.040000915527344
2022-06-30,49.79999923706055
2022-07-01,50.150001525878906
2022-07-05,49.70000076293945
2022-07-06,49.91999816894531
2022-07-07,50.5
2022-07-08,50.45000076293945
2022-07-11,50.040000915527344
2022-07-12,49.61000061035156
2022-07-13,49.31999969482422
2022-07-14,49.0099983215332
2022-07-15,49.939998626708984
2022-07-18,49.56999969482422
2022-07-19,50.790000915527344
2022-07-20,50.720001220703125
2022-07-21,50.970001220703125
2022-07-22,50.66999816894531
2022-07-25,50.959999084472656
2022-07-26,50.65999984741211
2022-07-27,51.45000076293945
2022-07-28,51.880001068115234
2022-07-29,52.2599983215332
2022-08-01,52.060001373291016
2022-08-02,51.70000076293945
2022-08-03,52.290000915527344
2022-08-04,52.15999984741211
2022-08-05,52.2400016784668
2022-08-08,52.220001220703125
2022-08-09,52.150001525878906
2022-08-10,52.970001220703125
2022-08-11,53.0099983215332
2022-08-12,53.84000015258789
2022-08-15,53.93000030517578
2022-08-16,54.02000045776367
2022-08-17,53.689998626708984
2022-08-18,53.849998474121094
2022-08-19,53.45000076293945
2022-08-22,52.56999969482422
2022-08-23,52.41999816894531
2022-08-24,52.54999923706055
2022-08-25,53.2599983215332
2022-08-26,51.810001373291016
2022-08-29,51.599998474121094
2022-08-30,50.970001220703125
2022-08-31,50.66999816894531
2022-09-01,50.790000915527344
2022-09-02,50.38999938964844
2022-09-06,50.220001220703125
2022-09-07,50.900001525878906
2022-09-08,51.29999923706055
2022-09-09,51.93000030517578
2022-09-12,52.310001373291016
2022-09-13,50.400001525878906
2022-09-14,50.47999954223633
2022-09-15,50.15999984741211
2022-09-16,49.939998626708984
2022-09-19,50.13999938964844
2022-09-20,49.560001373291016
2022-09-21,48.810001373291016
2022-09-22,48.61000061035156
2022-09-23,47.72999954223633
2022-09-26,47.13999938964844
2022-09-27,47.02000045776367
2022-09-28,47.88999938964844
2022-09-29,47.16999816894531
2022-09-30,46.58000183105469
2022-10-03,47.86000061035156
2022-10-04,49.25
2022-10-05,49.18000030517578
2022-10-06,48.630001068115234
2022-10-07,47.540000915527344
2022-10-10,47.13999938964844
2022-10-11,46.91999816894531
2022-10-12,46.75
2022-10-13,47.91999816894531
2022-10-14,46.97999954223633
2022-10-17,47.939998626708984
2022-10-18,48.4900016784668
2022-10-19,48.20000076293945
2022-10-20,47.939998626708984
2022-10-21,49.029998779296875
2022-10-24,49.599998474121094
2022-10-25,50.06999969482422
2022-10-26,50.09000015258789
2022-10-27,50.08000183105469
2022-10-28,51.15999984741211
2022-10-31,50.91999816894531
2022-11-01,50.88999938964844
2022-11-02,50.06999969482422
2022-11-03,49.83000183105469
2022-11-04,50.540000915527344
2022-11-07,51.099998474121094
2022-11-08,51.38999938964844
2022-11-09,50.47999954223633
2022-11-10,52.59000015258789
2022-11-11,52.560001373291016
2022-11-14,52.209999084472656
2022-11-15,52.45000076293945
2022-11-16,52.150001525878906
2022-11-17,52.150001525878906
2022-11-18,52.47999954223633
2022-11-21,52.459999084472656
2022-11-22,53.130001068115234
2022-11-23,53.34000015258789
