Date,RICBX
2022-02-28,47.54999923706055
2022-03-01,46.84000015258789
2022-03-02,47.630001068115234
2022-03-03,47.34000015258789
2022-03-04,47.0
2022-03-07,45.61000061035156
2022-03-08,45.33000183105469
2022-03-09,46.40999984741211
2022-03-10,46.33000183105469
2022-03-11,45.7400016784668
2022-03-14,45.45000076293945
2022-03-15,46.27000045776367
2022-03-16,47.18000030517578
2022-03-17,47.7400016784668
2022-03-18,48.2400016784668
2022-03-21,48.20000076293945
2022-03-22,48.689998626708984
2022-03-23,48.15999984741211
2022-03-24,48.77000045776367
2022-03-25,49.02000045776367
2022-03-28,49.15999984741211
2022-03-29,49.709999084472656
2022-03-30,49.540000915527344
2022-03-31,48.79999923706055
2022-04-01,49.08000183105469
2022-04-04,49.43000030517578
2022-04-05,48.849998474121094
2022-04-06,48.400001525878906
2022-04-07,48.56999969482422
2022-04-08,48.54999923706055
2022-04-11,47.83000183105469
2022-04-12,47.66999816894531
2022-04-13,48.20000076293945
2022-04-14,47.65999984741211
2022-04-18,47.650001525878906
2022-04-19,48.33000183105469
2022-04-20,48.060001373291016
2022-04-21,47.25
2022-04-22,46.08000183105469
2022-04-25,46.15999984741211
2022-04-26,44.93000030517578
2022-04-27,45.08000183105469
2022-04-28,46.11000061035156
2022-04-29,44.56999969482422
2022-05-02,44.83000183105469
2022-05-03,45.06999969482422
2022-05-04,46.2599983215332
2022-05-05,44.81999969482422
2022-05-06,44.560001373291016
2022-05-09,43.11000061035156
2022-05-10,43.220001220703125
2022-05-11,42.77000045776367
2022-05-12,42.7599983215332
2022-05-13,43.79999923706055
2022-05-16,43.790000915527344
2022-05-17,44.66999816894531
2022-05-18,43.189998626708984
2022-05-19,42.959999084472656
2022-05-20,43.02000045776367
2022-05-23,43.63999938964844
2022-05-24,43.400001525878906
2022-05-25,43.77000045776367
2022-05-26,44.4900016784668
2022-05-27,45.40999984741211
2022-05-31,45.189998626708984
2022-06-01,44.939998626708984
2022-06-02,45.65999984741211
2022-06-03,45.060001373291016
2022-06-06,45.209999084472656
2022-06-07,45.630001068115234
2022-06-08,45.130001068115234
2022-06-09,44.04999923706055
2022-06-10,42.88999938964844
2022-06-13,41.2400016784668
