Date,VSTSX
2022-02-28,211.8800048828125
2022-03-01,208.5500030517578
2022-03-02,212.52000427246094
2022-03-03,210.9199981689453
2022-03-04,208.8300018310547
2022-03-07,202.44000244140625
2022-03-08,201.33999633789062
2022-03-09,206.77999877929688
2022-03-10,205.89999389648438
2022-03-11,203.00999450683594
2022-03-14,201.07000732421875
2022-03-15,205.25
2022-03-16,210.32000732421875
2022-03-17,213.17999267578125
2022-03-18,215.85000610351562
2022-03-21,215.47000122070312
2022-03-22,217.36000061035156
2022-03-23,214.60000610351562
2022-03-24,217.6199951171875
2022-03-25,218.42999267578125
2022-03-28,219.9499969482422
2022-03-29,223.2100067138672
2022-03-30,221.42999267578125
2022-03-31,218.05999755859375
2022-04-01,219.0
2022-04-04,220.77000427246094
2022-04-05,217.61000061035156
2022-04-06,215.1999969482422
2022-04-07,215.89999389648438
2022-04-08,215.19000244140625
2022-04-11,211.91000366210938
2022-04-12,211.2899932861328
2022-04-13,214.0500030517578
2022-04-14,211.44000244140625
2022-04-18,211.0500030517578
2022-04-19,214.74000549316406
2022-04-20,214.50999450683594
2022-04-21,210.9600067138672
2022-04-22,205.1999969482422
2022-04-25,206.5399932861328
2022-04-26,200.5500030517578
2022-04-27,200.8300018310547
2022-04-28,205.67999267578125
2022-04-29,198.39999389648438
2022-05-02,199.7100067138672
2022-05-03,200.6300048828125
2022-05-04,206.49000549316406
2022-05-05,198.85000610351562
2022-05-06,197.24000549316406
2022-05-09,190.35000610351562
2022-05-10,190.6699981689453
2022-05-11,187.25
2022-05-12,187.52999877929688
2022-05-13,192.52000427246094
2022-05-16,191.52000427246094
2022-05-17,195.6300048828125
2022-05-18,187.8300018310547
2022-05-19,187.1300048828125
2022-05-20,187.1199951171875
2022-05-23,190.35000610351562
2022-05-24,188.33999633789062
2022-05-25,190.49000549316406
2022-05-26,194.4199981689453
2022-05-27,199.3800048828125
2022-05-31,197.88999938964844
2022-06-01,196.41000366210938
2022-06-02,200.41000366210938
2022-06-03,197.24000549316406
2022-06-06,197.8699951171875
2022-06-07,199.92999267578125
2022-06-08,197.74000549316406
2022-06-09,192.97000122070312
2022-06-10,187.27000427246094
2022-06-13,179.60000610351562
2022-06-14,178.97999572753906
2022-06-15,181.6999969482422
2022-06-16,175.36000061035156
2022-06-17,176.1199951171875
2022-06-21,180.22999572753906
2022-06-22,179.2899932861328
2022-06-23,181.25999450683594
2022-06-24,186.9199981689453
2022-06-27,186.41000366210938
2022-06-28,182.63999938964844
2022-06-29,182.27000427246094
2022-06-30,180.61000061035156
2022-07-01,182.64999389648438
2022-07-05,183.25999450683594
2022-07-06,183.58999633789062
2022-07-07,186.64999389648438
2022-07-08,186.47000122070312
2022-07-11,184.08999633789062
2022-07-12,182.49000549316406
2022-07-13,181.74000549316406
2022-07-14,180.94000244140625
2022-07-15,184.47999572753906
2022-07-18,183.1300048828125
2022-07-19,188.30999755859375
2022-07-20,189.80999755859375
2022-07-21,191.63999938964844
2022-07-22,189.58999633789062
2022-07-25,189.86000061035156
2022-07-26,187.58999633789062
2022-07-27,192.49000549316406
2022-07-28,194.94000244140625
2022-07-29,197.5800018310547
2022-08-01,197.1300048828125
2022-08-02,196.0500030517578
2022-08-03,199.1999969482422
2022-08-04,199.07000732421875
2022-08-05,199.02999877929688
2022-08-08,199.08999633789062
2022-08-09,197.88999938964844
2022-08-10,202.47000122070312
2022-08-11,202.3800048828125
2022-08-12,205.9499969482422
2022-08-15,206.74000549316406
2022-08-16,207.10000610351562
2022-08-17,205.2899932861328
2022-08-18,205.8300018310547
2022-08-19,202.8800048828125
2022-08-22,198.55999755859375
2022-08-23,198.2100067138672
2022-08-24,198.97000122070312
2022-08-25,201.89999389648438
2022-08-26,195.13999938964844
2022-08-29,193.77000427246094
2022-08-30,191.61000061035156
2022-08-31,190.2100067138672
2022-09-01,190.3699951171875
2022-09-02,188.47000122070312
2022-09-06,187.61000061035156
2022-09-07,191.1999969482422
2022-09-08,192.66000366210938
2022-09-09,195.80999755859375
2022-09-12,197.9199981689453
2022-09-13,189.47999572753906
2022-09-14,190.17999267578125
2022-09-15,188.1699981689453
2022-09-16,186.49000549316406
2022-09-19,187.8000030517578
