Date,FCWGX
2022-02-28,58.4900016784668
2022-03-01,57.36000061035156
2022-03-02,58.189998626708984
2022-03-03,57.540000915527344
2022-03-04,56.599998474121094
2022-03-07,54.869998931884766
2022-03-08,54.61000061035156
2022-03-09,56.209999084472656
2022-03-10,55.9900016784668
2022-03-11,55.25
2022-03-14,54.650001525878906
2022-03-15,55.220001220703125
2022-03-16,56.86000061035156
2022-03-17,57.72999954223633
2022-03-18,58.349998474121094
2022-03-21,58.13999938964844
2022-03-22,58.75
2022-03-23,58.11000061035156
2022-03-24,58.66999816894531
2022-03-25,58.65999984741211
2022-03-28,58.7400016784668
2022-03-29,59.630001068115234
2022-03-30,59.470001220703125
2022-03-31,58.630001068115234
2022-04-01,59.04999923706055
2022-04-04,59.56999969482422
2022-04-05,58.720001220703125
2022-04-06,58.11000061035156
2022-04-07,58.18000030517578
2022-04-08,58.2400016784668
2022-04-11,57.439998626708984
2022-04-12,57.16999816894531
2022-04-13,57.88999938964844
2022-04-14,57.349998474121094
2022-04-18,57.150001525878906
2022-04-19,57.61000061035156
2022-04-20,57.61000061035156
2022-04-21,56.79999923706055
2022-04-22,55.52000045776367
2022-04-25,55.349998474121094
2022-04-26,53.849998474121094
2022-04-27,54.119998931884766
2022-04-28,55.09000015258789
2022-04-29,53.93000030517578
2022-05-02,54.06999969482422
2022-05-03,54.40999984741211
2022-05-04,55.54999923706055
2022-05-05,53.97999954223633
2022-05-06,53.43000030517578
2022-05-09,51.70000076293945
2022-05-10,51.939998626708984
2022-05-11,51.66999816894531
2022-05-12,51.560001373291016
2022-05-13,52.959999084472656
2022-05-16,52.970001220703125
2022-05-17,54.06999969482422
2022-05-18,52.59000015258789
2022-05-19,52.599998474121094
2022-05-20,52.86000061035156
2022-05-23,53.630001068115234
2022-05-24,53.38999938964844
2022-05-25,53.70000076293945
2022-05-26,54.459999084472656
2022-05-27,55.540000915527344
2022-05-31,55.41999816894531
2022-06-01,54.900001525878906
2022-06-02,55.84000015258789
2022-06-03,55.099998474121094
2022-06-06,55.279998779296875
2022-06-07,55.66999816894531
2022-06-08,55.099998474121094
2022-06-09,53.88999938964844
2022-06-10,52.540000915527344
2022-06-13,50.20000076293945
2022-06-14,49.849998474121094
2022-06-15,50.630001068115234
2022-06-16,49.08000183105469
2022-06-17,48.90999984741211
2022-06-21,49.849998474121094
2022-06-22,49.43000030517578
2022-06-23,49.439998626708984
2022-06-24,50.7599983215332
2022-06-27,50.810001373291016
2022-06-28,50.349998474121094
2022-06-29,50.130001068115234
2022-06-30,49.619998931884766
2022-07-01,49.790000915527344
2022-07-05,49.18000030517578
2022-07-06,49.060001373291016
2022-07-07,49.9900016784668
2022-07-08,50.060001373291016
