Date,CWMFX
2022-02-28,56.970001220703125
2022-03-01,56.20000076293945
2022-03-02,57.29999923706055
2022-03-03,57.189998626708984
2022-03-04,57.25
2022-03-07,55.959999084472656
2022-03-08,55.38999938964844
2022-03-09,56.5099983215332
2022-03-10,56.43000030517578
2022-03-11,55.900001525878906
2022-03-14,55.86000061035156
2022-03-15,56.709999084472656
2022-03-16,57.2599983215332
2022-03-17,57.91999816894531
2022-03-18,58.2400016784668
2022-03-21,58.310001373291016
2022-03-22,58.650001525878906
2022-03-23,58.06999969482422
2022-03-24,58.84000015258789
2022-03-25,59.20000076293945
2022-03-28,59.279998779296875
2022-03-29,59.650001525878906
2022-03-30,59.560001373291016
2022-03-31,58.709999084472656
2022-04-01,58.900001525878906
2022-04-04,59.0099983215332
2022-04-05,58.56999969482422
2022-04-06,58.5
2022-04-07,58.83000183105469
2022-04-08,58.939998626708984
2022-04-11,58.209999084472656
2022-04-12,58.060001373291016
2022-04-13,58.52000045776367
2022-04-14,58.08000183105469
2022-04-18,58.119998931884766
2022-04-19,58.70000076293945
2022-04-20,59.0
2022-04-21,58.220001220703125
2022-04-22,56.810001373291016
2022-04-25,56.93000030517578
2022-04-26,55.689998626708984
2022-04-27,56.029998779296875
2022-04-28,56.90999984741211
2022-04-29,55.16999816894531
2022-05-02,55.349998474121094
2022-05-03,55.720001220703125
2022-05-04,57.16999816894531
2022-05-05,55.65999984741211
2022-05-06,55.619998931884766
2022-05-09,54.09000015258789
2022-05-10,54.22999954223633
2022-05-11,53.7599983215332
2022-05-12,53.75
2022-05-13,54.66999816894531
2022-05-16,54.75
2022-05-17,55.68000030517578
2022-05-18,53.779998779296875
2022-05-19,53.43000030517578
2022-05-20,53.599998474121094
2022-05-23,54.33000183105469
2022-05-24,54.40999984741211
2022-05-25,54.81999969482422
2022-05-26,55.65999984741211
2022-05-27,56.720001220703125
2022-05-31,56.29999923706055
2022-06-01,55.900001525878906
2022-06-02,56.470001220703125
2022-06-03,55.880001068115234
2022-06-06,55.959999084472656
2022-06-07,56.59000015258789
2022-06-08,55.939998626708984
2022-06-09,54.810001373291016
2022-06-10,53.619998931884766
2022-06-13,51.869998931884766
2022-06-14,51.56999969482422
2022-06-15,50.290000915527344
2022-06-16,48.880001068115234
2022-06-17,48.720001220703125
2022-06-21,49.90999984741211
2022-06-22,49.79999923706055
2022-06-23,50.0
2022-06-24,51.2400016784668
2022-06-27,51.310001373291016
2022-06-28,50.689998626708984
2022-06-29,50.61000061035156
2022-06-30,50.369998931884766
2022-07-01,50.72999954223633
2022-07-05,50.27000045776367
2022-07-06,50.5
2022-07-07,51.09000015258789
2022-07-08,51.040000915527344
2022-07-11,50.630001068115234
2022-07-12,50.20000076293945
2022-07-13,49.90999984741211
2022-07-14,49.599998474121094
2022-07-15,50.540000915527344
2022-07-18,50.15999984741211
2022-07-19,51.400001525878906
2022-07-20,51.34000015258789
2022-07-21,51.58000183105469
2022-07-22,51.290000915527344
2022-07-25,51.58000183105469
2022-07-26,51.279998779296875
2022-07-27,52.08000183105469
2022-07-28,52.5099983215332
2022-07-29,52.900001525878906
2022-08-01,52.70000076293945
2022-08-02,52.33000183105469
2022-08-03,52.93000030517578
2022-08-04,52.810001373291016
2022-08-05,52.88999938964844
2022-08-08,52.880001068115234
2022-08-09,52.79999923706055
2022-08-10,53.630001068115234
2022-08-11,53.66999816894531
2022-08-12,54.52000045776367
2022-08-15,54.61000061035156
2022-08-16,54.709999084472656
2022-08-17,54.369998931884766
2022-08-18,54.529998779296875
2022-08-19,54.130001068115234
2022-08-22,53.25
2022-08-23,53.09000015258789
2022-08-24,53.22999954223633
2022-08-25,53.95000076293945
2022-08-26,52.47999954223633
2022-08-29,52.27000045776367
2022-08-30,51.63999938964844
2022-08-31,51.33000183105469
2022-09-01,51.459999084472656
2022-09-02,51.060001373291016
2022-09-06,50.88999938964844
2022-09-07,51.58000183105469
2022-09-08,51.97999954223633
2022-09-09,52.619998931884766
2022-09-12,53.02000045776367
2022-09-13,51.08000183105469
2022-09-14,51.04999923706055
2022-09-15,50.720001220703125
2022-09-16,50.5099983215332
2022-09-19,50.709999084472656
2022-09-20,50.119998931884766
2022-09-21,49.369998931884766
2022-09-22,49.16999816894531
2022-09-23,48.279998779296875
2022-09-26,47.689998626708984
2022-09-27,47.56999969482422
2022-09-28,48.45000076293945
2022-09-29,47.720001220703125
2022-09-30,47.119998931884766
2022-10-03,48.41999816894531
2022-10-04,49.83000183105469
2022-10-05,49.7599983215332
2022-10-06,49.20000076293945
2022-10-07,48.099998474121094
2022-10-10,47.70000076293945
2022-10-11,47.47999954223633
2022-10-12,47.310001373291016
2022-10-13,48.4900016784668
2022-10-14,47.54999923706055
2022-10-17,48.52000045776367
2022-10-18,49.06999969482422
2022-10-19,48.790000915527344
2022-10-20,48.52000045776367
2022-10-21,49.630001068115234
2022-10-24,50.209999084472656
2022-10-25,50.689998626708984
2022-10-26,50.709999084472656
2022-10-27,50.70000076293945
2022-10-28,51.790000915527344
2022-10-31,51.54999923706055
2022-11-01,51.52000045776367
2022-11-02,50.689998626708984
2022-11-03,50.45000076293945
2022-11-04,51.16999816894531
2022-11-07,51.7400016784668
2022-11-08,52.040000915527344
2022-11-09,51.11000061035156
2022-11-10,53.2599983215332
2022-11-11,53.22999954223633
2022-11-14,52.880001068115234
2022-11-15,53.119998931884766
2022-11-16,52.810001373291016
2022-11-17,52.81999969482422
2022-11-18,53.150001525878906
2022-11-21,53.130001068115234
2022-11-22,53.81999969482422
2022-11-23,54.029998779296875
