Date,FXAIX
2022-02-28,152.07000732421875
2022-03-01,149.72000122070312
2022-03-02,152.50999450683594
2022-03-03,151.72999572753906
2022-03-04,150.5399932861328
2022-03-07,146.10000610351562
2022-03-08,145.0399932861328
2022-03-09,148.7899932861328
2022-03-10,148.1699981689453
2022-03-11,146.25999450683594
2022-03-14,145.1999969482422
2022-03-15,148.30999755859375
2022-03-16,151.63999938964844
2022-03-17,153.52000427246094
2022-03-18,155.30999755859375
2022-03-21,155.25
2022-03-22,157.00999450683594
2022-03-23,155.08999633789062
2022-03-24,157.32000732421875
2022-03-25,158.1199951171875
2022-03-28,159.25
2022-03-29,161.2100067138672
2022-03-30,160.2100067138672
2022-03-31,157.7100067138672
2022-04-01,158.25
2022-04-04,159.52999877929688
2022-04-05,157.5500030517578
2022-04-06,156.02000427246094
2022-04-07,156.7100067138672
2022-04-08,155.8300018310547
2022-04-11,153.1999969482422
2022-04-12,152.67999267578125
2022-04-13,154.4199981689453
2022-04-14,152.5399932861328
2022-04-18,152.50999450683594
2022-04-19,154.9600067138672
2022-04-20,154.8699951171875
2022-04-21,152.60000610351562
2022-04-22,148.36000061035156
2022-04-25,149.2100067138672
2022-04-26,145.00999450683594
2022-04-27,145.32000732421875
2022-04-28,148.9199981689453
2022-04-29,143.52999877929688
2022-05-02,144.35000610351562
2022-05-03,145.0399932861328
2022-05-04,149.3800048828125
2022-05-05,144.07000732421875
2022-05-06,143.27000427246094
2022-05-09,138.69000244140625
2022-05-10,139.02999877929688
2022-05-11,136.75
2022-05-12,136.6199951171875
2022-05-13,139.89999389648438
2022-05-16,139.35000610351562
2022-05-17,142.1699981689453
2022-05-18,136.4600067138672
2022-05-19,135.67999267578125
2022-05-20,135.6999969482422
2022-05-23,138.24000549316406
2022-05-24,137.11000061035156
2022-05-25,138.41000366210938
2022-05-26,141.1699981689453
2022-05-27,144.69000244140625
2022-05-31,143.7899932861328
2022-06-01,142.72999572753906
2022-06-02,145.38999938964844
2022-06-03,143.02000427246094
2022-06-06,143.47000122070312
2022-06-07,144.83999633789062
2022-06-08,143.27999877929688
2022-06-09,139.88999938964844
2022-06-10,135.82000732421875
2022-06-13,130.5500030517578
2022-06-14,130.11000061035156
2022-06-15,132.00999450683594
2022-06-16,127.7300033569336
2022-06-17,128.00999450683594
2022-06-21,131.14999389648438
2022-06-22,130.99000549316406
2022-06-23,132.24000549316406
2022-06-24,136.27999877929688
2022-06-27,135.8800048828125
2022-06-28,133.14999389648438
2022-06-29,133.05999755859375
2022-06-30,131.9199981689453
2022-07-01,132.74000549316406
2022-07-05,132.97000122070312
2022-07-06,133.4499969482422
2022-07-07,135.4600067138672
2022-07-08,135.36000061035156
2022-07-11,133.8000030517578
2022-07-12,132.57000732421875
2022-07-13,131.97999572753906
2022-07-14,131.60000610351562
2022-07-15,134.1300048828125
2022-07-18,133.00999450683594
2022-07-19,136.67999267578125
2022-07-20,137.49000549316406
2022-07-21,138.86000061035156
2022-07-22,137.57000732421875
2022-07-25,137.75
2022-07-26,136.16000366210938
2022-07-27,139.72000122070312
2022-07-28,141.42999267578125
2022-07-29,143.4600067138672
2022-08-01,143.05999755859375
2022-08-02,142.10000610351562
2022-08-03,144.3300018310547
2022-08-04,144.22999572753906
2022-08-05,144.00999450683594
2022-08-08,143.83999633789062
2022-08-09,143.22999572753906
2022-08-10,146.2899932861328
