Date,FGCKX
2022-02-28,31.43000030517578
2022-03-01,30.8799991607666
2022-03-02,31.329999923706055
2022-03-03,30.729999542236328
2022-03-04,30.100000381469727
2022-03-07,28.889999389648438
2022-03-08,28.8799991607666
2022-03-09,30.030000686645508
2022-03-10,29.799999237060547
2022-03-11,29.139999389648438
2022-03-14,28.469999313354492
2022-03-15,29.350000381469727
2022-03-16,30.6200008392334
2022-03-17,31.149999618530273
2022-03-18,31.90999984741211
2022-03-21,31.709999084472656
2022-03-22,32.310001373291016
2022-03-23,31.829999923706055
2022-03-24,32.61000061035156
2022-03-25,32.470001220703125
2022-03-28,32.86000061035156
2022-03-29,33.540000915527344
2022-03-30,33.13999938964844
2022-03-31,32.599998474121094
2022-04-01,32.75
2022-04-04,33.45000076293945
2022-04-05,32.630001068115234
2022-04-06,31.719999313354492
2022-04-07,31.739999771118164
2022-04-08,31.270000457763672
2022-04-11,30.6200008392334
2022-04-12,30.549999237060547
2022-04-13,31.280000686645508
2022-04-14,30.6200008392334
2022-04-18,30.5
2022-04-19,31.18000030517578
2022-04-20,30.760000228881836
2022-04-21,29.969999313354492
2022-04-22,29.1200008392334
2022-04-25,29.479999542236328
2022-04-26,28.270000457763672
2022-04-27,28.239999771118164
2022-04-28,29.139999389648438
2022-04-29,27.889999389648438
2022-05-02,28.43000030517578
2022-05-03,28.469999313354492
2022-05-04,29.280000686645508
2022-05-05,27.709999084472656
2022-05-06,27.200000762939453
2022-05-09,25.739999771118164
2022-05-10,26.06999969482422
2022-05-11,25.239999771118164
2022-05-12,25.229999542236328
2022-05-13,26.290000915527344
2022-05-16,25.969999313354492
2022-05-17,26.670000076293945
2022-05-18,25.40999984741211
2022-05-19,25.399999618530273
2022-05-20,25.309999465942383
2022-05-23,25.719999313354492
2022-05-24,24.989999771118164
2022-05-25,25.399999618530273
2022-05-26,26.1200008392334
2022-05-27,26.959999084472656
2022-05-31,26.760000228881836
2022-06-01,26.6200008392334
2022-06-02,27.489999771118164
2022-06-03,26.889999389648438
2022-06-06,26.959999084472656
2022-06-07,27.239999771118164
2022-06-08,27.09000015258789
