Date,FBCHX
2024-10-14,215.9199981689453
2024-10-15,213.82000732421875
2024-10-16,214.74000549316406
2024-10-17,214.57000732421875
2024-10-18,216.16000366210938
2024-10-21,217.3800048828125
2024-10-22,217.39999389648438
2024-10-23,213.94000244140625
2024-10-24,214.74000549316406
2024-10-25,215.97999572753906
2024-10-28,216.72000122070312
2024-10-29,218.3699951171875
2024-10-30,217.4499969482422
2024-10-31,211.07000732421875
2024-11-01,213.35000610351562
2024-11-04,212.4199981689453
2024-11-05,215.77000427246094
2024-11-06,220.4199981689453
2024-11-07,225.33999633789062
2024-11-08,225.50999450683594
2024-11-11,224.89999389648438
2024-11-12,225.24000549316406
2024-11-13,224.39999389648438
2024-11-14,223.4600067138672
2024-11-15,218.9199981689453
2024-11-18,219.7100067138672
2024-11-19,222.72999572753906
2024-11-20,222.5
2024-11-21,222.75999450683594
