Date,CMLEX
2022-02-28,51.0099983215332
2022-03-01,50.4900016784668
2022-03-02,51.349998474121094
2022-03-03,51.43000030517578
2022-03-04,51.5099983215332
2022-03-07,50.65999984741211
2022-03-08,50.0099983215332
2022-03-09,50.7400016784668
2022-03-10,50.650001525878906
2022-03-11,50.2400016784668
2022-03-14,50.2599983215332
2022-03-15,50.95000076293945
2022-03-16,51.27000045776367
2022-03-17,51.880001068115234
2022-03-18,52.040000915527344
2022-03-21,52.20000076293945
2022-03-22,52.40999984741211
2022-03-23,51.97999954223633
2022-03-24,52.459999084472656
2022-03-25,52.86000061035156
2022-03-28,52.93000030517578
2022-03-29,53.29999923706055
2022-03-30,53.22999954223633
2022-03-31,52.560001373291016
2022-04-01,52.779998779296875
2022-04-04,52.810001373291016
2022-04-05,52.58000183105469
2022-04-06,52.70000076293945
2022-04-07,53.0
2022-04-08,53.189998626708984
2022-04-11,52.59000015258789
2022-04-12,52.43000030517578
2022-04-13,52.689998626708984
2022-04-14,52.43000030517578
2022-04-18,52.310001373291016
2022-04-19,52.779998779296875
2022-04-20,53.22999954223633
2022-04-21,52.68000030517578
2022-04-22,51.4900016784668
2022-04-25,51.56999969482422
2022-04-26,50.68000030517578
2022-04-27,50.939998626708984
2022-04-28,51.63999938964844
2022-04-29,50.150001525878906
2022-05-02,50.130001068115234
2022-05-03,50.43000030517578
2022-05-04,51.619998931884766
2022-05-05,50.4900016784668
2022-05-06,50.5099983215332
2022-05-09,49.439998626708984
2022-05-10,49.34000015258789
2022-05-11,49.02000045776367
2022-05-12,49.06999969482422
2022-05-13,49.7599983215332
2022-05-16,49.91999816894531
2022-05-17,50.61000061035156
2022-05-18,49.15999984741211
2022-05-19,48.880001068115234
2022-05-20,49.04999923706055
2022-05-23,49.7400016784668
2022-05-24,49.95000076293945
2022-05-25,50.209999084472656
2022-05-26,50.709999084472656
2022-05-27,51.470001220703125
2022-05-31,51.119998931884766
2022-06-01,50.810001373291016
2022-06-02,51.31999969482422
2022-06-03,50.91999816894531
2022-06-06,50.95000076293945
2022-06-07,51.47999954223633
2022-06-08,50.880001068115234
2022-06-09,49.939998626708984
2022-06-10,49.09000015258789
2022-06-13,47.70000076293945
2022-06-14,47.2599983215332
2022-06-15,47.40999984741211
2022-06-16,46.279998779296875
2022-06-17,46.11000061035156
2022-06-21,47.15999984741211
2022-06-22,47.13999938964844
2022-06-23,47.34000015258789
2022-06-24,48.40999984741211
2022-06-27,48.470001220703125
2022-06-28,48.040000915527344
2022-06-29,48.040000915527344
2022-06-30,47.939998626708984
