Date,VEXMX
2022-02-28,124.75
2022-03-01,122.5
2022-03-02,125.05000305175781
2022-03-03,122.55999755859375
2022-03-04,119.97000122070312
2022-03-07,115.63999938964844
2022-03-08,116.25
2022-03-09,120.11000061035156
2022-03-10,119.55999755859375
2022-03-11,117.20999908447266
2022-03-14,114.72000122070312
2022-03-15,116.7300033569336
2022-03-16,121.08999633789062
2022-03-17,123.44999694824219
2022-03-18,125.52999877929688
2022-03-21,124.45999908447266
2022-03-22,126.26000213623047
2022-03-23,124.27999877929688
2022-03-24,125.87000274658203
2022-03-25,125.5199966430664
2022-03-28,126.18000030517578
2022-03-29,129.66000366210938
2022-03-30,127.38999938964844
2022-03-31,125.72000122070312
2022-04-01,126.87000274658203
2022-04-04,127.81999969482422
2022-04-05,124.69999694824219
2022-04-06,122.41999816894531
2022-04-07,122.05999755859375
2022-04-08,121.20999908447266
2022-04-11,120.43000030517578
2022-04-12,120.36000061035156
2022-04-13,123.02999877929688
2022-04-14,121.52999877929688
2022-04-18,120.3499984741211
2022-04-19,123.33000183105469
2022-04-20,122.95999908447266
2022-04-21,119.68000030517578
2022-04-22,116.69000244140625
2022-04-25,117.94000244140625
2022-04-26,113.94000244140625
2022-04-27,113.66000366210938
2022-04-28,116.0199966430664
2022-04-29,112.41999816894531
2022-05-02,113.73999786376953
2022-05-03,114.16000366210938
2022-05-04,117.16000366210938
2022-05-05,111.93000030517578
2022-05-06,109.48999786376953
2022-05-09,103.94999694824219
2022-05-10,103.83999633789062
2022-05-11,101.12999725341797
2022-05-12,102.55999755859375
2022-05-13,106.76000213623047
2022-05-16,105.44000244140625
2022-05-17,108.48999786376953
2022-05-18,104.33999633789062
2022-05-19,105.05999755859375
2022-05-20,104.93000030517578
2022-05-23,105.94000244140625
2022-05-24,103.41000366210938
2022-05-25,105.73999786376953
2022-05-26,108.37999725341797
2022-05-27,111.48999786376953
2022-05-31,109.88999938964844
2022-06-01,109.04000091552734
2022-06-02,112.30000305175781
2022-06-03,110.80999755859375
2022-06-06,111.19999694824219
2022-06-07,112.81999969482422
2022-06-08,111.44000244140625
2022-06-09,108.61000061035156
2022-06-10,105.11000061035156
2022-06-13,99.5199966430664
2022-06-14,99.19999694824219
2022-06-15,101.0
2022-06-16,96.05999755859375
2022-06-17,97.58999633789062
2022-06-21,99.16000366210938
2022-06-22,98.87999725341797
2022-06-23,100.58000183105469
2022-06-24,104.04000091552734
2022-06-27,103.93000030517578
2022-06-28,101.81999969482422
2022-06-29,100.80000305175781
2022-06-30,99.55000305175781
2022-07-01,101.0199966430664
2022-07-05,102.16999816894531
2022-07-06,101.31999969482422
2022-07-07,103.9000015258789
2022-07-08,103.62999725341797
2022-07-11,101.62999725341797
2022-07-12,101.08000183105469
2022-07-13,100.86000061035156
