Date,VIGAX
2022-02-28,142.77999877929688
2022-03-01,140.6199951171875
2022-03-02,142.85000610351562
2022-03-03,140.6300048828125
2022-03-04,138.25999450683594
2022-03-07,132.72999572753906
2022-03-08,132.14999389648438
2022-03-09,137.19000244140625
2022-03-10,136.0
2022-03-11,133.24000549316406
2022-03-14,130.8699951171875
2022-03-15,134.9600067138672
2022-03-16,139.74000549316406
2022-03-17,141.6699981689453
2022-03-18,144.82000732421875
2022-03-21,144.05999755859375
2022-03-22,146.5800018310547
2022-03-23,144.4199981689453
2022-03-24,147.14999389648438
2022-03-25,146.94000244140625
2022-03-28,149.3000030517578
2022-03-29,152.22999572753906
2022-03-30,150.44000244140625
2022-03-31,148.00999450683594
2022-04-01,148.5
2022-04-04,151.2899932861328
2022-04-05,148.27999877929688
2022-04-06,144.8000030517578
2022-04-07,145.24000549316406
2022-04-08,143.52999877929688
2022-04-11,140.16000366210938
2022-04-12,139.49000549316406
2022-04-13,142.1199951171875
2022-04-14,139.1199951171875
2022-04-18,138.89999389648438
2022-04-19,142.02999877929688
2022-04-20,140.47000122070312
2022-04-21,137.5500030517578
2022-04-22,133.61000061035156
2022-04-25,135.2899932861328
2022-04-26,129.97999572753906
2022-04-27,130.27999877929688
2022-04-28,134.8300018310547
2022-04-29,129.02000427246094
2022-05-02,130.61000061035156
2022-05-03,130.5800018310547
2022-05-04,134.82000732421875
2022-05-05,128.00999450683594
2022-05-06,126.30000305175781
2022-05-09,120.69999694824219
2022-05-10,121.73999786376953
2022-05-11,118.12000274658203
2022-05-12,117.97000122070312
2022-05-13,122.43000030517578
2022-05-16,120.80999755859375
2022-05-17,123.75
2022-05-18,117.91000366210938
2022-05-19,117.87000274658203
2022-05-20,117.66999816894531
2022-05-23,119.8499984741211
2022-05-24,117.05000305175781
2022-05-25,118.62999725341797
2022-05-26,121.87999725341797
2022-05-27,126.12999725341797
2022-05-31,125.47000122070312
2022-06-01,124.52999877929688
2022-06-02,128.38999938964844
2022-06-03,125.19000244140625
2022-06-06,125.70999908447266
2022-06-07,126.81999969482422
2022-06-08,125.81999969482422
2022-06-09,122.41999816894531
2022-06-10,117.7699966430664
2022-06-13,112.37000274658203
2022-06-14,112.41000366210938
2022-06-15,115.2300033569336
2022-06-16,110.66000366210938
2022-06-17,111.93000030517578
2022-06-21,114.69999694824219
2022-06-22,114.56999969482422
2022-06-23,116.69000244140625
2022-06-24,120.88999938964844
2022-06-27,119.80000305175781
2022-06-28,115.97000122070312
2022-06-29,116.20999908447266
2022-06-30,114.66000366210938
2022-07-01,115.87999725341797
2022-07-05,117.8499984741211
2022-07-06,118.44000244140625
2022-07-07,120.87000274658203
2022-07-08,120.8499984741211
2022-07-11,118.61000061035156
2022-07-12,117.02999877929688
2022-07-13,116.7300033569336
2022-07-14,116.87999725341797
2022-07-15,119.05999755859375
2022-07-18,118.05000305175781
2022-07-19,121.80999755859375
2022-07-20,123.70999908447266
2022-07-21,125.68000030517578
2022-07-22,123.43000030517578
2022-07-25,122.7699966430664
2022-07-26,120.2699966430664
2022-07-27,125.22000122070312
2022-07-28,127.1500015258789
2022-07-29,129.7100067138672
2022-08-01,129.5
2022-08-02,129.02999877929688
2022-08-03,132.25999450683594
2022-08-04,132.88999938964844
2022-08-05,132.24000549316406
2022-08-08,131.89999389648438
2022-08-09,130.4600067138672
2022-08-10,134.35000610351562
2022-08-11,133.52000427246094
2022-08-12,136.2100067138672
2022-08-15,137.08999633789062
2022-08-16,136.9600067138672
2022-08-17,135.61000061035156
2022-08-18,135.74000549316406
2022-08-19,133.07000732421875
2022-08-22,129.64999389648438
2022-08-23,129.32000732421875
2022-08-24,129.77000427246094
2022-08-25,131.97999572753906
2022-08-26,126.63999938964844
2022-08-29,125.38999938964844
2022-08-30,124.08000183105469
2022-08-31,123.19999694824219
2022-09-01,123.22000122070312
2022-09-02,121.63999938964844
2022-09-06,121.06999969482422
2022-09-07,123.70999908447266
2022-09-08,124.54000091552734
2022-09-09,127.08000183105469
2022-09-12,128.7100067138672
2022-09-13,122.05000305175781
2022-09-14,122.83999633789062
2022-09-15,120.77999877929688
2022-09-16,119.6500015258789
2022-09-19,120.54000091552734
2022-09-20,119.31999969482422
2022-09-21,117.12999725341797
2022-09-22,115.31999969482422
2022-09-23,113.44999694824219
2022-09-26,112.68000030517578
2022-09-27,112.75
2022-09-28,114.95999908447266
2022-09-29,111.94000244140625
2022-09-30,110.0999984741211
2022-10-03,112.69999694824219
2022-10-04,116.45999908447266
2022-10-05,116.3499984741211
2022-10-06,115.5199966430664
2022-10-07,111.22000122070312
2022-10-10,109.98999786376953
2022-10-11,108.5199966430664
2022-10-12,108.36000061035156
2022-10-13,110.69999694824219
2022-10-14,107.27999877929688
2022-10-17,111.13999938964844
2022-10-18,112.29000091552734
2022-10-19,111.52999877929688
2022-10-20,110.73999786376953
2022-10-21,113.19000244140625
2022-10-24,114.29000091552734
2022-10-25,117.0
2022-10-26,114.5
2022-10-27,112.86000061035156
2022-10-28,115.93000030517578
2022-10-31,114.66000366210938
2022-11-01,113.5199966430664
2022-11-02,109.41999816894531
2022-11-03,107.29000091552734
2022-11-04,108.6500015258789
2022-11-07,109.73999786376953
2022-11-08,110.33999633789062
2022-11-09,107.54000091552734
2022-11-10,116.0999984741211
2022-11-11,118.38999938964844
2022-11-14,116.93000030517578
2022-11-15,118.6500015258789
2022-11-16,117.29000091552734
2022-11-17,116.44000244140625
2022-11-18,116.48999786376953
2022-11-21,115.30999755859375
2022-11-22,116.97000122070312
2022-11-23,118.19999694824219
2022-11-25,117.73999786376953
2022-11-28,115.75
2022-11-29,114.9000015258789
2022-11-30,120.11000061035156
2022-12-01,120.33000183105469
2022-12-02,120.02999877929688
2022-12-05,117.58999633789062
2022-12-06,115.1500015258789
2022-12-07,114.69000244140625
2022-12-08,115.9800033569336
2022-12-09,115.20999908447266
2022-12-12,116.91999816894531
2022-12-13,118.36000061035156
2022-12-14,117.47000122070312
2022-12-15,113.6500015258789
2022-12-16,112.18000030517578
2022-12-19,110.43000030517578
2022-12-20,110.45999908447266
2022-12-21,112.01000213623047
2022-12-22,109.58000183105469
2022-12-23,109.98999786376953
2022-12-27,108.69999694824219
2022-12-28,107.27999877929688
2022-12-29,110.0199966430664
2022-12-30,109.72000122070312
2023-01-03,108.95999908447266
2023-01-04,109.66000366210938
2023-01-05,107.70999908447266
2023-01-06,110.29000091552734
