Date,VIEIX
2022-02-28,124.68000030517578
2022-03-01,122.43000030517578
2022-03-02,124.9800033569336
2022-03-03,122.48999786376953
2022-03-04,119.91000366210938
2022-03-07,115.58000183105469
2022-03-08,116.19000244140625
2022-03-09,120.05000305175781
2022-03-10,119.5
2022-03-11,117.1500015258789
2022-03-14,114.66000366210938
2022-03-15,116.66999816894531
2022-03-16,121.02999877929688
2022-03-17,123.38999938964844
2022-03-18,125.47000122070312
2022-03-21,124.4000015258789
2022-03-22,126.16000366210938
2022-03-23,124.18000030517578
2022-03-24,125.7699966430664
2022-03-25,125.41999816894531
2022-03-28,126.08999633789062
2022-03-29,129.55999755859375
2022-03-30,127.30000305175781
2022-03-31,125.62999725341797
2022-04-01,126.7699966430664
2022-04-04,127.7300033569336
2022-04-05,124.5999984741211
2022-04-06,122.33000183105469
2022-04-07,121.97000122070312
2022-04-08,121.12000274658203
2022-04-11,120.33999633789062
2022-04-12,120.2699966430664
2022-04-13,122.94000244140625
2022-04-14,121.44000244140625
2022-04-18,120.26000213623047
2022-04-19,123.23999786376953
2022-04-20,122.87000274658203
2022-04-21,119.5999984741211
2022-04-22,116.61000061035156
2022-04-25,117.86000061035156
2022-04-26,113.86000061035156
2022-04-27,113.58999633789062
2022-04-28,115.94000244140625
2022-04-29,112.33999633789062
2022-05-02,113.66000366210938
2022-05-03,114.08999633789062
2022-05-04,117.08999633789062
2022-05-05,111.8499984741211
2022-05-06,109.41999816894531
2022-05-09,103.87999725341797
2022-05-10,103.77999877929688
2022-05-11,101.05999755859375
2022-05-12,102.48999786376953
2022-05-13,106.69000244140625
2022-05-16,105.37999725341797
2022-05-17,108.41999816894531
2022-05-18,104.27999877929688
2022-05-19,105.0
2022-05-20,104.87000274658203
2022-05-23,105.87999725341797
2022-05-24,103.3499984741211
2022-05-25,105.68000030517578
2022-05-26,108.31999969482422
2022-05-27,111.43000030517578
2022-05-31,109.83000183105469
2022-06-01,108.9800033569336
2022-06-02,112.23999786376953
2022-06-03,110.75
2022-06-06,111.13999938964844
2022-06-07,112.76000213623047
2022-06-08,111.37999725341797
2022-06-09,108.55999755859375
2022-06-10,105.05000305175781
2022-06-13,99.47000122070312
2022-06-14,99.1500015258789
2022-06-15,100.94999694824219
2022-06-16,96.0199966430664
2022-06-17,97.54000091552734
2022-06-21,99.12000274658203
2022-06-22,98.79000091552734
2022-06-23,100.48999786376953
2022-06-24,103.94999694824219
2022-06-27,103.83999633789062
2022-06-28,101.7300033569336
2022-06-29,100.72000122070312
2022-06-30,99.47000122070312
2022-07-01,100.93000030517578
2022-07-05,102.08999633789062
2022-07-06,101.2300033569336
2022-07-07,103.81999969482422
2022-07-08,103.54000091552734
2022-07-11,101.55000305175781
2022-07-12,101.0
2022-07-13,100.79000091552734
2022-07-14,99.45999908447266
2022-07-15,101.62999725341797
2022-07-18,101.5199966430664
2022-07-19,104.80000305175781
2022-07-20,106.80000305175781
2022-07-21,107.55000305175781
2022-07-22,105.61000061035156
2022-07-25,105.8499984741211
2022-07-26,104.37000274658203
2022-07-27,107.0999984741211
2022-07-28,108.63999938964844
2022-07-29,109.69999694824219
2022-08-01,109.7300033569336
2022-08-02,109.79000091552734
2022-08-03,111.63999938964844
2022-08-04,111.4800033569336
2022-08-05,112.30000305175781
2022-08-08,113.19999694824219
2022-08-09,111.4000015258789
2022-08-10,115.12000274658203
2022-08-11,115.1500015258789
2022-08-12,117.27999877929688
2022-08-15,117.56999969482422
2022-08-16,117.66000366210938
2022-08-17,115.58000183105469
2022-08-18,116.12000274658203
2022-08-19,113.55000305175781
2022-08-22,111.05000305175781
2022-08-23,111.18000030517578
2022-08-24,112.1500015258789
2022-08-25,114.19000244140625
2022-08-26,110.43000030517578
2022-08-29,109.41000366210938
2022-08-30,108.05999755859375
2022-08-31,107.41000366210938
2022-09-01,106.08999633789062
2022-09-02,105.44999694824219
2022-09-06,104.5999984741211
2022-09-07,107.0199966430664
2022-09-08,108.29000091552734
2022-09-09,110.62000274658203
2022-09-12,111.9000015258789
2022-09-13,107.47000122070312
2022-09-14,107.8499984741211
2022-09-15,107.0999984741211
2022-09-16,105.19999694824219
2022-09-19,106.0
2022-09-20,104.2300033569336
2022-09-21,102.62999725341797
2022-09-22,99.69000244140625
2022-09-23,97.45999908447266
2022-09-26,95.88999938964844
2022-09-27,96.37000274658203
2022-09-28,99.30000305175781
2022-09-29,97.01000213623047
2022-09-30,96.41999816894531
2022-10-03,98.91999816894531
2022-10-04,103.16999816894531
2022-10-05,102.63999938964844
2022-10-06,102.11000061035156
2022-10-07,98.83999633789062
2022-10-10,97.76000213623047
2022-10-11,97.30999755859375
2022-10-12,97.12999725341797
2022-10-13,98.83999633789062
2022-10-14,96.11000061035156
2022-10-17,99.30000305175781
2022-10-18,100.72000122070312
2022-10-19,98.79000091552734
2022-10-20,97.87000274658203
2022-10-21,99.72000122070312
2022-10-24,100.01000213623047
2022-10-25,103.0
2022-10-26,103.0
2022-10-27,103.0999984741211
2022-10-28,104.97000122070312
2022-10-31,104.66999816894531
2022-11-01,105.0199966430664
2022-11-02,101.51000213623047
2022-11-03,100.9000015258789
2022-11-04,101.55999755859375
2022-11-07,102.19000244140625
2022-11-08,102.52999877929688
2022-11-09,99.73999786376953
2022-11-10,106.58999633789062
2022-11-11,108.18000030517578
2022-11-14,106.6500015258789
2022-11-15,108.55000305175781
2022-11-16,106.26000213623047
2022-11-17,105.16000366210938
2022-11-18,105.58000183105469
2022-11-21,104.76000213623047
2022-11-22,106.1500015258789
