Date,CGFAX
2022-02-28,63.52000045776367
2022-03-01,62.40999984741211
2022-03-02,63.34000015258789
2022-03-03,62.099998474121094
2022-03-04,61.08000183105469
2022-03-07,58.689998626708984
2022-03-08,58.66999816894531
2022-03-09,60.81999969482422
2022-03-10,60.47999954223633
2022-03-11,59.18000030517578
2022-03-14,58.209999084472656
2022-03-15,59.689998626708984
2022-03-16,61.93000030517578
2022-03-17,63.06999969482422
2022-03-18,64.36000061035156
2022-03-21,63.959999084472656
2022-03-22,65.20999908447266
2022-03-23,64.33000183105469
2022-03-24,65.20999908447266
2022-03-25,65.05000305175781
2022-03-28,65.93000030517578
2022-03-29,67.11000061035156
2022-03-30,66.44000244140625
2022-03-31,65.4000015258789
2022-04-01,65.7699966430664
2022-04-04,66.87999725341797
2022-04-05,65.51000213623047
2022-04-06,64.16999816894531
2022-04-07,64.33000183105469
2022-04-08,63.849998474121094
2022-04-11,62.650001525878906
2022-04-12,62.43000030517578
2022-04-13,63.65999984741211
2022-04-14,62.61000061035156
2022-04-18,62.5
2022-04-19,63.7400016784668
2022-04-20,62.720001220703125
2022-04-21,61.4900016784668
2022-04-22,60.0
2022-04-25,60.349998474121094
2022-04-26,57.91999816894531
2022-04-27,58.040000915527344
2022-04-28,59.56999969482422
2022-04-29,57.540000915527344
2022-05-02,58.279998779296875
2022-05-03,58.41999816894531
2022-05-04,60.119998931884766
2022-05-05,57.400001525878906
2022-05-06,56.59000015258789
2022-05-09,53.77000045776367
2022-05-10,54.15999984741211
2022-05-11,52.900001525878906
2022-05-12,53.06999969482422
2022-05-13,55.04999923706055
2022-05-16,54.369998931884766
2022-05-17,55.66999816894531
2022-05-18,53.36000061035156
2022-05-19,53.52000045776367
2022-05-20,53.310001373291016
2022-05-23,53.970001220703125
2022-05-24,52.75
2022-05-25,53.560001373291016
2022-05-26,54.9900016784668
2022-05-27,56.650001525878906
2022-05-31,56.34000015258789
2022-06-01,55.81999969482422
2022-06-02,57.22999954223633
2022-06-03,55.970001220703125
2022-06-06,56.2400016784668
2022-06-07,56.720001220703125
2022-06-08,56.310001373291016
2022-06-09,54.90999984741211
2022-06-10,53.16999816894531
2022-06-13,50.720001220703125
2022-06-14,50.619998931884766
2022-06-15,51.63999938964844
2022-06-16,49.540000915527344
2022-06-17,49.91999816894531
2022-06-21,51.13999938964844
2022-06-22,51.02000045776367
2022-06-23,51.52000045776367
2022-06-24,53.209999084472656
2022-06-27,53.0099983215332
2022-06-28,51.86000061035156
2022-06-29,51.68000030517578
2022-06-30,51.02000045776367
2022-07-01,51.470001220703125
2022-07-05,51.900001525878906
2022-07-06,51.880001068115234
2022-07-07,52.970001220703125
2022-07-08,52.970001220703125
2022-07-11,51.91999816894531
2022-07-12,51.369998931884766
2022-07-13,51.22999954223633
2022-07-14,50.91999816894531
2022-07-15,51.970001220703125
2022-07-18,51.81999969482422
2022-07-19,53.31999969482422
2022-07-20,53.93000030517578
2022-07-21,54.72999954223633
2022-07-22,53.79999923706055
2022-07-25,53.79999923706055
2022-07-26,52.86000061035156
2022-07-27,54.630001068115234
2022-07-28,55.27000045776367
2022-07-29,56.220001220703125
2022-08-01,56.09000015258789
2022-08-02,55.939998626708984
2022-08-03,57.029998779296875
2022-08-04,57.22999954223633
2022-08-05,57.04999923706055
2022-08-08,57.209999084472656
2022-08-09,56.59000015258789
2022-08-10,58.18000030517578
2022-08-11,58.029998779296875
2022-08-12,59.119998931884766
2022-08-15,59.27000045776367
2022-08-16,59.22999954223633
2022-08-17,58.5
2022-08-18,58.63999938964844
2022-08-19,57.59000015258789
2022-08-22,56.33000183105469
2022-08-23,56.38999938964844
2022-08-24,56.709999084472656
2022-08-25,57.59000015258789
2022-08-26,55.630001068115234
2022-08-29,55.2400016784668
2022-08-30,54.61000061035156
2022-08-31,54.310001373291016
2022-09-01,54.16999816894531
2022-09-02,53.68000030517578
2022-09-06,53.439998626708984
2022-09-07,54.459999084472656
2022-09-08,55.060001373291016
2022-09-09,56.220001220703125
2022-09-12,56.790000915527344
2022-09-13,54.36000061035156
2022-09-14,54.75
2022-09-15,54.31999969482422
2022-09-16,53.72999954223633
2022-09-19,54.09000015258789
2022-09-20,53.41999816894531
2022-09-21,52.40999984741211
2022-09-22,51.619998931884766
2022-09-23,50.540000915527344
2022-09-26,50.04999923706055
2022-09-27,50.189998626708984
2022-09-28,51.43000030517578
2022-09-29,50.22999954223633
2022-09-30,49.63999938964844
2022-10-03,50.56999969482422
2022-10-04,52.439998626708984
2022-10-05,52.290000915527344
2022-10-06,51.97999954223633
2022-10-07,50.33000183105469
2022-10-10,49.77000045776367
2022-10-11,49.11000061035156
2022-10-12,49.150001525878906
2022-10-13,50.040000915527344
2022-10-14,48.59000015258789
2022-10-17,50.119998931884766
2022-10-18,50.61000061035156
2022-10-19,50.25
2022-10-20,49.88999938964844
2022-10-21,51.02000045776367
2022-10-24,51.31999969482422
2022-10-25,52.439998626708984
2022-10-26,51.95000076293945
2022-10-27,51.40999984741211
2022-10-28,52.209999084472656
2022-10-31,51.900001525878906
2022-11-01,51.720001220703125
2022-11-02,50.150001525878906
2022-11-03,49.7599983215332
2022-11-04,50.400001525878906
2022-11-07,50.72999954223633
2022-11-08,50.97999954223633
2022-11-09,49.720001220703125
2022-11-10,52.79999923706055
2022-11-11,53.630001068115234
2022-11-14,53.0099983215332
2022-11-15,53.709999084472656
2022-11-16,52.97999954223633
2022-11-17,52.529998779296875
2022-11-18,52.59000015258789
2022-11-21,51.9900016784668
2022-11-22,52.650001525878906
