Date,WSHCX
2022-02-28,56.36000061035156
2022-03-01,55.599998474121094
2022-03-02,56.68000030517578
2022-03-03,56.56999969482422
2022-03-04,56.630001068115234
2022-03-07,55.349998474121094
2022-03-08,54.790000915527344
2022-03-09,55.88999938964844
2022-03-10,55.810001373291016
2022-03-11,55.279998779296875
2022-03-14,55.2400016784668
2022-03-15,56.08000183105469
2022-03-16,56.75
2022-03-17,57.400001525878906
2022-03-18,57.720001220703125
2022-03-21,57.779998779296875
2022-03-22,58.11000061035156
2022-03-23,57.540000915527344
2022-03-24,58.29999923706055
2022-03-25,58.650001525878906
2022-03-28,58.7400016784668
2022-03-29,59.099998474121094
2022-03-30,59.0
2022-03-31,58.16999816894531
2022-04-01,58.36000061035156
2022-04-04,58.459999084472656
2022-04-05,58.02000045776367
2022-04-06,57.95000076293945
2022-04-07,58.27000045776367
2022-04-08,58.380001068115234
2022-04-11,57.65999984741211
2022-04-12,57.5
2022-04-13,57.959999084472656
2022-04-14,57.52000045776367
2022-04-18,57.54999923706055
2022-04-19,58.130001068115234
2022-04-20,58.43000030517578
2022-04-21,57.650001525878906
2022-04-22,56.25
2022-04-25,56.369998931884766
2022-04-26,55.13999938964844
2022-04-27,55.470001220703125
2022-04-28,56.34000015258789
2022-04-29,54.61000061035156
2022-05-02,54.790000915527344
2022-05-03,55.15999984741211
2022-05-04,56.59000015258789
2022-05-05,55.09000015258789
2022-05-06,55.060001373291016
2022-05-09,53.540000915527344
2022-05-10,53.68000030517578
2022-05-11,53.20000076293945
2022-05-12,53.20000076293945
2022-05-13,54.099998474121094
2022-05-16,54.18000030517578
2022-05-17,55.099998474121094
2022-05-18,53.220001220703125
2022-05-19,52.869998931884766
2022-05-20,53.029998779296875
2022-05-23,53.7599983215332
2022-05-24,53.83000183105469
2022-05-25,54.2400016784668
2022-05-26,55.06999969482422
2022-05-27,56.11000061035156
2022-05-31,55.70000076293945
2022-06-01,55.29999923706055
2022-06-02,55.86000061035156
2022-06-03,55.279998779296875
2022-06-06,55.349998474121094
2022-06-07,55.970001220703125
2022-06-08,55.33000183105469
2022-06-09,54.20000076293945
2022-06-10,53.029998779296875
