Date,VWNAX
2022-02-28,77.75
2022-03-01,76.30999755859375
2022-03-02,77.77999877929688
2022-03-03,77.29000091552734
2022-03-04,76.41000366210938
2022-03-07,74.0999984741211
2022-03-08,73.6500015258789
2022-03-09,75.58999633789062
2022-03-10,75.3499984741211
2022-03-11,74.47000122070312
2022-03-14,74.16000366210938
2022-03-15,75.5199966430664
2022-03-16,77.02999877929688
2022-03-17,77.93000030517578
2022-03-18,78.5
2022-03-21,78.44999694824219
2022-03-22,79.16999816894531
2022-03-23,78.05000305175781
2022-03-24,78.91999816894531
2022-03-25,79.41999816894531
2022-03-28,79.54000091552734
2022-03-29,80.58000183105469
2022-03-30,80.06999969482422
2022-03-31,78.7699966430664
2022-04-01,79.08999633789062
2022-04-04,79.37000274658203
2022-04-05,78.45999908447266
2022-04-06,77.94999694824219
2022-04-07,78.18000030517578
2022-04-08,78.31999969482422
2022-04-11,77.33000183105469
2022-04-12,76.98999786376953
2022-04-13,77.7699966430664
2022-04-14,76.98999786376953
2022-04-18,77.06999969482422
2022-04-19,78.19000244140625
2022-04-20,78.6500015258789
2022-04-21,77.47000122070312
2022-04-22,75.2699966430664
2022-04-25,75.5999984741211
2022-04-26,73.70999908447266
2022-04-27,73.8499984741211
2022-04-28,75.54000091552734
2022-04-29,73.33999633789062
2022-05-02,73.58999633789062
2022-05-03,74.08999633789062
2022-05-04,76.18000030517578
2022-05-05,73.87999725341797
2022-05-06,73.51000213623047
2022-05-09,71.2699966430664
2022-05-10,71.41000366210938
2022-05-11,70.4800033569336
2022-05-12,70.44999694824219
2022-05-13,72.0999984741211
2022-05-16,71.97000122070312
2022-05-17,73.5
2022-05-18,70.87000274658203
2022-05-19,70.58999633789062
2022-05-20,70.73999786376953
2022-05-23,72.13999938964844
2022-05-24,71.7300033569336
2022-05-25,72.2300033569336
2022-05-26,73.48999786376953
2022-05-27,75.05999755859375
2022-05-31,74.73999786376953
2022-06-01,74.22000122070312
2022-06-02,75.37000274658203
2022-06-03,74.3499984741211
2022-06-06,74.54000091552734
2022-06-07,75.25
2022-06-08,74.41000366210938
2022-06-09,72.69999694824219
2022-06-10,70.55999755859375
2022-06-13,67.98999786376953
2022-06-14,67.69000244140625
2022-06-15,68.52999877929688
2022-06-16,66.37999725341797
2022-06-17,65.86000061035156
2022-06-21,67.25
2022-06-22,67.05999755859375
2022-06-23,67.22000122070312
2022-06-24,69.27999877929688
2022-06-27,69.16000366210938
2022-06-28,68.16000366210938
2022-06-29,67.93000030517578
2022-06-30,67.30999755859375
2022-07-01,67.9800033569336
2022-07-05,67.69000244140625
2022-07-06,67.7699966430664
2022-07-07,68.83999633789062
2022-07-08,68.77999877929688
2022-07-11,68.02999877929688
2022-07-12,67.47000122070312
2022-07-13,67.06999969482422
2022-07-14,66.56999969482422
2022-07-15,68.13999938964844
2022-07-18,67.68000030517578
2022-07-19,69.69000244140625
2022-07-20,69.87000274658203
2022-07-21,70.47000122070312
2022-07-22,69.95999908447266
2022-07-25,70.25
2022-07-26,69.6500015258789
2022-07-27,71.26000213623047
