Date,FNFWX
2022-02-28,76.87000274658203
2022-03-01,75.75
2022-03-02,76.31999969482422
2022-03-03,75.16000366210938
2022-03-04,73.2300033569336
2022-03-07,70.44000244140625
2022-03-08,70.5
2022-03-09,72.80000305175781
2022-03-10,72.37999725341797
2022-03-11,71.22000122070312
2022-03-14,70.0999984741211
2022-03-15,70.30000305175781
2022-03-16,73.61000061035156
2022-03-17,75.0999984741211
2022-03-18,76.08000183105469
2022-03-21,75.45999908447266
2022-03-22,76.44000244140625
2022-03-23,75.93000030517578
2022-03-24,76.76000213623047
2022-03-25,76.19000244140625
2022-03-28,76.5199966430664
2022-03-29,78.0
2022-03-30,77.9800033569336
2022-03-31,76.97000122070312
2022-04-01,77.81999969482422
2022-04-04,78.9000015258789
2022-04-05,77.51000213623047
2022-04-06,76.19999694824219
2022-04-07,75.98999786376953
2022-04-08,75.75
2022-04-11,74.43000030517578
2022-04-12,74.19000244140625
2022-04-13,74.98999786376953
2022-04-14,74.44999694824219
2022-04-18,74.26000213623047
2022-04-19,74.48999786376953
2022-04-20,74.33999633789062
2022-04-21,73.12999725341797
2022-04-22,71.66999816894531
2022-04-25,71.33000183105469
2022-04-26,69.51000213623047
2022-04-27,70.08000183105469
2022-04-28,71.3499984741211
2022-04-29,70.30999755859375
2022-05-02,70.4000015258789
2022-05-03,70.68000030517578
2022-05-04,71.62000274658203
2022-05-05,69.33000183105469
2022-05-06,68.13999938964844
2022-05-09,65.70999908447266
2022-05-10,66.16000366210938
2022-05-11,65.76000213623047
2022-05-12,65.63999938964844
2022-05-13,67.44000244140625
2022-05-16,67.3499984741211
2022-05-17,68.93000030517578
2022-05-18,67.27999877929688
2022-05-19,67.62999725341797
2022-05-20,68.33000183105469
2022-05-23,69.02999877929688
2022-05-24,68.08999633789062
2022-05-25,68.2300033569336
2022-05-26,69.23999786376953
2022-05-27,70.66999816894531
2022-05-31,70.87999725341797
2022-06-01,70.13999938964844
2022-06-02,71.63999938964844
2022-06-03,70.75
2022-06-06,71.11000061035156
2022-06-07,71.43000030517578
2022-06-08,70.91000366210938
2022-06-09,69.30999755859375
2022-06-10,67.81999969482422
2022-06-13,65.33000183105469
2022-06-14,65.2699966430664
2022-06-15,66.30000305175781
2022-06-16,64.25
2022-06-17,64.61000061035156
2022-06-21,65.80000305175781
2022-06-22,65.08999633789062
2022-06-23,65.27999877929688
2022-06-24,67.12999725341797
2022-06-27,67.05000305175781
2022-06-28,66.27999877929688
2022-06-29,66.0199966430664
2022-06-30,65.55000305175781
2022-07-01,65.6500015258789
2022-07-05,65.43000030517578
2022-07-06,65.29000091552734
2022-07-07,66.4000015258789
2022-07-08,66.33999633789062
2022-07-11,65.11000061035156
2022-07-12,64.66999816894531
2022-07-13,64.62999725341797
2022-07-14,64.2699966430664
2022-07-15,64.94999694824219
2022-07-18,64.94999694824219
2022-07-19,66.2699966430664
2022-07-20,66.33999633789062
2022-07-21,66.91000366210938
2022-07-22,66.25
2022-07-25,66.37999725341797
2022-07-26,65.86000061035156
2022-07-27,67.20999908447266
2022-07-28,67.9000015258789
2022-07-29,68.3499984741211
2022-08-01,68.25
2022-08-02,67.70999908447266
2022-08-03,68.22000122070312
2022-08-04,68.80000305175781
2022-08-05,68.83000183105469
2022-08-08,69.02999877929688
2022-08-09,68.54000091552734
2022-08-10,69.62000274658203
2022-08-11,69.80999755859375
2022-08-12,70.66999816894531
2022-08-15,70.63999938964844
2022-08-16,70.41000366210938
2022-08-17,69.9800033569336
2022-08-18,70.04000091552734
2022-08-19,69.0
2022-08-22,67.83999633789062
2022-08-23,68.18000030517578
2022-08-24,68.30999755859375
2022-08-25,69.23999786376953
2022-08-26,67.80999755859375
2022-08-29,67.4000015258789
2022-08-30,66.8499984741211
2022-08-31,66.54000091552734
2022-09-01,66.11000061035156
2022-09-02,65.77999877929688
2022-09-06,65.51000213623047
2022-09-07,66.11000061035156
2022-09-08,66.38999938964844
2022-09-09,67.68000030517578
2022-09-12,68.41000366210938
2022-09-13,66.20999908447266
2022-09-14,66.41999816894531
2022-09-15,65.69000244140625
2022-09-16,65.01000213623047
2022-09-19,65.48999786376953
2022-09-20,65.01000213623047
2022-09-21,64.04000091552734
2022-09-22,63.43000030517578
2022-09-23,62.119998931884766
2022-09-26,61.41999816894531
2022-09-27,61.40999984741211
2022-09-28,62.220001220703125
2022-09-29,61.08000183105469
2022-09-30,61.02000045776367
2022-10-03,62.31999969482422
2022-10-04,64.18000030517578
2022-10-05,64.23999786376953
2022-10-06,63.66999816894531
2022-10-07,62.400001525878906
2022-10-10,61.75
2022-10-11,60.97999954223633
2022-10-12,60.95000076293945
2022-10-13,61.59000015258789
2022-10-14,60.630001068115234
2022-10-17,62.0
2022-10-18,62.38999938964844
2022-10-19,61.68000030517578
2022-10-20,61.439998626708984
2022-10-21,62.470001220703125
2022-10-24,61.7400016784668
2022-10-25,62.47999954223633
2022-10-26,62.68000030517578
2022-10-27,62.22999954223633
2022-10-28,62.720001220703125
2022-10-31,62.529998779296875
2022-11-01,63.2400016784668
2022-11-02,62.54999923706055
2022-11-03,62.189998626708984
2022-11-04,64.06999969482422
2022-11-07,64.4800033569336
2022-11-08,64.87000274658203
2022-11-09,63.90999984741211
2022-11-10,66.02999877929688
2022-11-11,67.4000015258789
2022-11-14,67.1500015258789
2022-11-15,68.01000213623047
2022-11-16,67.27999877929688
2022-11-17,66.97000122070312
2022-11-18,67.0199966430664
2022-11-21,66.58000183105469
2022-11-22,67.05000305175781
2022-11-23,67.36000061035156
2022-11-25,67.41999816894531
