Date,RGAFX
2022-02-28,64.43000030517578
2022-03-01,63.29999923706055
2022-03-02,64.25
2022-03-03,62.9900016784668
2022-03-04,61.959999084472656
2022-03-07,59.540000915527344
2022-03-08,59.52000045776367
2022-03-09,61.689998626708984
2022-03-10,61.349998474121094
2022-03-11,60.040000915527344
2022-03-14,59.04999923706055
2022-03-15,60.54999923706055
2022-03-16,62.83000183105469
2022-03-17,63.9900016784668
2022-03-18,65.29000091552734
2022-03-21,64.88999938964844
2022-03-22,66.16000366210938
2022-03-23,65.26000213623047
2022-03-24,66.16000366210938
2022-03-25,66.0
2022-03-28,66.88999938964844
2022-03-29,68.08999633789062
2022-03-30,67.41000366210938
2022-03-31,66.36000061035156
2022-04-01,66.7300033569336
2022-04-04,67.8499984741211
2022-04-05,66.45999908447266
2022-04-06,65.11000061035156
2022-04-07,65.27999877929688
2022-04-08,64.79000091552734
2022-04-11,63.56999969482422
2022-04-12,63.349998474121094
2022-04-13,64.58999633789062
2022-04-14,63.529998779296875
2022-04-18,63.41999816894531
2022-04-19,64.68000030517578
2022-04-20,63.63999938964844
2022-04-21,62.400001525878906
2022-04-22,60.880001068115234
2022-04-25,61.2400016784668
2022-04-26,58.779998779296875
2022-04-27,58.900001525878906
2022-04-28,60.45000076293945
2022-04-29,58.38999938964844
2022-05-02,59.13999938964844
2022-05-03,59.290000915527344
2022-05-04,61.0099983215332
2022-05-05,58.25
2022-05-06,57.43000030517578
2022-05-09,54.58000183105469
2022-05-10,54.959999084472656
2022-05-11,53.689998626708984
2022-05-12,53.86000061035156
2022-05-13,55.869998931884766
2022-05-16,55.189998626708984
2022-05-17,56.5
2022-05-18,54.15999984741211
2022-05-19,54.31999969482422
2022-05-20,54.11000061035156
2022-05-23,54.779998779296875
2022-05-24,53.540000915527344
2022-05-25,54.369998931884766
2022-05-26,55.810001373291016
2022-05-27,57.5
2022-05-31,57.189998626708984
2022-06-01,56.65999984741211
2022-06-02,58.099998474121094
2022-06-03,56.81999969482422
2022-06-06,57.09000015258789
2022-06-07,57.58000183105469
2022-06-08,57.16999816894531
2022-06-09,55.7400016784668
2022-06-10,53.97999954223633
2022-06-13,51.4900016784668
2022-06-14,51.38999938964844
2022-06-15,52.43000030517578
2022-06-16,50.290000915527344
2022-06-17,50.68000030517578
2022-06-21,51.93000030517578
2022-06-22,51.79999923706055
2022-06-23,52.310001373291016
2022-06-24,54.02000045776367
2022-06-27,53.83000183105469
2022-06-28,52.65999984741211
2022-06-29,52.470001220703125
2022-06-30,51.810001373291016
2022-07-01,52.2599983215332
2022-07-05,52.689998626708984
2022-07-06,52.68000030517578
2022-07-07,53.790000915527344
2022-07-08,53.779998779296875
2022-07-11,52.720001220703125
2022-07-12,52.15999984741211
2022-07-13,52.02000045776367
2022-07-14,51.709999084472656
2022-07-15,52.77000045776367
2022-07-18,52.630001068115234
2022-07-19,54.150001525878906
2022-07-20,54.77000045776367
2022-07-21,55.59000015258789
2022-07-22,54.630001068115234
2022-07-25,54.63999938964844
2022-07-26,53.689998626708984
2022-07-27,55.47999954223633
2022-07-28,56.13999938964844
2022-07-29,57.099998474121094
2022-08-01,56.959999084472656
2022-08-02,56.810001373291016
2022-08-03,57.91999816894531
