Date,RERAX
2022-02-28,54.2599983215332
2022-03-01,53.08000183105469
2022-03-02,53.63999938964844
2022-03-03,52.560001373291016
2022-03-04,50.790000915527344
2022-03-07,48.900001525878906
2022-03-08,48.95000076293945
2022-03-09,51.040000915527344
2022-03-10,50.52000045776367
2022-03-11,49.79999923706055
2022-03-14,49.58000183105469
2022-03-15,49.81999969482422
2022-03-16,52.130001068115234
2022-03-17,53.040000915527344
2022-03-18,53.75
2022-03-21,53.290000915527344
2022-03-22,53.90999984741211
2022-03-23,53.369998931884766
2022-03-24,53.790000915527344
2022-03-25,53.349998474121094
2022-03-28,53.540000915527344
2022-03-29,54.849998474121094
2022-03-30,54.58000183105469
2022-03-31,53.68000030517578
2022-04-01,54.209999084472656
2022-04-04,54.959999084472656
2022-04-05,54.04999923706055
2022-04-06,53.130001068115234
2022-04-07,53.06999969482422
2022-04-08,52.90999984741211
2022-04-11,52.11000061035156
2022-04-12,51.81999969482422
2022-04-13,52.5
2022-04-14,52.08000183105469
2022-04-18,51.77000045776367
2022-04-19,51.939998626708984
2022-04-20,52.189998626708984
2022-04-21,51.4900016784668
2022-04-22,50.54999923706055
2022-04-25,50.290000915527344
2022-04-26,48.97999954223633
2022-04-27,49.36000061035156
2022-04-28,50.20000076293945
2022-04-29,49.599998474121094
2022-05-02,49.54999923706055
2022-05-03,49.7599983215332
2022-05-04,50.38999938964844
2022-05-05,48.86000061035156
2022-05-06,48.0
2022-05-09,46.29999923706055
2022-05-10,46.59000015258789
2022-05-11,46.43000030517578
2022-05-12,46.349998474121094
2022-05-13,47.7599983215332
2022-05-16,47.689998626708984
2022-05-17,48.720001220703125
2022-05-18,47.599998474121094
2022-05-19,47.939998626708984
2022-05-20,48.400001525878906
2022-05-23,48.97999954223633
2022-05-24,48.5
2022-05-25,48.54999923706055
2022-05-26,49.130001068115234
2022-05-27,50.040000915527344
2022-05-31,50.15999984741211
2022-06-01,49.529998779296875
2022-06-02,50.630001068115234
2022-06-03,49.95000076293945
2022-06-06,50.2400016784668
2022-06-07,50.459999084472656
2022-06-08,50.119998931884766
2022-06-09,49.060001373291016
2022-06-10,47.91999816894531
2022-06-13,45.86000061035156
2022-06-14,45.459999084472656
2022-06-15,46.20000076293945
2022-06-16,44.869998931884766
2022-06-17,44.88999938964844
2022-06-21,45.650001525878906
2022-06-22,45.130001068115234
2022-06-23,45.0099983215332
2022-06-24,46.349998474121094
2022-06-27,46.36000061035156
2022-06-28,46.040000915527344
2022-06-29,45.779998779296875
2022-06-30,45.41999816894531
2022-07-01,45.369998931884766
2022-07-05,44.86000061035156
2022-07-06,44.709999084472656
2022-07-07,45.52000045776367
2022-07-08,45.529998779296875
2022-07-11,44.72999954223633
2022-07-12,44.5099983215332
2022-07-13,44.4900016784668
2022-07-14,44.15999984741211
2022-07-15,44.810001373291016
2022-07-18,45.029998779296875
2022-07-19,46.060001373291016
2022-07-20,46.09000015258789
