Date,VITAX
2022-02-28,206.82000732421875
2022-03-01,202.8000030517578
2022-03-02,207.1300048828125
2022-03-03,203.8800048828125
2022-03-04,199.80999755859375
2022-03-07,192.2100067138672
2022-03-08,191.55999755859375
2022-03-09,199.44000244140625
2022-03-10,196.0500030517578
2022-03-11,192.02000427246094
2022-03-14,187.86000061035156
2022-03-15,194.17999267578125
2022-03-16,201.25
2022-03-17,203.27999877929688
2022-03-18,208.08999633789062
2022-03-21,207.57000732421875
2022-03-22,210.80999755859375
2022-03-23,207.3000030517578
2022-03-24,212.72000122070312
2022-03-25,212.1999969482422
2022-03-28,214.89999389648438
2022-03-29,219.6300048828125
2022-03-30,216.30999755859375
2022-03-31,212.9600067138672
2022-04-01,212.7100067138672
2022-04-04,216.83999633789062
2022-04-05,211.67999267578125
2022-04-06,206.0500030517578
2022-04-07,206.5
2022-04-08,203.4600067138672
2022-04-11,198.7899932861328
2022-04-12,198.2100067138672
2022-04-13,201.74000549316406
2022-04-14,196.75
2022-04-18,196.9600067138672
2022-04-19,200.8699951171875
2022-04-20,200.08999633789062
2022-04-21,196.22999572753906
2022-04-22,190.8300018310547
2022-04-25,193.85000610351562
2022-04-26,186.5399932861328
2022-04-27,188.5
2022-04-28,196.0800018310547
2022-04-29,188.07000732421875
2022-05-02,191.13999938964844
2022-05-03,191.19000244140625
2022-05-04,197.8300018310547
2022-05-05,187.72000122070312
2022-05-06,185.69000244140625
2022-05-09,177.72999572753906
2022-05-10,180.32000732421875
2022-05-11,174.13999938964844
2022-05-12,172.8000030517578
2022-05-13,179.4499969482422
2022-05-16,177.22999572753906
2022-05-17,182.3300018310547
2022-05-18,173.86000061035156
2022-05-19,172.63999938964844
2022-05-20,172.89999389648438
2022-05-23,176.63999938964844
2022-05-24,173.22999572753906
2022-05-25,175.67999267578125
2022-05-26,180.10000610351562
2022-05-27,186.44000244140625
2022-05-31,184.85000610351562
2022-06-01,184.1699981689453
2022-06-02,189.27000427246094
2022-06-03,184.47999572753906
2022-06-06,184.60000610351562
2022-06-07,187.0
2022-06-08,185.00999450683594
2022-06-09,179.77999877929688
2022-06-10,172.72000122070312
2022-06-13,164.60000610351562
2022-06-14,165.49000549316406
2022-06-15,169.19000244140625
2022-06-16,161.83999633789062
2022-06-17,163.7899932861328
2022-06-21,167.92999267578125
2022-06-22,167.0399932861328
2022-06-23,169.86000061035156
2022-06-24,176.10000610351562
2022-06-27,174.8699951171875
2022-06-28,169.47999572753906
2022-06-29,169.61000061035156
2022-06-30,167.19000244140625
2022-07-01,167.75999450683594
2022-07-05,170.2899932861328
2022-07-06,171.4499969482422
2022-07-07,175.25999450683594
2022-07-08,175.3800048828125
2022-07-11,172.60000610351562
2022-07-12,170.1999969482422
2022-07-13,169.8300018310547
2022-07-14,171.0
2022-07-15,174.14999389648438
2022-07-18,172.5
2022-07-19,177.85000610351562
2022-07-20,181.11000061035156
2022-07-21,183.6999969482422
2022-07-22,180.80999755859375
2022-07-25,179.58999633789062
2022-07-26,176.3800048828125
2022-07-27,183.9499969482422
2022-07-28,186.57000732421875
2022-07-29,189.47999572753906
2022-08-01,189.24000549316406
2022-08-02,188.2899932861328
2022-08-03,193.6300048828125
2022-08-04,194.25999450683594
2022-08-05,194.05999755859375
2022-08-08,192.6199951171875
2022-08-09,190.25
2022-08-10,196.16000366210938
2022-08-11,194.92999267578125
2022-08-12,199.02999877929688
2022-08-15,200.2100067138672
2022-08-16,199.5399932861328
2022-08-17,197.82000732421875
2022-08-18,198.89999389648438
2022-08-19,195.02000427246094
2022-08-22,189.64999389648438
2022-08-23,189.25
2022-08-24,189.5500030517578
2022-08-25,193.00999450683594
2022-08-26,184.8300018310547
2022-08-29,182.4199981689453
2022-08-30,180.5800018310547
2022-08-31,178.82000732421875
2022-09-01,177.24000549316406
2022-09-02,175.11000061035156
2022-09-06,173.8699951171875
2022-09-07,176.8000030517578
2022-09-08,177.74000549316406
2022-09-09,181.5800018310547
2022-09-12,184.5
2022-09-13,174.7899932861328
2022-09-14,175.55999755859375
2022-09-15,171.64999389648438
2022-09-16,170.41000366210938
2022-09-19,171.72999572753906
2022-09-20,170.60000610351562
2022-09-21,168.0500030517578
2022-09-22,165.88999938964844
2022-09-23,163.60000610351562
2022-09-26,162.3699951171875
2022-09-27,162.58999633789062
2022-09-28,164.5500030517578
2022-09-29,160.1999969482422
2022-09-30,157.2899932861328
2022-10-03,162.1300048828125
2022-10-04,167.83999633789062
2022-10-05,168.39999389648438
2022-10-06,167.11000061035156
2022-10-07,160.10000610351562
2022-10-10,157.22000122070312
2022-10-11,154.72999572753906
2022-10-12,154.19000244140625
2022-10-13,158.58999633789062
2022-10-14,153.9600067138672
2022-10-17,158.94000244140625
2022-10-18,160.49000549316406
2022-10-19,159.72000122070312
2022-10-20,159.91000366210938
2022-10-21,164.0399932861328
2022-10-24,165.97999572753906
2022-10-25,169.6199951171875
2022-10-26,166.13999938964844
2022-10-27,164.42999267578125
2022-10-28,171.19000244140625
2022-10-31,169.07000732421875
2022-11-01,167.75999450683594
2022-11-02,161.55999755859375
2022-11-03,156.9499969482422
2022-11-04,158.99000549316406
2022-11-07,161.36000061035156
2022-11-08,162.89999389648438
2022-11-09,158.47000122070312
2022-11-10,172.02999877929688
2022-11-11,175.41000366210938
2022-11-14,173.60000610351562
2022-11-15,176.22000122070312
2022-11-16,173.22999572753906
2022-11-17,173.17999267578125
2022-11-18,173.3699951171875
2022-11-21,171.25999450683594
2022-11-22,174.41000366210938
2022-11-23,176.1699981689453
2022-11-25,175.11000061035156
2022-11-28,171.39999389648438
2022-11-29,169.85000610351562
2022-11-30,178.25999450683594
