Date,VTSAX
2022-02-28,107.6500015258789
2022-03-01,105.95999908447266
2022-03-02,107.9800033569336
2022-03-03,107.16999816894531
2022-03-04,106.0999984741211
2022-03-07,102.8499984741211
2022-03-08,102.30000305175781
2022-03-09,105.05999755859375
2022-03-10,104.61000061035156
2022-03-11,103.13999938964844
2022-03-14,102.16000366210938
2022-03-15,104.27999877929688
2022-03-16,106.86000061035156
2022-03-17,108.30999755859375
2022-03-18,109.66999816894531
2022-03-21,109.4800033569336
2022-03-22,110.44000244140625
2022-03-23,109.04000091552734
2022-03-24,110.56999969482422
2022-03-25,110.98999786376953
2022-03-28,111.76000213623047
2022-03-29,113.41000366210938
2022-03-30,112.51000213623047
2022-03-31,110.80000305175781
2022-04-01,111.27999877929688
2022-04-04,112.16999816894531
2022-04-05,110.56999969482422
2022-04-06,109.3499984741211
2022-04-07,109.69999694824219
2022-04-08,109.33999633789062
2022-04-11,107.66999816894531
2022-04-12,107.36000061035156
2022-04-13,108.76000213623047
2022-04-14,107.43000030517578
2022-04-18,107.23999786376953
2022-04-19,109.11000061035156
2022-04-20,108.98999786376953
2022-04-21,107.19000244140625
2022-04-22,104.26000213623047
2022-04-25,104.94000244140625
2022-04-26,101.9000015258789
2022-04-27,102.04000091552734
2022-04-28,104.5
2022-04-29,100.80999755859375
2022-05-02,101.47000122070312
2022-05-03,101.94000244140625
2022-05-04,104.91999816894531
2022-05-05,101.04000091552734
2022-05-06,100.22000122070312
2022-05-09,96.72000122070312
2022-05-10,96.87999725341797
2022-05-11,95.13999938964844
2022-05-12,95.27999877929688
2022-05-13,97.81999969482422
2022-05-16,97.30999755859375
2022-05-17,99.4000015258789
2022-05-18,95.44000244140625
2022-05-19,95.08000183105469
2022-05-20,95.06999969482422
2022-05-23,96.72000122070312
2022-05-24,95.69000244140625
2022-05-25,96.77999877929688
2022-05-26,98.77999877929688
2022-05-27,101.30000305175781
2022-05-31,100.54000091552734
2022-06-01,99.79000091552734
2022-06-02,101.81999969482422
2022-06-03,100.20999908447266
