Date,AMPCX
2022-02-28,32.959999084472656
2022-03-01,32.45000076293945
2022-03-02,32.93000030517578
2022-03-03,32.40999984741211
2022-03-04,31.8799991607666
2022-03-07,30.579999923706055
2022-03-08,30.450000762939453
2022-03-09,31.549999237060547
2022-03-10,31.3799991607666
2022-03-11,30.75
2022-03-14,30.31999969482422
2022-03-15,31.09000015258789
2022-03-16,32.22999954223633
2022-03-17,32.75
2022-03-18,33.36000061035156
2022-03-21,33.040000915527344
2022-03-22,33.540000915527344
2022-03-23,32.880001068115234
2022-03-24,33.31999969482422
2022-03-25,33.18000030517578
2022-03-28,33.52000045776367
2022-03-29,34.22999954223633
2022-03-30,33.810001373291016
2022-03-31,33.27000045776367
2022-04-01,33.41999816894531
2022-04-04,33.81999969482422
2022-04-05,33.22999954223633
2022-04-06,32.63999938964844
2022-04-07,32.75
2022-04-08,32.54999923706055
2022-04-11,32.02000045776367
2022-04-12,31.81999969482422
2022-04-13,32.400001525878906
2022-04-14,31.90999984741211
2022-04-18,31.729999542236328
2022-04-19,32.45000076293945
2022-04-20,31.979999542236328
2022-04-21,31.270000457763672
2022-04-22,30.440000534057617
2022-04-25,30.709999084472656
2022-04-26,29.700000762939453
2022-04-27,29.729999542236328
2022-04-28,30.610000610351562
2022-04-29,29.510000228881836
2022-05-02,29.81999969482422
2022-05-03,29.780000686645508
2022-05-04,30.59000015258789
2022-05-05,29.31999969482422
2022-05-06,28.850000381469727
2022-05-09,27.579999923706055
2022-05-10,27.75
2022-05-11,27.18000030517578
2022-05-12,27.360000610351562
2022-05-13,28.329999923706055
2022-05-16,27.979999542236328
2022-05-17,28.610000610351562
2022-05-18,27.450000762939453
2022-05-19,27.559999465942383
2022-05-20,27.59000015258789
2022-05-23,27.8799991607666
2022-05-24,27.360000610351562
2022-05-25,27.729999542236328
2022-05-26,28.450000762939453
2022-05-27,29.270000457763672
2022-05-31,29.040000915527344
2022-06-01,28.690000534057617
2022-06-02,29.469999313354492
2022-06-03,28.90999984741211
2022-06-06,29.049999237060547
2022-06-07,29.31999969482422
2022-06-08,29.079999923706055
2022-06-09,28.3700008392334
2022-06-10,27.459999084472656
2022-06-13,26.229999542236328
2022-06-14,26.139999389648438
2022-06-15,24.399999618530273
2022-06-16,23.479999542236328
2022-06-17,23.719999313354492
2022-06-21,24.209999084472656
2022-06-22,24.229999542236328
2022-06-23,24.670000076293945
2022-06-24,25.450000762939453
2022-06-27,25.299999237060547
2022-06-28,24.719999313354492
2022-06-29,24.700000762939453
2022-06-30,24.440000534057617
2022-07-01,24.68000030517578
2022-07-05,24.950000762939453
2022-07-06,24.989999771118164
2022-07-07,25.43000030517578
2022-07-08,25.389999389648438
2022-07-11,24.979999542236328
2022-07-12,24.670000076293945
2022-07-13,24.540000915527344
2022-07-14,24.440000534057617
2022-07-15,24.959999084472656
2022-07-18,24.799999237060547
2022-07-19,25.530000686645508
2022-07-20,25.84000015258789
2022-07-21,26.209999084472656
2022-07-22,25.780000686645508
2022-07-25,25.739999771118164
2022-07-26,25.34000015258789
2022-07-27,26.110000610351562
2022-07-28,26.489999771118164
2022-07-29,26.790000915527344
2022-08-01,26.780000686645508
2022-08-02,26.68000030517578
2022-08-03,27.190000534057617
2022-08-04,27.329999923706055
2022-08-05,27.299999237060547
2022-08-08,27.329999923706055
2022-08-09,27.010000228881836
2022-08-10,27.739999771118164
2022-08-11,27.639999389648438
2022-08-12,28.09000015258789
2022-08-15,28.149999618530273
2022-08-16,28.1299991607666
2022-08-17,27.770000457763672
2022-08-18,27.799999237060547
2022-08-19,27.299999237060547
2022-08-22,26.670000076293945
2022-08-23,26.59000015258789
2022-08-24,26.729999542236328
2022-08-25,27.170000076293945
2022-08-26,26.18000030517578
2022-08-29,25.959999084472656
2022-08-30,25.760000228881836
2022-08-31,25.610000610351562
2022-09-01,25.610000610351562
2022-09-02,25.350000381469727
2022-09-06,25.239999771118164
2022-09-07,25.760000228881836
2022-09-08,26.010000228881836
2022-09-09,26.5
2022-09-12,26.760000228881836
2022-09-13,25.56999969482422
2022-09-14,25.700000762939453
2022-09-15,25.479999542236328
2022-09-16,25.200000762939453
2022-09-19,25.299999237060547
2022-09-20,24.969999313354492
2022-09-21,24.530000686645508
2022-09-22,24.139999389648438
2022-09-23,23.809999465942383
2022-09-26,23.59000015258789
2022-09-27,23.600000381469727
2022-09-28,24.139999389648438
2022-09-29,23.65999984741211
2022-09-30,23.389999389648438
2022-10-03,23.940000534057617
2022-10-04,24.790000915527344
2022-10-05,24.770000457763672
2022-10-06,24.6200008392334
2022-10-07,23.84000015258789
2022-10-10,23.540000915527344
2022-10-11,23.290000915527344
2022-10-12,23.25
2022-10-13,23.610000610351562
2022-10-14,22.989999771118164
2022-10-17,23.700000762939453
2022-10-18,23.940000534057617
2022-10-19,23.670000076293945
2022-10-20,23.510000228881836
2022-10-21,23.979999542236328
2022-10-24,24.15999984741211
2022-10-25,24.670000076293945
2022-10-26,24.43000030517578
2022-10-27,24.25
2022-10-28,24.670000076293945
2022-10-31,24.530000686645508
2022-11-01,24.40999984741211
2022-11-02,23.690000534057617
2022-11-03,23.43000030517578
2022-11-04,23.760000228881836
2022-11-07,23.93000030517578
2022-11-08,24.100000381469727
2022-11-09,23.639999389648438
2022-11-10,25.200000762939453
2022-11-11,25.559999465942383
2022-11-14,25.290000915527344
2022-11-15,25.68000030517578
2022-11-16,25.31999969482422
2022-11-17,25.09000015258789
2022-11-18,25.149999618530273
2022-11-21,24.93000030517578
2022-11-22,25.219999313354492
