Date,FBCEX
2024-10-14,215.94000244140625
2024-10-15,213.85000610351562
2024-10-16,214.77000427246094
2024-10-17,214.61000061035156
2024-10-18,216.1999969482422
2024-10-21,217.42999267578125
2024-10-22,217.4499969482422
2024-10-23,213.99000549316406
2024-10-24,214.8000030517578
2024-10-25,216.0399932861328
2024-10-28,216.77999877929688
2024-10-29,218.44000244140625
2024-10-30,217.52999877929688
2024-10-31,211.14999389648438
2024-11-01,213.44000244140625
2024-11-04,212.50999450683594
2024-11-05,215.8699951171875
2024-11-06,220.52000427246094
2024-11-07,225.4499969482422
2024-11-08,225.6199951171875
2024-11-11,225.02000427246094
2024-11-12,225.3699951171875
2024-11-13,224.52999877929688
2024-11-14,223.58999633789062
2024-11-15,219.0500030517578
2024-11-18,219.85000610351562
2024-11-19,222.8800048828125
2024-11-20,222.64999389648438
2024-11-21,222.91000366210938
