Date,AEPCX
2022-02-28,55.36000061035156
2022-03-01,54.150001525878906
2022-03-02,54.72999954223633
2022-03-03,53.619998931884766
2022-03-04,51.81999969482422
2022-03-07,49.880001068115234
2022-03-08,49.939998626708984
2022-03-09,52.06999969482422
2022-03-10,51.540000915527344
2022-03-11,50.810001373291016
2022-03-14,50.59000015258789
2022-03-15,50.83000183105469
2022-03-16,53.18000030517578
2022-03-17,54.11000061035156
2022-03-18,54.84000015258789
2022-03-21,54.369998931884766
2022-03-22,55.0
2022-03-23,54.45000076293945
2022-03-24,54.880001068115234
2022-03-25,54.43000030517578
2022-03-28,54.630001068115234
2022-03-29,55.959999084472656
2022-03-30,55.689998626708984
2022-03-31,54.77000045776367
2022-04-01,55.310001373291016
2022-04-04,56.06999969482422
2022-04-05,55.150001525878906
2022-04-06,54.20000076293945
2022-04-07,54.150001525878906
2022-04-08,53.97999954223633
2022-04-11,53.15999984741211
2022-04-12,52.869998931884766
2022-04-13,53.560001373291016
2022-04-14,53.13999938964844
2022-04-18,52.81999969482422
2022-04-19,52.9900016784668
2022-04-20,53.2400016784668
2022-04-21,52.540000915527344
2022-04-22,51.56999969482422
2022-04-25,51.310001373291016
2022-04-26,49.97999954223633
2022-04-27,50.36000061035156
2022-04-28,51.209999084472656
2022-04-29,50.599998474121094
2022-05-02,50.54999923706055
2022-05-03,50.77000045776367
2022-05-04,51.40999984741211
2022-05-05,49.84000015258789
2022-05-06,48.970001220703125
2022-05-09,47.2400016784668
2022-05-10,47.529998779296875
2022-05-11,47.369998931884766
2022-05-12,47.290000915527344
2022-05-13,48.72999954223633
2022-05-16,48.65999984741211
2022-05-17,49.709999084472656
2022-05-18,48.560001373291016
2022-05-19,48.90999984741211
2022-05-20,49.380001068115234
2022-05-23,49.970001220703125
2022-05-24,49.47999954223633
2022-05-25,49.540000915527344
2022-05-26,50.130001068115234
2022-05-27,51.04999923706055
2022-05-31,51.18000030517578
2022-06-01,50.529998779296875
2022-06-02,51.650001525878906
2022-06-03,50.959999084472656
2022-06-06,51.2599983215332
2022-06-07,51.47999954223633
2022-06-08,51.130001068115234
2022-06-09,50.04999923706055
2022-06-10,48.880001068115234
2022-06-13,46.790000915527344
2022-06-14,46.380001068115234
2022-06-15,47.13999938964844
2022-06-16,45.790000915527344
2022-06-17,45.79999923706055
2022-06-21,46.58000183105469
2022-06-22,46.04999923706055
2022-06-23,45.91999816894531
2022-06-24,47.290000915527344
2022-06-27,47.29999923706055
2022-06-28,46.970001220703125
2022-06-29,46.709999084472656
2022-06-30,46.349998474121094
2022-07-01,46.290000915527344
2022-07-05,45.77000045776367
2022-07-06,45.619998931884766
2022-07-07,46.45000076293945
2022-07-08,46.459999084472656
2022-07-11,45.63999938964844
2022-07-12,45.40999984741211
2022-07-13,45.400001525878906
2022-07-14,45.060001373291016
2022-07-15,45.720001220703125
2022-07-18,45.939998626708984
2022-07-19,46.9900016784668
2022-07-20,47.02000045776367
2022-07-21,47.5
2022-07-22,47.16999816894531
2022-07-25,47.2400016784668
2022-07-26,46.75
2022-07-27,47.70000076293945
2022-07-28,48.18000030517578
2022-07-29,48.630001068115234
2022-08-01,48.630001068115234
2022-08-02,47.9900016784668
2022-08-03,48.310001373291016
2022-08-04,48.720001220703125
2022-08-05,48.47999954223633
2022-08-08,48.720001220703125
2022-08-09,48.20000076293945
2022-08-10,49.13999938964844
2022-08-11,49.380001068115234
2022-08-12,49.93000030517578
2022-08-15,49.7400016784668
2022-08-16,49.459999084472656
