Date,CWIFX
2022-02-28,58.279998779296875
2022-03-01,57.15999984741211
2022-03-02,57.9900016784668
2022-03-03,57.34000015258789
2022-03-04,56.400001525878906
2022-03-07,54.66999816894531
2022-03-08,54.41999816894531
2022-03-09,56.0099983215332
2022-03-10,55.790000915527344
2022-03-11,55.04999923706055
2022-03-14,54.470001220703125
2022-03-15,55.040000915527344
2022-03-16,56.68000030517578
2022-03-17,57.540000915527344
2022-03-18,58.150001525878906
2022-03-21,57.95000076293945
2022-03-22,58.54999923706055
2022-03-23,57.91999816894531
2022-03-24,58.47999954223633
2022-03-25,58.459999084472656
2022-03-28,58.54999923706055
2022-03-29,59.43000030517578
2022-03-30,59.27000045776367
2022-03-31,58.43000030517578
2022-04-01,58.849998474121094
2022-04-04,59.369998931884766
2022-04-05,58.52000045776367
2022-04-06,57.90999984741211
2022-04-07,57.97999954223633
2022-04-08,58.040000915527344
2022-04-11,57.25
2022-04-12,56.97999954223633
2022-04-13,57.689998626708984
2022-04-14,57.150001525878906
2022-04-18,56.95000076293945
2022-04-19,57.40999984741211
2022-04-20,57.40999984741211
2022-04-21,56.61000061035156
2022-04-22,55.33000183105469
2022-04-25,55.15999984741211
2022-04-26,53.66999816894531
2022-04-27,53.93000030517578
2022-04-28,54.900001525878906
2022-04-29,53.7400016784668
2022-05-02,53.880001068115234
2022-05-03,54.220001220703125
2022-05-04,55.349998474121094
2022-05-05,53.79999923706055
2022-05-06,53.2400016784668
2022-05-09,51.52000045776367
2022-05-10,51.75
2022-05-11,51.4900016784668
2022-05-12,51.380001068115234
2022-05-13,52.77000045776367
2022-05-16,52.790000915527344
2022-05-17,53.880001068115234
2022-05-18,52.40999984741211
2022-05-19,52.40999984741211
2022-05-20,52.68000030517578
2022-05-23,53.439998626708984
2022-05-24,53.20000076293945
2022-05-25,53.5099983215332
2022-05-26,54.27000045776367
2022-05-27,55.34000015258789
2022-05-31,55.220001220703125
2022-06-01,54.709999084472656
2022-06-02,55.63999938964844
2022-06-03,54.900001525878906
2022-06-06,55.08000183105469
2022-06-07,55.470001220703125
2022-06-08,54.900001525878906
2022-06-09,53.70000076293945
2022-06-10,52.349998474121094
2022-06-13,50.040000915527344
2022-06-14,49.68000030517578
2022-06-15,50.459999084472656
2022-06-16,48.90999984741211
2022-06-17,48.7400016784668
2022-06-21,49.68000030517578
2022-06-22,49.2599983215332
2022-06-23,49.27000045776367
2022-06-24,50.59000015258789
2022-06-27,50.63999938964844
2022-06-28,50.16999816894531
2022-06-29,49.959999084472656
2022-06-30,49.45000076293945
2022-07-01,49.619998931884766
2022-07-05,49.0099983215332
2022-07-06,48.88999938964844
2022-07-07,49.81999969482422
2022-07-08,49.880001068115234
2022-07-11,49.06999969482422
2022-07-12,48.720001220703125
2022-07-13,48.58000183105469
2022-07-14,48.130001068115234
2022-07-15,48.93000030517578
2022-07-18,48.900001525878906
2022-07-19,50.119998931884766
2022-07-20,50.08000183105469
2022-07-21,50.45000076293945
2022-07-22,50.130001068115234
2022-07-25,50.38999938964844
2022-07-26,49.9900016784668
2022-07-27,51.02000045776367
2022-07-28,51.5099983215332
2022-07-29,51.939998626708984
2022-08-01,51.849998474121094
2022-08-02,51.38999938964844
2022-08-03,51.86000061035156
2022-08-04,51.9900016784668
2022-08-05,52.0
2022-08-08,52.189998626708984
2022-08-09,51.900001525878906
2022-08-10,52.84000015258789
2022-08-11,52.97999954223633
2022-08-12,53.689998626708984
2022-08-15,53.619998931884766
2022-08-16,53.66999816894531
2022-08-17,53.290000915527344
2022-08-18,53.2400016784668
2022-08-19,52.63999938964844
2022-08-22,51.66999816894531
2022-08-23,51.790000915527344
2022-08-24,51.86000061035156
2022-08-25,52.599998474121094
2022-08-26,51.2400016784668
2022-08-29,50.970001220703125
2022-08-30,50.459999084472656
2022-08-31,50.16999816894531
2022-09-01,49.900001525878906
2022-09-02,49.68000030517578
2022-09-06,49.5
2022-09-07,50.0
2022-09-08,50.31999969482422
2022-09-09,51.27000045776367
2022-09-12,51.619998931884766
2022-09-13,49.84000015258789
2022-09-14,49.959999084472656
2022-09-15,49.5099983215332
2022-09-16,49.15999984741211
2022-09-19,49.439998626708984
2022-09-20,48.86000061035156
2022-09-21,48.02000045776367
2022-09-22,47.72999954223633
2022-09-23,46.61000061035156
2022-09-26,46.0099983215332
2022-09-27,45.91999816894531
2022-09-28,46.75
2022-09-29,46.0099983215332
2022-09-30,45.689998626708984
2022-10-03,46.849998474121094
2022-10-04,48.439998626708984
2022-10-05,48.31999969482422
2022-10-06,47.7400016784668
2022-10-07,46.790000915527344
2022-10-10,46.40999984741211
2022-10-11,45.91999816894531
2022-10-12,45.779998779296875
2022-10-13,46.61000061035156
2022-10-14,45.7400016784668
2022-10-17,46.75
2022-10-18,47.150001525878906
2022-10-19,46.81999969482422
2022-10-20,46.61000061035156
2022-10-21,47.61000061035156
2022-10-24,47.720001220703125
2022-10-25,48.40999984741211
2022-10-26,48.54999923706055
2022-10-27,48.25
2022-10-28,48.86000061035156
2022-10-31,48.61000061035156
2022-11-01,48.86000061035156
2022-11-02,47.97999954223633
2022-11-03,47.650001525878906
2022-11-04,48.88999938964844
2022-11-07,49.33000183105469
2022-11-08,49.720001220703125
2022-11-09,48.93000030517578
2022-11-10,51.11000061035156
2022-11-11,51.869998931884766
2022-11-14,51.59000015258789
2022-11-15,52.08000183105469
2022-11-16,51.7599983215332
2022-11-17,51.630001068115234
2022-11-18,51.790000915527344
2022-11-21,51.45000076293945
2022-11-22,52.09000015258789
2022-11-23,52.43000030517578
