Date,CICFX
2022-02-28,47.790000915527344
2022-03-01,47.08000183105469
2022-03-02,47.869998931884766
2022-03-03,47.56999969482422
2022-03-04,47.2400016784668
2022-03-07,45.849998474121094
2022-03-08,45.56999969482422
2022-03-09,46.650001525878906
2022-03-10,46.56999969482422
2022-03-11,45.97999954223633
2022-03-14,45.689998626708984
2022-03-15,46.5099983215332
2022-03-16,47.310001373291016
2022-03-17,47.880001068115234
2022-03-18,48.380001068115234
2022-03-21,48.34000015258789
2022-03-22,48.83000183105469
2022-03-23,48.29999923706055
2022-03-24,48.91999816894531
2022-03-25,49.16999816894531
2022-03-28,49.310001373291016
2022-03-29,49.869998931884766
2022-03-30,49.70000076293945
2022-03-31,48.959999084472656
2022-04-01,49.2400016784668
2022-04-04,49.599998474121094
2022-04-05,49.0099983215332
2022-04-06,48.56999969482422
2022-04-07,48.7400016784668
2022-04-08,48.720001220703125
2022-04-11,47.9900016784668
2022-04-12,47.84000015258789
2022-04-13,48.369998931884766
2022-04-14,47.83000183105469
2022-04-18,47.83000183105469
2022-04-19,48.5099983215332
2022-04-20,48.2400016784668
2022-04-21,47.43000030517578
2022-04-22,46.2599983215332
2022-04-25,46.34000015258789
2022-04-26,45.099998474121094
2022-04-27,45.2599983215332
2022-04-28,46.290000915527344
2022-04-29,44.75
2022-05-02,45.0099983215332
2022-05-03,45.25
2022-05-04,46.45000076293945
2022-05-05,45.0099983215332
2022-05-06,44.75
2022-05-09,43.290000915527344
2022-05-10,43.40999984741211
2022-05-11,42.95000076293945
2022-05-12,42.939998626708984
2022-05-13,43.9900016784668
2022-05-16,43.97999954223633
2022-05-17,44.869998931884766
2022-05-18,43.380001068115234
2022-05-19,43.150001525878906
2022-05-20,43.220001220703125
2022-05-23,43.84000015258789
2022-05-24,43.599998474121094
2022-05-25,43.970001220703125
2022-05-26,44.689998626708984
2022-05-27,45.619998931884766
2022-05-31,45.400001525878906
2022-06-01,45.15999984741211
2022-06-02,45.880001068115234
2022-06-03,45.279998779296875
2022-06-06,45.43000030517578
2022-06-07,45.849998474121094
2022-06-08,45.349998474121094
2022-06-09,44.27000045776367
2022-06-10,43.099998474121094
2022-06-13,41.45000076293945
2022-06-14,41.220001220703125
2022-06-15,41.04999923706055
2022-06-16,39.689998626708984
2022-06-17,39.70000076293945
2022-06-21,40.4900016784668
2022-06-22,40.31999969482422
2022-06-23,40.54999923706055
2022-06-24,41.709999084472656
2022-06-27,41.66999816894531
2022-06-28,41.06999969482422
2022-06-29,41.0
2022-06-30,40.66999816894531
