Date,VSEMX
2022-02-28,200.35000610351562
2022-03-01,196.74000549316406
2022-03-02,200.83999633789062
2022-03-03,196.83999633789062
2022-03-04,192.69000244140625
2022-03-07,185.74000549316406
2022-03-08,186.7100067138672
2022-03-09,192.92999267578125
2022-03-10,192.0399932861328
2022-03-11,188.25999450683594
2022-03-14,184.25999450683594
2022-03-15,187.49000549316406
2022-03-16,194.49000549316406
2022-03-17,198.2899932861328
2022-03-18,201.6300048828125
2022-03-21,199.9199981689453
2022-03-22,202.72000122070312
2022-03-23,199.5500030517578
2022-03-24,202.10000610351562
2022-03-25,201.5399932861328
2022-03-28,202.61000061035156
2022-03-29,208.1999969482422
2022-03-30,204.5500030517578
2022-03-31,201.8699951171875
2022-04-01,203.72000122070312
2022-04-04,205.24000549316406
2022-04-05,200.22999572753906
2022-04-06,196.5800018310547
2022-04-07,196.0
2022-04-08,194.6300048828125
2022-04-11,193.3800048828125
2022-04-12,193.27000427246094
2022-04-13,197.55999755859375
2022-04-14,195.14999389648438
2022-04-18,193.25999450683594
2022-04-19,198.0399932861328
2022-04-20,197.4499969482422
2022-04-21,192.19000244140625
2022-04-22,187.3800048828125
2022-04-25,189.38999938964844
2022-04-26,182.97000122070312
2022-04-27,182.52999877929688
2022-04-28,186.30999755859375
2022-04-29,180.52999877929688
2022-05-02,182.64999389648438
2022-05-03,183.3300018310547
2022-05-04,188.16000366210938
2022-05-05,179.75
2022-05-06,175.8300018310547
2022-05-09,166.94000244140625
2022-05-10,166.75999450683594
2022-05-11,162.41000366210938
2022-05-12,164.6999969482422
2022-05-13,171.4499969482422
2022-05-16,169.33999633789062
2022-05-17,174.22999572753906
2022-05-18,167.5800018310547
2022-05-19,168.72999572753906
2022-05-20,168.52000427246094
2022-05-23,170.14999389648438
2022-05-24,166.08999633789062
2022-05-25,169.82000732421875
2022-05-26,174.05999755859375
2022-05-27,179.07000732421875
2022-05-31,176.5
2022-06-01,175.1300048828125
2022-06-02,180.36000061035156
2022-06-03,177.97000122070312
2022-06-06,178.61000061035156
2022-06-07,181.2100067138672
2022-06-08,178.99000549316406
2022-06-09,174.4499969482422
2022-06-10,168.82000732421875
2022-06-13,159.85000610351562
2022-06-14,159.33999633789062
2022-06-15,162.22999572753906
2022-06-16,154.3000030517578
2022-06-17,156.75
2022-06-21,159.27999877929688
2022-06-22,158.75
