Date,VDADX
2022-02-28,42.900001525878906
2022-03-01,42.27000045776367
2022-03-02,43.060001373291016
2022-03-03,43.119998931884766
2022-03-04,43.029998779296875
2022-03-07,41.9900016784668
2022-03-08,41.439998626708984
2022-03-09,42.25
2022-03-10,42.040000915527344
2022-03-11,41.630001068115234
2022-03-14,41.709999084472656
2022-03-15,42.619998931884766
2022-03-16,43.209999084472656
2022-03-17,43.61000061035156
2022-03-18,43.720001220703125
2022-03-21,43.599998474121094
2022-03-22,43.880001068115234
2022-03-23,43.25
2022-03-24,43.72999954223633
2022-03-25,43.9900016784668
2022-03-28,44.22999954223633
2022-03-29,44.7599983215332
2022-03-30,44.58000183105469
2022-03-31,43.97999954223633
2022-04-01,44.150001525878906
2022-04-04,44.209999084472656
2022-04-05,43.939998626708984
2022-04-06,43.83000183105469
2022-04-07,44.09000015258789
2022-04-08,44.08000183105469
2022-04-11,43.56999969482422
2022-04-12,43.369998931884766
2022-04-13,43.689998626708984
2022-04-14,43.369998931884766
2022-04-18,43.2400016784668
2022-04-19,43.939998626708984
2022-04-20,44.36000061035156
2022-04-21,43.939998626708984
2022-04-22,42.72999954223633
2022-04-25,43.0099983215332
2022-04-26,42.06999969482422
2022-04-27,42.349998474121094
2022-04-28,43.13999938964844
2022-04-29,41.779998779296875
2022-05-02,41.79999923706055
2022-05-03,41.86000061035156
2022-05-04,43.029998779296875
2022-05-05,41.75
2022-05-06,41.52000045776367
2022-05-09,40.75
2022-05-10,40.650001525878906
2022-05-11,40.220001220703125
2022-05-12,40.2599983215332
2022-05-13,40.88999938964844
2022-05-16,40.84000015258789
2022-05-17,41.47999954223633
2022-05-18,39.779998779296875
2022-05-19,39.400001525878906
2022-05-20,39.560001373291016
2022-05-23,40.25
2022-05-24,40.31999969482422
2022-05-25,40.540000915527344
2022-05-26,41.2400016784668
2022-05-27,42.02000045776367
2022-05-31,41.709999084472656
2022-06-01,41.2599983215332
2022-06-02,41.959999084472656
2022-06-03,41.4900016784668
2022-06-06,41.56999969482422
2022-06-07,41.900001525878906
2022-06-08,41.349998474121094
2022-06-09,40.599998474121094
2022-06-10,39.650001525878906
