Date,AWSHX
2022-02-28,57.33000183105469
2022-03-01,56.54999923706055
2022-03-02,57.650001525878906
2022-03-03,57.540000915527344
2022-03-04,57.599998474121094
2022-03-07,56.29999923706055
2022-03-08,55.72999954223633
2022-03-09,56.849998474121094
2022-03-10,56.779998779296875
2022-03-11,56.2400016784668
2022-03-14,56.20000076293945
2022-03-15,57.060001373291016
2022-03-16,57.630001068115234
2022-03-17,58.290000915527344
2022-03-18,58.619998931884766
2022-03-21,58.68000030517578
2022-03-22,59.029998779296875
2022-03-23,58.45000076293945
2022-03-24,59.220001220703125
2022-03-25,59.58000183105469
2022-03-28,59.66999816894531
2022-03-29,60.040000915527344
2022-03-30,59.939998626708984
2022-03-31,59.09000015258789
2022-04-01,59.279998779296875
2022-04-04,59.38999938964844
2022-04-05,58.95000076293945
2022-04-06,58.880001068115234
2022-04-07,59.209999084472656
2022-04-08,59.31999969482422
2022-04-11,58.59000015258789
2022-04-12,58.43000030517578
2022-04-13,58.88999938964844
2022-04-14,58.45000076293945
2022-04-18,58.4900016784668
2022-04-19,59.08000183105469
2022-04-20,59.380001068115234
2022-04-21,58.59000015258789
2022-04-22,57.16999816894531
2022-04-25,57.290000915527344
2022-04-26,56.040000915527344
2022-04-27,56.380001068115234
2022-04-28,57.27000045776367
2022-04-29,55.52000045776367
2022-05-02,55.70000076293945
2022-05-03,56.06999969482422
2022-05-04,57.529998779296875
2022-05-05,56.0099983215332
2022-05-06,55.970001220703125
2022-05-09,54.43000030517578
2022-05-10,54.58000183105469
2022-05-11,54.099998474121094
2022-05-12,54.09000015258789
2022-05-13,55.0099983215332
2022-05-16,55.09000015258789
2022-05-17,56.029998779296875
2022-05-18,54.119998931884766
2022-05-19,53.7599983215332
2022-05-20,53.93000030517578
2022-05-23,54.66999816894531
2022-05-24,54.75
2022-05-25,55.16999816894531
2022-05-26,56.0099983215332
2022-05-27,57.06999969482422
2022-05-31,56.650001525878906
2022-06-01,56.25
2022-06-02,56.81999969482422
2022-06-03,56.22999954223633
2022-06-06,56.310001373291016
2022-06-07,56.939998626708984
2022-06-08,56.290000915527344
2022-06-09,55.150001525878906
2022-06-10,53.95000076293945
2022-06-13,52.20000076293945
2022-06-14,51.880001068115234
2022-06-15,50.630001068115234
2022-06-16,49.209999084472656
2022-06-17,49.04999923706055
2022-06-21,50.2400016784668
2022-06-22,50.130001068115234
2022-06-23,50.34000015258789
2022-06-24,51.58000183105469
2022-06-27,51.65999984741211
2022-06-28,51.029998779296875
2022-06-29,50.95000076293945
2022-06-30,50.709999084472656
2022-07-01,51.06999969482422
2022-07-05,50.61000061035156
2022-07-06,50.84000015258789
2022-07-07,51.43000030517578
2022-07-08,51.380001068115234
2022-07-11,50.970001220703125
2022-07-12,50.529998779296875
2022-07-13,50.2400016784668
2022-07-14,49.93000030517578
2022-07-15,50.880001068115234
2022-07-18,50.5
2022-07-19,51.7400016784668
2022-07-20,51.68000030517578
2022-07-21,51.91999816894531
2022-07-22,51.630001068115234
2022-07-25,51.93000030517578
2022-07-26,51.619998931884766
2022-07-27,52.43000030517578
2022-07-28,52.86000061035156
2022-07-29,53.25
