Date,FESGX
2022-02-28,61.47999954223633
2022-03-01,61.02000045776367
2022-03-02,61.5
2022-03-03,61.20000076293945
2022-03-04,60.81999969482422
2022-03-07,59.959999084472656
2022-03-08,60.16999816894531
2022-03-09,60.9900016784668
2022-03-10,60.880001068115234
2022-03-11,60.33000183105469
2022-03-14,59.880001068115234
2022-03-15,60.060001373291016
2022-03-16,61.08000183105469
2022-03-17,61.709999084472656
2022-03-18,62.06999969482422
2022-03-21,62.16999816894531
2022-03-22,62.4900016784668
2022-03-23,62.220001220703125
2022-03-24,62.63999938964844
2022-03-25,62.900001525878906
2022-03-28,62.68000030517578
2022-03-29,63.279998779296875
2022-03-30,63.119998931884766
2022-03-31,62.34000015258789
2022-04-01,62.61000061035156
2022-04-04,62.790000915527344
2022-04-05,62.16999816894531
2022-04-06,61.849998474121094
2022-04-07,62.0099983215332
2022-04-08,62.310001373291016
2022-04-11,61.90999984741211
2022-04-12,61.7400016784668
2022-04-13,62.220001220703125
2022-04-14,62.09000015258789
2022-04-18,61.95000076293945
2022-04-19,61.9900016784668
2022-04-20,62.279998779296875
2022-04-21,61.560001373291016
2022-04-22,60.34000015258789
2022-04-25,60.029998779296875
2022-04-26,59.11000061035156
2022-04-27,59.04999923706055
2022-04-28,59.88999938964844
2022-04-29,58.9900016784668
2022-05-02,58.869998931884766
2022-05-03,59.2599983215332
2022-05-04,60.36000061035156
2022-05-05,59.09000015258789
2022-05-06,58.790000915527344
2022-05-09,57.43000030517578
2022-05-10,57.470001220703125
2022-05-11,57.209999084472656
2022-05-12,57.119998931884766
2022-05-13,57.869998931884766
2022-05-16,58.08000183105469
2022-05-17,58.849998474121094
2022-05-18,57.59000015258789
2022-05-19,57.63999938964844
2022-05-20,57.779998779296875
2022-05-23,58.619998931884766
2022-05-24,58.54999923706055
2022-05-25,58.81999969482422
2022-05-26,59.38999938964844
2022-05-27,60.040000915527344
2022-05-31,59.810001373291016
2022-06-01,59.58000183105469
2022-06-02,60.34000015258789
2022-06-03,59.70000076293945
2022-06-06,59.83000183105469
2022-06-07,60.189998626708984
2022-06-08,59.75
2022-06-09,58.689998626708984
2022-06-10,57.900001525878906
2022-06-13,56.130001068115234
2022-06-14,55.900001525878906
2022-06-15,56.34000015258789
2022-06-16,55.380001068115234
2022-06-17,55.11000061035156
2022-06-21,55.77000045776367
2022-06-22,55.52000045776367
2022-06-23,55.369998931884766
2022-06-24,56.61000061035156
2022-06-27,56.75
2022-06-28,56.34000015258789
2022-06-29,56.15999984741211
2022-06-30,55.689998626708984
2022-07-01,56.08000183105469
2022-07-05,55.47999954223633
2022-07-06,55.22999954223633
2022-07-07,55.81999969482422
2022-07-08,55.779998779296875
2022-07-11,55.119998931884766
2022-07-12,54.849998474121094
2022-07-13,54.72999954223633
2022-07-14,54.060001373291016
2022-07-15,54.709999084472656
2022-07-18,54.77000045776367
2022-07-19,55.91999816894531
2022-07-20,55.720001220703125
2022-07-21,56.13999938964844
2022-07-22,56.060001373291016
2022-07-25,56.189998626708984
2022-07-26,55.880001068115234
2022-07-27,56.790000915527344
2022-07-28,57.189998626708984
2022-07-29,57.630001068115234
2022-08-01,57.529998779296875
2022-08-02,57.02000045776367
2022-08-03,57.310001373291016
2022-08-04,57.29999923706055
2022-08-05,57.08000183105469
2022-08-08,57.150001525878906
2022-08-09,57.11000061035156
2022-08-10,57.93000030517578
2022-08-11,58.11000061035156
2022-08-12,58.619998931884766
2022-08-15,58.43000030517578
2022-08-16,58.380001068115234
2022-08-17,57.93000030517578
2022-08-18,57.970001220703125
2022-08-19,57.470001220703125
2022-08-22,56.72999954223633
2022-08-23,56.880001068115234
2022-08-24,57.08000183105469
2022-08-25,57.599998474121094
2022-08-26,56.34000015258789
2022-08-29,56.16999816894531
2022-08-30,55.65999984741211
2022-08-31,55.369998931884766
2022-09-01,55.029998779296875
2022-09-02,54.93000030517578
2022-09-06,54.59000015258789
2022-09-07,55.189998626708984
2022-09-08,55.31999969482422
2022-09-09,56.150001525878906
2022-09-12,56.619998931884766
2022-09-13,54.9900016784668
2022-09-14,54.90999984741211
2022-09-15,54.38999938964844
2022-09-16,54.130001068115234
2022-09-19,54.40999984741211
2022-09-20,53.79999923706055
2022-09-21,53.25
2022-09-22,53.040000915527344
2022-09-23,51.790000915527344
2022-09-26,51.0099983215332
2022-09-27,50.88999938964844
2022-09-28,51.86000061035156
2022-09-29,51.43000030517578
2022-09-30,51.11000061035156
2022-10-03,52.439998626708984
2022-10-04,53.83000183105469
2022-10-05,53.68000030517578
2022-10-06,53.36000061035156
2022-10-07,52.38999938964844
2022-10-10,51.97999954223633
2022-10-11,51.689998626708984
2022-10-12,51.61000061035156
2022-10-13,52.439998626708984
2022-10-14,51.5099983215332
2022-10-17,52.439998626708984
2022-10-18,52.7400016784668
2022-10-19,52.36000061035156
2022-10-20,52.34000015258789
2022-10-21,53.290000915527344
2022-10-24,53.380001068115234
2022-10-25,53.93000030517578
2022-10-26,54.18000030517578
2022-10-27,53.900001525878906
2022-10-28,54.459999084472656
2022-10-31,54.2599983215332
2022-11-01,54.459999084472656
2022-11-02,53.47999954223633
2022-11-03,53.09000015258789
2022-11-04,54.31999969482422
2022-11-07,54.63999938964844
2022-11-08,55.09000015258789
2022-11-09,54.470001220703125
2022-11-10,56.470001220703125
2022-11-11,57.22999954223633
2022-11-14,56.88999938964844
2022-11-15,57.380001068115234
2022-11-16,56.970001220703125
2022-11-17,56.86000061035156
2022-11-18,57.06999969482422
2022-11-21,56.810001373291016
2022-11-22,57.5099983215332
