Date,VFIAX
2022-02-28,404.55999755859375
2022-03-01,398.30999755859375
2022-03-02,405.75
2022-03-03,403.6600036621094
2022-03-04,400.489990234375
2022-03-07,388.6700134277344
2022-03-08,385.8599853515625
2022-03-09,395.8399963378906
2022-03-10,394.17999267578125
2022-03-11,389.0899963378906
2022-03-14,386.2799987792969
2022-03-15,394.55999755859375
2022-03-16,403.3999938964844
2022-03-17,408.3999938964844
2022-03-18,413.1700134277344
2022-03-21,413.010009765625
2022-03-22,417.67999267578125
2022-03-23,411.20001220703125
2022-03-24,417.1300048828125
2022-03-25,419.25
2022-03-28,422.239990234375
2022-03-29,427.4200134277344
2022-03-30,424.7699890136719
2022-03-31,418.1600036621094
2022-04-01,419.5799865722656
2022-04-04,422.9800109863281
2022-04-05,417.7300109863281
2022-04-06,413.67999267578125
2022-04-07,415.489990234375
2022-04-08,414.3900146484375
2022-04-11,407.3999938964844
2022-04-12,406.0199890136719
2022-04-13,410.6300048828125
2022-04-14,405.6400146484375
2022-04-18,405.55999755859375
2022-04-19,412.0799865722656
2022-04-20,411.8299865722656
2022-04-21,405.7900085449219
2022-04-22,394.5299987792969
2022-04-25,396.7900085449219
2022-04-26,385.6199951171875
2022-04-27,386.42999267578125
2022-04-28,396.0199890136719
2022-04-29,381.67999267578125
2022-05-02,383.8399963378906
2022-05-03,385.70001220703125
2022-05-04,397.2200012207031
2022-05-05,383.1000061035156
2022-05-06,380.989990234375
2022-05-09,368.80999755859375
2022-05-10,369.7200012207031
2022-05-11,363.6400146484375
2022-05-12,363.29998779296875
2022-05-13,372.010009765625
2022-05-16,370.55999755859375
2022-05-17,378.05999755859375
2022-05-18,362.8699951171875
2022-05-19,360.7900085449219
2022-05-20,360.8500061035156
2022-05-23,367.5899963378906
2022-05-24,364.6099853515625
2022-05-25,368.05999755859375
2022-05-26,375.3900146484375
2022-05-27,384.75
2022-05-31,382.3599853515625
2022-06-01,379.5400085449219
2022-06-02,386.6000061035156
2022-06-03,380.30999755859375
2022-06-06,381.5
2022-06-07,385.1499938964844
2022-06-08,381.0
2022-06-09,371.9700012207031
2022-06-10,361.1499938964844
2022-06-13,347.1600036621094
2022-06-14,345.9700012207031
2022-06-15,351.0299987792969
2022-06-16,339.6499938964844
2022-06-17,340.3999938964844
2022-06-21,348.75
2022-06-22,348.29998779296875
2022-06-23,351.6400146484375
2022-06-24,362.3900146484375
2022-06-27,361.32000732421875
2022-06-28,352.6099853515625
2022-06-29,352.3999938964844
2022-06-30,349.3699951171875
2022-07-01,353.05999755859375
2022-07-05,353.67999267578125
2022-07-06,354.95001220703125
2022-07-07,360.30999755859375
2022-07-08,360.0400085449219
2022-07-11,355.8900146484375
2022-07-12,352.6099853515625
2022-07-13,351.0400085449219
2022-07-14,350.0299987792969
2022-07-15,356.75
2022-07-18,353.7699890136719
2022-07-19,363.55999755859375
2022-07-20,365.7099914550781
2022-07-21,369.3500061035156
2022-07-22,365.8999938964844
2022-07-25,366.3800048828125
2022-07-26,362.1499938964844
2022-07-27,371.6300048828125
2022-07-28,376.19000244140625
2022-07-29,381.57000732421875
2022-08-01,380.5
2022-08-02,377.9599914550781
2022-08-03,383.8800048828125
2022-08-04,383.6099853515625
2022-08-05,383.0400085449219
2022-08-08,382.57000732421875
2022-08-09,380.9700012207031
