Date,VTIVX
2022-02-28,26.450000762939453
2022-03-01,26.100000381469727
2022-03-02,26.399999618530273
2022-03-03,26.170000076293945
2022-03-04,25.829999923706055
2022-03-07,25.149999618530273
2022-03-08,25.049999237060547
2022-03-09,25.690000534057617
2022-03-10,25.549999237060547
2022-03-11,25.260000228881836
2022-03-14,25.079999923706055
2022-03-15,25.389999389648438
2022-03-16,26.06999969482422
2022-03-17,26.350000381469727
2022-03-18,26.639999389648438
2022-03-21,26.510000228881836
2022-03-22,26.760000228881836
2022-03-23,26.520000457763672
2022-03-24,26.760000228881836
2022-03-25,26.780000686645508
2022-03-28,26.860000610351562
2022-03-29,27.239999771118164
2022-03-30,27.1200008392334
2022-03-31,26.770000457763672
2022-04-01,26.90999984741211
2022-04-04,27.100000381469727
2022-04-05,26.760000228881836
2022-04-06,26.489999771118164
2022-04-07,26.5
2022-04-08,26.450000762939453
2022-04-11,26.1299991607666
2022-04-12,26.030000686645508
2022-04-13,26.31999969482422
2022-04-14,26.09000015258789
2022-04-18,26.0
2022-04-19,26.239999771118164
2022-04-20,26.290000915527344
2022-04-21,25.93000030517578
2022-04-22,25.40999984741211
2022-04-25,25.440000534057617
2022-04-26,24.8700008392334
2022-04-27,24.920000076293945
2022-04-28,25.34000015258789
2022-04-29,24.799999237060547
2022-05-02,24.84000015258789
2022-05-03,24.959999084472656
2022-05-04,25.469999313354492
2022-05-05,24.700000762939453
2022-05-06,24.469999313354492
2022-05-09,23.790000915527344
2022-05-10,23.860000610351562
2022-05-11,23.6200008392334
2022-05-12,23.59000015258789
2022-05-13,24.1200008392334
2022-05-16,24.06999969482422
2022-05-17,24.479999542236328
2022-05-18,23.809999465942383
2022-05-19,23.829999923706055
2022-05-20,23.899999618530273
2022-05-23,24.219999313354492
2022-05-24,24.030000686645508
2022-05-25,24.200000762939453
2022-05-26,24.559999465942383
2022-05-27,24.989999771118164
2022-05-31,24.899999618530273
2022-06-01,24.719999313354492
2022-06-02,25.110000610351562
2022-06-03,24.790000915527344
2022-06-06,24.860000610351562
2022-06-07,25.020000457763672
2022-06-08,24.799999237060547
2022-06-09,24.309999465942383
2022-06-10,23.739999771118164
2022-06-13,22.90999984741211
2022-06-14,22.809999465942383
2022-06-15,23.149999618530273
2022-06-16,22.559999465942383
2022-06-17,22.579999923706055
2022-06-21,22.959999084472656
2022-06-22,22.8799991607666
2022-06-23,23.0
2022-06-24,23.56999969482422
2022-06-27,23.530000686645508
2022-06-28,23.25
2022-06-29,23.200000762939453
2022-06-30,23.040000915527344
2022-07-01,23.18000030517578
2022-07-05,23.110000610351562
2022-07-06,23.100000381469727
2022-07-07,23.43000030517578
2022-07-08,23.40999984741211
2022-07-11,23.1299991607666
2022-07-12,23.010000228881836
2022-07-13,22.959999084472656
2022-07-14,22.799999237060547
2022-07-15,23.1299991607666
2022-07-18,23.100000381469727
2022-07-19,23.600000381469727
2022-07-20,23.670000076293945
2022-07-21,23.899999618530273
2022-07-22,23.75
2022-07-25,23.809999465942383
