Date,VTISX
2022-02-28,135.8699951171875
2022-03-01,133.5800018310547
2022-03-02,134.7100067138672
2022-03-03,132.72999572753906
2022-03-04,129.52999877929688
2022-03-07,125.79000091552734
2022-03-08,125.77999877929688
2022-03-09,130.14999389648438
2022-03-10,129.05999755859375
2022-03-11,127.58000183105469
2022-03-14,127.25
2022-03-15,127.69999694824219
2022-03-16,132.92999267578125
2022-03-17,134.25999450683594
2022-03-18,135.5
2022-03-21,134.39999389648438
2022-03-22,135.8800048828125
2022-03-23,134.7100067138672
2022-03-24,135.42999267578125
2022-03-25,135.27000427246094
2022-03-28,134.99000549316406
2022-03-29,137.3800048828125
2022-03-30,137.17999267578125
2022-03-31,135.1199951171875
2022-04-01,136.4199981689453
2022-04-04,137.5
2022-04-05,135.8699951171875
2022-04-06,134.35000610351562
2022-04-07,133.91000366210938
2022-04-08,134.11000061035156
2022-04-11,132.63999938964844
2022-04-12,131.8000030517578
2022-04-13,133.36000061035156
2022-04-14,132.6999969482422
2022-04-18,131.88999938964844
2022-04-19,132.16000366210938
2022-04-20,132.77999877929688
2022-04-21,131.1699981689453
2022-04-22,129.1199951171875
2022-04-25,128.0
2022-04-26,125.08999633789062
2022-04-27,125.73999786376953
2022-04-28,127.43000030517578
2022-04-29,126.62999725341797
2022-05-02,126.20999908447266
2022-05-03,127.08000183105469
2022-05-04,128.74000549316406
2022-05-05,125.08000183105469
2022-05-06,123.47000122070312
2022-05-09,119.91000366210938
2022-05-10,120.43000030517578
2022-05-11,119.91000366210938
2022-05-12,119.18000030517578
2022-05-13,122.2699966430664
2022-05-16,122.48999786376953
2022-05-17,124.80000305175781
2022-05-18,122.30999755859375
2022-05-19,123.22000122070312
2022-05-20,124.0199966430664
2022-05-23,125.80000305175781
2022-05-24,124.76000213623047
2022-05-25,125.01000213623047
2022-05-26,126.5
2022-05-27,128.0500030517578
2022-05-31,128.4499969482422
2022-06-01,127.41999816894531
2022-06-02,129.36000061035156
2022-06-03,127.69000244140625
2022-06-06,128.3699951171875
2022-06-07,128.63999938964844
2022-06-08,127.73999786376953
2022-06-09,125.08000183105469
2022-06-10,122.58999633789062
2022-06-13,118.37999725341797
2022-06-14,117.83999633789062
2022-06-15,119.7300033569336
2022-06-16,117.05999755859375
2022-06-17,115.25
2022-06-21,117.01000213623047
2022-06-22,115.76000213623047
2022-06-23,115.37999725341797
2022-06-24,118.30000305175781
2022-06-27,118.44999694824219
2022-06-28,118.04000091552734
2022-06-29,117.36000061035156
2022-06-30,116.4000015258789
2022-07-01,116.22000122070312
2022-07-05,114.45999908447266
2022-07-06,114.19999694824219
2022-07-07,116.16000366210938
2022-07-08,116.2699966430664
2022-07-11,114.30000305175781
2022-07-12,113.9000015258789
2022-07-13,113.77999877929688
2022-07-14,112.43000030517578
2022-07-15,113.72000122070312
2022-07-18,114.54000091552734
2022-07-19,117.02999877929688
2022-07-20,116.66999816894531
2022-07-21,117.9000015258789
2022-07-22,117.33999633789062
2022-07-25,118.01000213623047
2022-07-26,116.80000305175781
2022-07-27,119.08000183105469
2022-07-28,119.87000274658203
2022-07-29,120.68000030517578
2022-08-01,120.66999816894531
2022-08-02,119.19999694824219
2022-08-03,119.93000030517578
2022-08-04,120.55999755859375
2022-08-05,119.98999786376953
2022-08-08,120.25
2022-08-09,119.72000122070312
2022-08-10,121.9800033569336
2022-08-11,122.33000183105469
2022-08-12,123.22000122070312
2022-08-15,122.61000061035156
2022-08-16,122.5999984741211
2022-08-17,121.87000274658203
2022-08-18,121.41999816894531
2022-08-19,119.86000061035156
2022-08-22,118.16000366210938
2022-08-23,118.41999816894531
2022-08-24,118.47000122070312
2022-08-25,120.02999877929688
2022-08-26,117.54000091552734
2022-08-29,117.08000183105469
2022-08-30,116.25
2022-08-31,115.7699966430664
2022-09-01,114.26000213623047
2022-09-02,113.81999969482422
2022-09-06,113.04000091552734
2022-09-07,113.77999877929688
2022-09-08,114.02999877929688
2022-09-09,116.33000183105469
2022-09-12,117.91000366210938
2022-09-13,114.30999755859375
2022-09-14,114.5199966430664
2022-09-15,113.54000091552734
2022-09-16,112.05000305175781
2022-09-19,112.38999938964844
2022-09-20,110.98999786376953
2022-09-21,109.45999908447266
2022-09-22,108.93000030517578
2022-09-23,105.69000244140625
2022-09-26,103.94999694824219
2022-09-27,103.62999725341797
2022-09-28,105.33999633789062
2022-09-29,103.83999633789062
2022-09-30,103.58000183105469
2022-10-03,105.6500015258789
2022-10-04,109.47000122070312
2022-10-05,108.58999633789062
2022-10-06,107.0999984741211
2022-10-07,105.23999786376953
2022-10-10,104.33999633789062
2022-10-11,103.0999984741211
2022-10-12,102.83999633789062
2022-10-13,104.4000015258789
2022-10-14,102.79000091552734
2022-10-17,105.36000061035156
2022-10-18,105.98999786376953
2022-10-19,104.54000091552734
2022-10-20,104.55000305175781
2022-10-21,106.20999908447266
2022-10-24,105.2300033569336
2022-10-25,107.0
2022-10-26,108.16000366210938
2022-10-27,107.5199966430664
2022-10-28,107.91999816894531
