Date,MEIGX
2022-02-28,49.93000030517578
2022-03-01,49.09000015258789
2022-03-02,49.900001525878906
2022-03-03,49.93000030517578
2022-03-04,49.720001220703125
2022-03-07,48.619998931884766
2022-03-08,48.0099983215332
2022-03-09,49.0
2022-03-10,48.84000015258789
2022-03-11,48.47999954223633
2022-03-14,48.689998626708984
2022-03-15,49.439998626708984
2022-03-16,50.16999816894531
2022-03-17,50.810001373291016
2022-03-18,51.08000183105469
2022-03-21,51.06999969482422
2022-03-22,51.31999969482422
2022-03-23,50.689998626708984
2022-03-24,51.029998779296875
2022-03-25,51.45000076293945
2022-03-28,51.54999923706055
2022-03-29,52.060001373291016
2022-03-30,51.88999938964844
2022-03-31,51.099998474121094
2022-04-01,51.349998474121094
2022-04-04,51.25
2022-04-05,50.959999084472656
2022-04-06,51.04999923706055
2022-04-07,51.349998474121094
2022-04-08,51.43000030517578
2022-04-11,50.880001068115234
2022-04-12,50.630001068115234
2022-04-13,50.849998474121094
2022-04-14,50.599998474121094
2022-04-18,50.4900016784668
2022-04-19,51.02000045776367
2022-04-20,51.439998626708984
2022-04-21,50.93000030517578
2022-04-22,49.70000076293945
2022-04-25,49.900001525878906
2022-04-26,48.939998626708984
2022-04-27,49.040000915527344
2022-04-28,49.7599983215332
2022-04-29,48.310001373291016
2022-05-02,48.31999969482422
2022-05-03,48.650001525878906
2022-05-04,49.93000030517578
2022-05-05,48.810001373291016
2022-05-06,48.709999084472656
2022-05-09,47.70000076293945
2022-05-10,47.58000183105469
2022-05-11,47.2400016784668
2022-05-12,47.470001220703125
2022-05-13,48.060001373291016
2022-05-16,48.09000015258789
2022-05-17,48.95000076293945
2022-05-18,47.58000183105469
2022-05-19,47.31999969482422
2022-05-20,47.40999984741211
2022-05-23,48.25
2022-05-24,48.369998931884766
2022-05-25,48.599998474121094
2022-05-26,49.29999923706055
2022-05-27,50.13999938964844
2022-05-31,49.75
2022-06-01,49.16999816894531
2022-06-02,49.79999923706055
2022-06-03,49.290000915527344
2022-06-06,49.380001068115234
2022-06-07,49.84000015258789
2022-06-08,49.099998474121094
2022-06-09,48.130001068115234
2022-06-10,46.970001220703125
2022-06-13,45.650001525878906
2022-06-14,45.20000076293945
2022-06-15,45.560001373291016
2022-06-16,44.349998474121094
2022-06-17,44.16999816894531
2022-06-21,45.04999923706055
2022-06-22,45.119998931884766
2022-06-23,45.25
2022-06-24,46.540000915527344
2022-06-27,46.529998779296875
2022-06-28,45.97999954223633
2022-06-29,45.84000015258789
2022-06-30,45.810001373291016
2022-07-01,46.33000183105469
2022-07-05,45.84000015258789
2022-07-06,46.040000915527344
2022-07-07,46.34000015258789
2022-07-08,46.25
2022-07-11,46.04999923706055
2022-07-12,45.7400016784668
2022-07-13,45.47999954223633
2022-07-14,45.08000183105469
2022-07-15,45.959999084472656
2022-07-18,45.47999954223633
2022-07-19,46.630001068115234
2022-07-20,46.650001525878906
2022-07-21,47.13999938964844
2022-07-22,47.11000061035156
2022-07-25,47.38999938964844
2022-07-26,47.220001220703125
2022-07-27,47.849998474121094
2022-07-28,48.290000915527344
2022-07-29,48.70000076293945
2022-08-01,48.4900016784668
2022-08-02,48.09000015258789
2022-08-03,48.619998931884766
2022-08-04,48.66999816894531
2022-08-05,48.7599983215332
2022-08-08,48.75
2022-08-09,48.68000030517578
2022-08-10,49.54999923706055
2022-08-11,49.66999816894531
2022-08-12,50.470001220703125
2022-08-15,50.599998474121094
2022-08-16,50.75
2022-08-17,50.5099983215332
2022-08-18,50.59000015258789
2022-08-19,50.13999938964844
2022-08-22,49.27000045776367
2022-08-23,49.0
2022-08-24,49.130001068115234
2022-08-25,49.790000915527344
2022-08-26,48.36000061035156
2022-08-29,48.13999938964844
2022-08-30,47.70000076293945
2022-08-31,47.38999938964844
2022-09-01,47.68000030517578
2022-09-02,47.25
2022-09-06,47.150001525878906
2022-09-07,48.0099983215332
2022-09-08,48.400001525878906
2022-09-09,48.88999938964844
2022-09-12,49.290000915527344
2022-09-13,47.540000915527344
2022-09-14,47.650001525878906
2022-09-15,47.310001373291016
2022-09-16,47.0
2022-09-19,47.2599983215332
2022-09-20,46.630001068115234
2022-09-21,45.900001525878906
2022-09-22,45.369998931884766
2022-09-23,44.689998626708984
2022-09-26,44.060001373291016
2022-09-27,43.869998931884766
2022-09-28,44.7599983215332
2022-09-29,44.06999969482422
2022-09-30,43.5
2022-10-03,44.779998779296875
2022-10-04,46.11000061035156
2022-10-05,45.88999938964844
2022-10-06,45.290000915527344
2022-10-07,44.38999938964844
2022-10-10,44.220001220703125
2022-10-11,44.0099983215332
2022-10-12,43.72999954223633
2022-10-13,44.900001525878906
2022-10-14,43.849998474121094
2022-10-17,44.81999969482422
2022-10-18,45.47999954223633
2022-10-19,45.08000183105469
2022-10-20,44.4900016784668
2022-10-21,45.59000015258789
2022-10-24,46.20000076293945
2022-10-25,46.709999084472656
2022-10-26,46.84000015258789
2022-10-27,46.9900016784668
2022-10-28,48.029998779296875
2022-10-31,47.7599983215332
2022-11-01,47.83000183105469
2022-11-02,47.040000915527344
2022-11-03,46.93000030517578
2022-11-04,47.56999969482422
2022-11-07,47.970001220703125
2022-11-08,48.310001373291016
2022-11-09,47.529998779296875
2022-11-10,49.61000061035156
2022-11-11,49.63999938964844
2022-11-14,49.290000915527344
2022-11-15,49.61000061035156
2022-11-16,49.380001068115234
2022-11-17,49.349998474121094
2022-11-18,49.66999816894531
2022-11-21,49.68000030517578
2022-11-22,50.279998779296875
2022-11-23,50.459999084472656
2022-11-25,50.63999938964844
