Date,RFEBX
2022-02-28,69.58999633789062
2022-03-01,68.5199966430664
2022-03-02,69.7699966430664
2022-03-03,69.12000274658203
2022-03-04,68.36000061035156
2022-03-07,66.1500015258789
2022-03-08,65.88999938964844
2022-03-09,67.76000213623047
2022-03-10,67.4800033569336
2022-03-11,66.55000305175781
2022-03-14,65.93000030517578
2022-03-15,67.13999938964844
2022-03-16,68.75
2022-03-17,69.7699966430664
2022-03-18,70.61000061035156
2022-03-21,70.3499984741211
2022-03-22,71.06999969482422
2022-03-23,70.12999725341797
2022-03-24,71.06999969482422
2022-03-25,71.20999908447266
2022-03-28,71.43000030517578
2022-03-29,72.43000030517578
2022-03-30,71.9800033569336
2022-03-31,70.93000030517578
2022-04-01,71.3499984741211
2022-04-04,71.91999816894531
2022-04-05,70.91999816894531
2022-04-06,70.33999633789062
2022-04-07,70.55999755859375
2022-04-08,70.41999816894531
2022-04-11,69.54000091552734
2022-04-12,69.2699966430664
2022-04-13,70.12000274658203
2022-04-14,69.44000244140625
2022-04-18,69.3499984741211
2022-04-19,70.2699966430664
2022-04-20,70.16000366210938
2022-04-21,68.9000015258789
2022-04-22,67.12999725341797
2022-04-25,67.25
2022-04-26,65.47000122070312
2022-04-27,65.6500015258789
2022-04-28,67.06999969482422
2022-04-29,65.12999725341797
2022-05-02,65.54000091552734
2022-05-03,65.87999725341797
2022-05-04,67.55999755859375
2022-05-05,65.44999694824219
2022-05-06,64.93000030517578
2022-05-09,62.58000183105469
2022-05-10,62.7599983215332
2022-05-11,62.13999938964844
2022-05-12,62.25
2022-05-13,63.95000076293945
2022-05-16,63.88999938964844
2022-05-17,65.13999938964844
2022-05-18,62.83000183105469
2022-05-19,62.650001525878906
2022-05-20,62.779998779296875
2022-05-23,63.630001068115234
2022-05-24,63.22999954223633
2022-05-25,63.81999969482422
2022-05-26,65.01000213623047
2022-05-27,66.44999694824219
2022-05-31,65.93000030517578
2022-06-01,65.44999694824219
2022-06-02,66.52999877929688
2022-06-03,65.6500015258789
2022-06-06,65.8499984741211
2022-06-07,66.41999816894531
2022-06-08,65.63999938964844
2022-06-09,64.08999633789062
2022-06-10,62.349998474121094
2022-06-13,59.83000183105469
2022-06-14,59.52000045776367
2022-06-15,59.060001373291016
2022-06-16,57.11000061035156
2022-06-17,57.150001525878906
2022-06-21,58.36000061035156
2022-06-22,58.040000915527344
2022-06-23,58.310001373291016
2022-06-24,60.029998779296875
2022-06-27,60.060001373291016
2022-06-28,59.189998626708984
2022-06-29,58.939998626708984
2022-06-30,58.380001068115234
2022-07-01,58.83000183105469
2022-07-05,58.65999984741211
2022-07-06,58.7400016784668
2022-07-07,59.70000076293945
2022-07-08,59.630001068115234
2022-07-11,58.86000061035156
2022-07-12,58.439998626708984
2022-07-13,58.18000030517578
2022-07-14,57.779998779296875
2022-07-15,59.029998779296875
2022-07-18,58.86000061035156
2022-07-19,60.529998779296875
2022-07-20,60.75
2022-07-21,61.189998626708984
2022-07-22,60.58000183105469
2022-07-25,60.83000183105469
2022-07-26,60.209999084472656
2022-07-27,61.599998474121094
2022-07-28,62.150001525878906
2022-07-29,62.7400016784668
