Date,RNPHX
2022-02-28,57.59000015258789
2022-03-01,56.47999954223633
2022-03-02,57.2599983215332
2022-03-03,56.33000183105469
2022-03-04,55.189998626708984
2022-03-07,53.29999923706055
2022-03-08,53.31999969482422
2022-03-09,55.40999984741211
2022-03-10,54.900001525878906
2022-03-11,53.939998626708984
2022-03-14,53.4900016784668
2022-03-15,54.400001525878906
2022-03-16,56.41999816894531
2022-03-17,57.34000015258789
2022-03-18,58.29999923706055
2022-03-21,57.95000076293945
2022-03-22,58.91999816894531
2022-03-23,58.11000061035156
2022-03-24,58.83000183105469
2022-03-25,58.70000076293945
2022-03-28,59.38999938964844
2022-03-29,60.529998779296875
2022-03-30,60.18000030517578
2022-03-31,59.220001220703125
2022-04-01,59.61000061035156
2022-04-04,60.400001525878906
2022-04-05,59.31999969482422
2022-04-06,58.25
2022-04-07,58.470001220703125
2022-04-08,58.040000915527344
2022-04-11,56.95000076293945
2022-04-12,56.619998931884766
2022-04-13,57.540000915527344
2022-04-14,56.779998779296875
2022-04-18,56.61000061035156
2022-04-19,57.36000061035156
2022-04-20,57.0099983215332
2022-04-21,56.2400016784668
2022-04-22,55.02000045776367
2022-04-25,55.04999923706055
2022-04-26,53.0099983215332
2022-04-27,53.189998626708984
2022-04-28,54.2599983215332
2022-04-29,53.09000015258789
2022-05-02,53.45000076293945
2022-05-03,53.56999969482422
2022-05-04,54.81999969482422
2022-05-05,52.650001525878906
2022-05-06,51.84000015258789
2022-05-09,49.650001525878906
2022-05-10,50.029998779296875
2022-05-11,49.20000076293945
2022-05-12,49.27000045776367
2022-05-13,50.790000915527344
2022-05-16,50.45000076293945
2022-05-17,51.66999816894531
2022-05-18,49.849998474121094
2022-05-19,50.0
2022-05-20,50.04999923706055
2022-05-23,50.72999954223633
2022-05-24,49.93000030517578
2022-05-25,50.349998474121094
2022-05-26,51.41999816894531
2022-05-27,52.779998779296875
2022-05-31,52.66999816894531
2022-06-01,52.029998779296875
2022-06-02,53.279998779296875
2022-06-03,52.22999954223633
2022-06-06,52.459999084472656
2022-06-07,52.779998779296875
2022-06-08,52.36000061035156
2022-06-09,51.11000061035156
2022-06-10,49.66999816894531
2022-06-13,47.63999938964844
2022-06-14,47.45000076293945
2022-06-15,48.40999984741211
2022-06-16,46.779998779296875
2022-06-17,47.02000045776367
2022-06-21,48.0
2022-06-22,47.75
2022-06-23,47.970001220703125
2022-06-24,49.58000183105469
2022-06-27,49.470001220703125
2022-06-28,48.58000183105469
2022-06-29,48.459999084472656
2022-06-30,47.970001220703125
2022-07-01,48.209999084472656
2022-07-05,48.119998931884766
2022-07-06,48.099998474121094
2022-07-07,49.08000183105469
2022-07-08,49.11000061035156
2022-07-11,48.209999084472656
2022-07-12,47.79999923706055
2022-07-13,47.77000045776367
2022-07-14,47.459999084472656
2022-07-15,48.33000183105469
2022-07-18,48.220001220703125
2022-07-19,49.529998779296875
2022-07-20,49.709999084472656
2022-07-21,50.47999954223633
2022-07-22,49.970001220703125
