Date,RFNFX
2022-02-28,70.18000030517578
2022-03-01,69.11000061035156
2022-03-02,70.37000274658203
2022-03-03,69.70999908447266
2022-03-04,68.94999694824219
2022-03-07,66.72000122070312
2022-03-08,66.45999908447266
2022-03-09,68.3499984741211
2022-03-10,68.06999969482422
2022-03-11,67.12999725341797
2022-03-14,66.51000213623047
2022-03-15,67.7300033569336
2022-03-16,69.22000122070312
2022-03-17,70.25
2022-03-18,71.08999633789062
2022-03-21,70.8499984741211
2022-03-22,71.56999969482422
2022-03-23,70.62000274658203
2022-03-24,71.56999969482422
2022-03-25,71.70999908447266
2022-03-28,71.94000244140625
2022-03-29,72.94999694824219
2022-03-30,72.5
2022-03-31,71.44000244140625
2022-04-01,71.87000274658203
2022-04-04,72.44000244140625
2022-04-05,71.44000244140625
2022-04-06,70.86000061035156
2022-04-07,71.06999969482422
2022-04-08,70.94000244140625
2022-04-11,70.05999755859375
2022-04-12,69.77999877929688
2022-04-13,70.63999938964844
2022-04-14,69.95999908447266
2022-04-18,69.87000274658203
2022-04-19,70.80000305175781
2022-04-20,70.69000244140625
2022-04-21,69.43000030517578
2022-04-22,67.63999938964844
2022-04-25,67.7699966430664
2022-04-26,65.9800033569336
2022-04-27,66.16000366210938
2022-04-28,67.58999633789062
2022-04-29,65.63999938964844
2022-05-02,66.05999755859375
2022-05-03,66.4000015258789
2022-05-04,68.08999633789062
2022-05-05,65.97000122070312
2022-05-06,65.44000244140625
2022-05-09,63.08000183105469
2022-05-10,63.2599983215332
2022-05-11,62.63999938964844
2022-05-12,62.7599983215332
2022-05-13,64.47000122070312
2022-05-16,64.41000366210938
2022-05-17,65.66999816894531
2022-05-18,63.349998474121094
2022-05-19,63.15999984741211
2022-05-20,63.290000915527344
2022-05-23,64.16000366210938
2022-05-24,63.7599983215332
2022-05-25,64.3499984741211
2022-05-26,65.55999755859375
2022-05-27,67.01000213623047
2022-05-31,66.48999786376953
2022-06-01,66.0
2022-06-02,67.0999984741211
2022-06-03,66.20999908447266
2022-06-06,66.41000366210938
2022-06-07,66.98999786376953
2022-06-08,66.20999908447266
2022-06-09,64.63999938964844
2022-06-10,62.88999938964844
2022-06-13,60.36000061035156
2022-06-14,60.040000915527344
2022-06-15,59.459999084472656
2022-06-16,57.5
2022-06-17,57.540000915527344
2022-06-21,58.77000045776367
2022-06-22,58.45000076293945
2022-06-23,58.720001220703125
2022-06-24,60.45000076293945
2022-06-27,60.47999954223633
2022-06-28,59.61000061035156
2022-06-29,59.36000061035156
2022-06-30,58.79999923706055
2022-07-01,59.25
2022-07-05,59.08000183105469
2022-07-06,59.16999816894531
2022-07-07,60.13999938964844
2022-07-08,60.06999969482422
2022-07-11,59.29999923706055
2022-07-12,58.880001068115234
2022-07-13,58.61000061035156
2022-07-14,58.209999084472656
2022-07-15,59.470001220703125
2022-07-18,59.29999923706055
2022-07-19,60.97999954223633
2022-07-20,61.209999084472656
2022-07-21,61.65999984741211
2022-07-22,61.040000915527344
2022-07-25,61.290000915527344
2022-07-26,60.68000030517578
2022-07-27,62.06999969482422
2022-07-28,62.630001068115234
2022-07-29,63.22999954223633
2022-08-01,63.06999969482422
2022-08-02,62.68000030517578
2022-08-03,63.459999084472656
2022-08-04,63.58000183105469
2022-08-05,63.619998931884766
