Date,GFFFX
2022-02-28,64.25
2022-03-01,63.130001068115234
2022-03-02,64.06999969482422
2022-03-03,62.81999969482422
2022-03-04,61.790000915527344
2022-03-07,59.369998931884766
2022-03-08,59.349998474121094
2022-03-09,61.52000045776367
2022-03-10,61.18000030517578
2022-03-11,59.869998931884766
2022-03-14,58.880001068115234
2022-03-15,60.380001068115234
2022-03-16,62.650001525878906
2022-03-17,63.810001373291016
2022-03-18,65.0999984741211
2022-03-21,64.70999908447266
2022-03-22,65.97000122070312
2022-03-23,65.06999969482422
2022-03-24,65.97000122070312
2022-03-25,65.80999755859375
2022-03-28,66.69999694824219
2022-03-29,67.9000015258789
2022-03-30,67.22000122070312
2022-03-31,66.16999816894531
2022-04-01,66.54000091552734
2022-04-04,67.66000366210938
2022-04-05,66.2699966430664
2022-04-06,64.91999816894531
2022-04-07,65.08999633789062
2022-04-08,64.5999984741211
2022-04-11,63.380001068115234
2022-04-12,63.15999984741211
2022-04-13,64.41000366210938
2022-04-14,63.349998474121094
2022-04-18,63.22999954223633
2022-04-19,64.48999786376953
2022-04-20,63.459999084472656
2022-04-21,62.220001220703125
2022-04-22,60.709999084472656
2022-04-25,61.06999969482422
2022-04-26,58.61000061035156
2022-04-27,58.72999954223633
2022-04-28,60.279998779296875
2022-04-29,58.22999954223633
2022-05-02,58.970001220703125
2022-05-03,59.119998931884766
2022-05-04,60.84000015258789
2022-05-05,58.09000015258789
2022-05-06,57.2599983215332
2022-05-09,54.41999816894531
2022-05-10,54.79999923706055
2022-05-11,53.540000915527344
2022-05-12,53.70000076293945
2022-05-13,55.709999084472656
2022-05-16,55.029998779296875
2022-05-17,56.34000015258789
2022-05-18,54.0
2022-05-19,54.15999984741211
2022-05-20,53.95000076293945
2022-05-23,54.619998931884766
2022-05-24,53.38999938964844
2022-05-25,54.209999084472656
2022-05-26,55.650001525878906
2022-05-27,57.33000183105469
2022-05-31,57.02000045776367
2022-06-01,56.5
2022-06-02,57.93000030517578
2022-06-03,56.650001525878906
2022-06-06,56.93000030517578
2022-06-07,57.40999984741211
2022-06-08,57.0
2022-06-09,55.58000183105469
2022-06-10,53.81999969482422
2022-06-13,51.34000015258789
2022-06-14,51.2400016784668
2022-06-15,52.279998779296875
2022-06-16,50.13999938964844
2022-06-17,50.529998779296875
2022-06-21,51.77000045776367
2022-06-22,51.650001525878906
2022-06-23,52.150001525878906
2022-06-24,53.86000061035156
2022-06-27,53.65999984741211
2022-06-28,52.5
2022-06-29,52.31999969482422
2022-06-30,51.650001525878906
2022-07-01,52.099998474121094
2022-07-05,52.540000915527344
2022-07-06,52.52000045776367
2022-07-07,53.630001068115234
2022-07-08,53.619998931884766
2022-07-11,52.56999969482422
