Date,DODGX
2022-02-28,244.00999450683594
2022-03-01,238.49000549316406
2022-03-02,243.58999633789062
2022-03-03,241.9600067138672
2022-03-04,240.17999267578125
2022-03-07,233.64999389648438
2022-03-08,234.08999633789062
2022-03-09,240.6999969482422
2022-03-10,239.77999877929688
2022-03-11,237.9499969482422
2022-03-14,237.52999877929688
2022-03-15,240.19000244140625
2022-03-16,245.0
2022-03-17,248.0399932861328
2022-03-18,249.1999969482422
2022-03-21,249.4600067138672
2022-03-22,252.38999938964844
2022-03-23,248.8699951171875
2022-03-24,250.92999267578125
2022-03-25,253.10000610351562
2022-03-28,250.11000061035156
2022-03-29,252.38999938964844
2022-03-30,250.57000732421875
2022-03-31,245.5399932861328
2022-04-01,246.57000732421875
2022-04-04,246.92999267578125
2022-04-05,244.2899932861328
2022-04-06,243.14999389648438
2022-04-07,244.52000427246094
2022-04-08,246.7899932861328
2022-04-11,244.3300018310547
2022-04-12,242.89999389648438
2022-04-13,245.8800048828125
2022-04-14,243.57000732421875
2022-04-18,242.99000549316406
2022-04-19,245.75
2022-04-20,246.9199981689453
2022-04-21,242.75
2022-04-22,236.05999755859375
2022-04-25,236.35000610351562
2022-04-26,230.97000122070312
2022-04-27,230.97999572753906
2022-04-28,234.66000366210938
2022-04-29,227.08999633789062
2022-05-02,229.4199981689453
2022-05-03,231.3300018310547
2022-05-04,237.6999969482422
2022-05-05,231.7100067138672
2022-05-06,230.42999267578125
2022-05-09,223.58999633789062
2022-05-10,224.52999877929688
2022-05-11,221.55999755859375
2022-05-12,221.89999389648438
2022-05-13,226.33999633789062
2022-05-16,227.0
2022-05-17,232.24000549316406
2022-05-18,224.08999633789062
2022-05-19,222.63999938964844
2022-05-20,223.35000610351562
2022-05-23,228.94000244140625
2022-05-24,227.38999938964844
2022-05-25,229.9600067138672
2022-05-26,234.5399932861328
2022-05-27,238.89999389648438
2022-05-31,237.11000061035156
2022-06-01,235.6999969482422
2022-06-02,237.77999877929688
2022-06-03,235.3000030517578
2022-06-06,235.50999450683594
2022-06-07,237.80999755859375
2022-06-08,234.7899932861328
2022-06-09,228.8000030517578
2022-06-10,222.58999633789062
2022-06-13,214.3300018310547
2022-06-14,214.35000610351562
2022-06-15,216.47999572753906
2022-06-16,209.67999267578125
2022-06-17,210.7100067138672
2022-06-21,214.72000122070312
2022-06-22,213.83999633789062
2022-06-23,213.82000732421875
2022-06-24,221.50999450683594
2022-06-27,220.0399932861328
2022-06-28,218.17999267578125
2022-06-29,216.6199951171875
2022-06-30,214.1300048828125
2022-07-01,216.25
2022-07-05,215.16000366210938
2022-07-06,214.60000610351562
2022-07-07,217.67999267578125
2022-07-08,217.5
