Date,FWGIX
2022-02-28,58.470001220703125
2022-03-01,57.349998474121094
2022-03-02,58.18000030517578
2022-03-03,57.529998779296875
2022-03-04,56.59000015258789
2022-03-07,54.86000061035156
2022-03-08,54.599998474121094
2022-03-09,56.20000076293945
2022-03-10,55.97999954223633
2022-03-11,55.2400016784668
2022-03-14,54.619998931884766
2022-03-15,55.20000076293945
2022-03-16,56.84000015258789
2022-03-17,57.70000076293945
2022-03-18,58.31999969482422
2022-03-21,58.11000061035156
2022-03-22,58.720001220703125
2022-03-23,58.09000015258789
2022-03-24,58.650001525878906
2022-03-25,58.630001068115234
2022-03-28,58.720001220703125
2022-03-29,59.599998474121094
2022-03-30,59.45000076293945
2022-03-31,58.61000061035156
2022-04-01,59.02000045776367
2022-04-04,59.540000915527344
2022-04-05,58.689998626708984
2022-04-06,58.08000183105469
2022-04-07,58.150001525878906
2022-04-08,58.220001220703125
2022-04-11,57.41999816894531
2022-04-12,57.150001525878906
2022-04-13,57.869998931884766
2022-04-14,57.33000183105469
2022-04-18,57.130001068115234
2022-04-19,57.59000015258789
2022-04-20,57.59000015258789
2022-04-21,56.779998779296875
2022-04-22,55.5
2022-04-25,55.34000015258789
2022-04-26,53.83000183105469
2022-04-27,54.099998474121094
2022-04-28,55.06999969482422
2022-04-29,53.90999984741211
2022-05-02,54.04999923706055
2022-05-03,54.38999938964844
2022-05-04,55.529998779296875
2022-05-05,53.970001220703125
2022-05-06,53.40999984741211
2022-05-09,51.68000030517578
2022-05-10,51.91999816894531
2022-05-11,51.650001525878906
2022-05-12,51.540000915527344
2022-05-13,52.939998626708984
2022-05-16,52.959999084472656
2022-05-17,54.060001373291016
2022-05-18,52.58000183105469
2022-05-19,52.58000183105469
2022-05-20,52.849998474121094
2022-05-23,53.61000061035156
2022-05-24,53.369998931884766
2022-05-25,53.68000030517578
2022-05-26,54.45000076293945
2022-05-27,55.529998779296875
2022-05-31,55.400001525878906
2022-06-01,54.88999938964844
2022-06-02,55.81999969482422
2022-06-03,55.09000015258789
2022-06-06,55.27000045776367
2022-06-07,55.65999984741211
2022-06-08,55.09000015258789
2022-06-09,53.880001068115234
2022-06-10,52.529998779296875
2022-06-13,50.18000030517578
2022-06-14,49.83000183105469
2022-06-15,50.61000061035156
2022-06-16,49.04999923706055
2022-06-17,48.88999938964844
2022-06-21,49.81999969482422
2022-06-22,49.40999984741211
2022-06-23,49.41999816894531
2022-06-24,50.7400016784668
2022-06-27,50.790000915527344
2022-06-28,50.31999969482422
2022-06-29,50.11000061035156
2022-06-30,49.599998474121094
2022-07-01,49.77000045776367
2022-07-05,49.15999984741211
2022-07-06,49.040000915527344
2022-07-07,49.970001220703125
2022-07-08,50.040000915527344
2022-07-11,49.220001220703125
2022-07-12,48.869998931884766
2022-07-13,48.72999954223633
2022-07-14,48.279998779296875
2022-07-15,49.08000183105469
2022-07-18,49.04999923706055
2022-07-19,50.279998779296875
2022-07-20,50.2400016784668
2022-07-21,50.61000061035156
2022-07-22,50.290000915527344
2022-07-25,50.54999923706055
2022-07-26,50.150001525878906
2022-07-27,51.189998626708984
2022-07-28,51.66999816894531
2022-07-29,52.11000061035156
2022-08-01,52.0099983215332
2022-08-02,51.54999923706055
2022-08-03,52.029998779296875
2022-08-04,52.150001525878906
2022-08-05,52.16999816894531
2022-08-08,52.36000061035156
2022-08-09,52.06999969482422
2022-08-10,53.02000045776367
2022-08-11,53.15999984741211
2022-08-12,53.869998931884766
2022-08-15,53.79999923706055
2022-08-16,53.84000015258789
2022-08-17,53.459999084472656
2022-08-18,53.41999816894531
2022-08-19,52.810001373291016
2022-08-22,51.849998474121094
2022-08-23,51.959999084472656
2022-08-24,52.029998779296875
2022-08-25,52.779998779296875
2022-08-26,51.40999984741211
2022-08-29,51.13999938964844
2022-08-30,50.63999938964844
2022-08-31,50.34000015258789
2022-09-01,50.06999969482422
2022-09-02,49.849998474121094
2022-09-06,49.66999816894531
2022-09-07,50.16999816894531
2022-09-08,50.4900016784668
2022-09-09,51.439998626708984
2022-09-12,51.779998779296875
2022-09-13,49.97999954223633
2022-09-14,50.099998474121094
2022-09-15,49.65999984741211
2022-09-16,49.310001373291016
2022-09-19,49.59000015258789
2022-09-20,49.0
2022-09-21,48.15999984741211
2022-09-22,47.880001068115234
2022-09-23,46.75
2022-09-26,46.150001525878906
2022-09-27,46.060001373291016
2022-09-28,46.88999938964844
2022-09-29,46.150001525878906
2022-09-30,45.83000183105469
2022-10-03,46.9900016784668
2022-10-04,48.59000015258789
2022-10-05,48.470001220703125
2022-10-06,47.880001068115234
2022-10-07,46.93000030517578
2022-10-10,46.54999923706055
2022-10-11,46.060001373291016
2022-10-12,45.93000030517578
2022-10-13,46.75
2022-10-14,45.88999938964844
2022-10-17,46.900001525878906
2022-10-18,47.29999923706055
2022-10-19,46.970001220703125
2022-10-20,46.7599983215332
2022-10-21,47.7599983215332
2022-10-24,47.869998931884766
2022-10-25,48.560001373291016
2022-10-26,48.70000076293945
2022-10-27,48.40999984741211
2022-10-28,49.02000045776367
2022-10-31,48.77000045776367
2022-11-01,49.02000045776367
2022-11-02,48.13999938964844
2022-11-03,47.79999923706055
2022-11-04,49.04999923706055
2022-11-07,49.4900016784668
2022-11-08,49.88999938964844
2022-11-09,49.09000015258789
2022-11-10,51.279998779296875
2022-11-11,52.040000915527344
2022-11-14,51.7599983215332
2022-11-15,52.25
2022-11-16,51.93000030517578
2022-11-17,51.810001373291016
2022-11-18,51.959999084472656
2022-11-21,51.619998931884766
2022-11-22,52.2599983215332
