Date,VGSLX
2022-02-28,145.27999877929688
2022-03-01,144.6300048828125
2022-03-02,147.38999938964844
2022-03-03,148.50999450683594
2022-03-04,149.22000122070312
2022-03-07,146.1699981689453
2022-03-08,145.47000122070312
2022-03-09,147.77000427246094
2022-03-10,148.1999969482422
2022-03-11,146.8800048828125
2022-03-14,145.75
2022-03-15,146.8000030517578
2022-03-16,148.52000427246094
2022-03-17,150.57000732421875
2022-03-18,150.8699951171875
2022-03-21,149.91000366210938
2022-03-22,149.47000122070312
2022-03-23,147.77999877929688
2022-03-24,148.72999572753906
2022-03-25,150.5
2022-03-28,152.10000610351562
2022-03-29,156.55999755859375
2022-03-30,155.52000427246094
2022-03-31,153.6199951171875
2022-04-01,156.5500030517578
2022-04-04,155.77000427246094
2022-04-05,155.07000732421875
2022-04-06,156.86000061035156
2022-04-07,155.33999633789062
2022-04-08,155.58999633789062
2022-04-11,153.9499969482422
2022-04-12,153.6699981689453
2022-04-13,154.8300018310547
2022-04-14,154.08999633789062
2022-04-18,153.47999572753906
2022-04-19,156.86000061035156
2022-04-20,159.3699951171875
2022-04-21,158.2899932861328
2022-04-22,155.5500030517578
2022-04-25,155.14999389648438
2022-04-26,152.6300048828125
2022-04-27,151.55999755859375
2022-04-28,154.4199981689453
2022-04-29,147.19000244140625
2022-05-02,143.72000122070312
2022-05-03,145.5800018310547
2022-05-04,147.1999969482422
2022-05-05,143.24000549316406
2022-05-06,141.6300048828125
2022-05-09,135.3800048828125
2022-05-10,132.9499969482422
2022-05-11,132.57000732421875
2022-05-12,133.63999938964844
2022-05-13,137.14999389648438
2022-05-16,136.2899932861328
2022-05-17,138.1699981689453
2022-05-18,134.07000732421875
2022-05-19,133.52000427246094
2022-05-20,134.4199981689453
2022-05-23,135.9199981689453
2022-05-24,137.10000610351562
2022-05-25,138.2100067138672
2022-05-26,138.44000244140625
2022-05-27,142.1300048828125
2022-05-31,140.38999938964844
2022-06-01,139.2100067138672
2022-06-02,141.1699981689453
2022-06-03,139.27999877929688
2022-06-06,138.88999938964844
2022-06-07,140.74000549316406
2022-06-08,137.5500030517578
2022-06-09,134.2899932861328
2022-06-10,131.27999877929688
2022-06-13,124.70999908447266
2022-06-14,123.66999816894531
2022-06-15,126.63999938964844
2022-06-16,123.33999633789062
2022-06-17,124.30999755859375
2022-06-21,126.05999755859375
2022-06-22,126.77999877929688
2022-06-23,129.24000549316406
2022-06-24,131.97999572753906
2022-06-27,131.74000549316406
2022-06-28,130.22000122070312
2022-06-29,129.35000610351562
2022-06-30,129.0500030517578
2022-07-01,131.49000549316406
2022-07-05,131.0800018310547
2022-07-06,130.86000061035156
2022-07-07,131.2100067138672
2022-07-08,130.5
2022-07-11,130.22000122070312
2022-07-12,129.74000549316406
2022-07-13,129.1300048828125
2022-07-14,127.93000030517578
2022-07-15,130.16000366210938
2022-07-18,129.1300048828125
2022-07-19,132.55999755859375
2022-07-20,132.19000244140625
2022-07-21,133.24000549316406
2022-07-22,133.92999267578125
2022-07-25,134.2100067138672
2022-07-26,134.27000427246094
2022-07-27,135.16000366210938
2022-07-28,139.52000427246094
2022-07-29,140.22999572753906
2022-08-01,139.08999633789062
2022-08-02,137.33999633789062
2022-08-03,137.69000244140625
2022-08-04,137.55999755859375
2022-08-05,137.92999267578125
2022-08-08,139.16000366210938
2022-08-09,139.9199981689453
2022-08-10,142.10000610351562
2022-08-11,141.74000549316406
2022-08-12,144.1699981689453
2022-08-15,144.7100067138672
2022-08-16,144.27999877929688
2022-08-17,143.47999572753906
2022-08-18,142.52000427246094
2022-08-19,140.97999572753906
2022-08-22,137.9199981689453
2022-08-23,136.13999938964844
2022-08-24,136.9600067138672
2022-08-25,139.00999450683594
2022-08-26,135.49000549316406
2022-08-29,134.30999755859375
2022-08-30,132.3800048828125
2022-08-31,131.77000427246094
