Date,NEWFX
2022-02-28,76.9800033569336
2022-03-01,75.8499984741211
2022-03-02,76.43000030517578
2022-03-03,75.26000213623047
2022-03-04,73.33000183105469
2022-03-07,70.54000091552734
2022-03-08,70.58999633789062
2022-03-09,72.88999938964844
2022-03-10,72.47000122070312
2022-03-11,71.30999755859375
2022-03-14,70.19000244140625
2022-03-15,70.38999938964844
2022-03-16,73.69999694824219
2022-03-17,75.19000244140625
2022-03-18,76.18000030517578
2022-03-21,75.55000305175781
2022-03-22,76.52999877929688
2022-03-23,76.0199966430664
2022-03-24,76.8499984741211
2022-03-25,76.27999877929688
2022-03-28,76.61000061035156
2022-03-29,78.08999633789062
2022-03-30,78.08000183105469
2022-03-31,77.05999755859375
2022-04-01,77.91000366210938
2022-04-04,78.98999786376953
2022-04-05,77.5999984741211
2022-04-06,76.27999877929688
2022-04-07,76.06999969482422
2022-04-08,75.83999633789062
2022-04-11,74.51000213623047
2022-04-12,74.2699966430664
2022-04-13,75.06999969482422
2022-04-14,74.52999877929688
2022-04-18,74.33999633789062
2022-04-19,74.56999969482422
2022-04-20,74.41999816894531
2022-04-21,73.20999908447266
2022-04-22,71.73999786376953
2022-04-25,71.4000015258789
2022-04-26,69.58000183105469
2022-04-27,70.1500015258789
2022-04-28,71.41999816894531
2022-04-29,70.37999725341797
2022-05-02,70.45999908447266
2022-05-03,70.73999786376953
2022-05-04,71.69000244140625
2022-05-05,69.4000015258789
2022-05-06,68.19999694824219
2022-05-09,65.7699966430664
2022-05-10,66.22000122070312
2022-05-11,65.80999755859375
2022-05-12,65.69000244140625
2022-05-13,67.5
2022-05-16,67.4000015258789
2022-05-17,68.98999786376953
2022-05-18,67.33999633789062
2022-05-19,67.68000030517578
2022-05-20,68.37999725341797
2022-05-23,69.08000183105469
2022-05-24,68.13999938964844
2022-05-25,68.27999877929688
2022-05-26,69.29000091552734
2022-05-27,70.72000122070312
2022-05-31,70.93000030517578
2022-06-01,70.18000030517578
2022-06-02,71.69000244140625
2022-06-03,70.79000091552734
2022-06-06,71.1500015258789
2022-06-07,71.47000122070312
2022-06-08,70.95999908447266
2022-06-09,69.36000061035156
2022-06-10,67.86000061035156
2022-06-13,65.36000061035156
2022-06-14,65.30999755859375
2022-06-15,66.33999633789062
2022-06-16,64.29000091552734
2022-06-17,64.63999938964844
