Date,CGC
2022-02-28,71.19999694824219
2022-03-01,69.4000015258789
2022-03-02,69.80000305175781
2022-03-03,67.0
2022-03-04,63.20000076293945
2022-03-07,60.5
2022-03-08,62.70000076293945
2022-03-09,66.69999694824219
2022-03-10,64.0
2022-03-11,60.79999923706055
2022-03-14,57.0
2022-03-15,58.70000076293945
2022-03-16,63.79999923706055
2022-03-17,67.69999694824219
2022-03-18,71.19999694824219
2022-03-21,70.19999694824219
2022-03-22,72.0999984741211
2022-03-23,70.9000015258789
2022-03-24,79.0
2022-03-25,86.9000015258789
2022-03-28,79.4000015258789
2022-03-29,80.30000305175781
2022-03-30,79.5999984741211
2022-03-31,75.80000305175781
2022-04-01,73.69999694824219
2022-04-04,77.69999694824219
2022-04-05,73.9000015258789
2022-04-06,71.80000305175781
2022-04-07,67.19999694824219
2022-04-08,67.0
2022-04-11,68.9000015258789
2022-04-12,67.80000305175781
2022-04-13,71.0999984741211
2022-04-14,68.19999694824219
2022-04-18,59.900001525878906
2022-04-19,59.29999923706055
2022-04-20,57.29999923706055
2022-04-21,57.5
2022-04-22,55.70000076293945
2022-04-25,55.70000076293945
2022-04-26,53.0
2022-04-27,52.29999923706055
2022-04-28,54.5
2022-04-29,57.099998474121094
2022-05-02,60.5
2022-05-03,60.599998474121094
2022-05-04,66.69999694824219
2022-05-05,60.70000076293945
2022-05-06,59.70000076293945
2022-05-09,55.5
2022-05-10,54.400001525878906
2022-05-11,49.79999923706055
2022-05-12,53.70000076293945
2022-05-13,59.20000076293945
2022-05-16,57.29999923706055
2022-05-17,58.900001525878906
2022-05-18,55.900001525878906
2022-05-19,58.70000076293945
2022-05-20,55.20000076293945
2022-05-23,51.900001525878906
2022-05-24,47.599998474121094
2022-05-25,50.29999923706055
2022-05-26,55.5
2022-05-27,48.79999923706055
2022-05-31,49.70000076293945
2022-06-01,47.099998474121094
2022-06-02,47.099998474121094
2022-06-03,43.20000076293945
2022-06-06,40.900001525878906
2022-06-07,42.400001525878906
2022-06-08,41.29999923706055
2022-06-09,38.5
2022-06-10,36.5
2022-06-13,32.79999923706055
2022-06-14,33.29999923706055
2022-06-15,35.20000076293945
2022-06-16,32.599998474121094
2022-06-17,33.70000076293945
2022-06-21,34.79999923706055
2022-06-22,33.400001525878906
2022-06-23,36.0
2022-06-24,37.70000076293945
2022-06-27,37.900001525878906
2022-06-28,36.099998474121094
2022-06-29,35.0
2022-06-30,28.5
2022-07-01,28.100000381469727
2022-07-05,27.100000381469727
2022-07-06,26.5
2022-07-07,27.100000381469727
2022-07-08,26.200000762939453
2022-07-11,23.100000381469727
2022-07-12,22.899999618530273
2022-07-13,22.399999618530273
2022-07-14,24.399999618530273
2022-07-15,22.399999618530273
2022-07-18,25.899999618530273
2022-07-19,26.100000381469727
2022-07-20,30.5
2022-07-21,27.600000381469727
2022-07-22,25.649999618530273
2022-07-25,25.399999618530273
2022-07-26,23.600000381469727
2022-07-27,24.399999618530273
2022-07-28,25.600000381469727
2022-07-29,26.299999237060547
2022-08-01,25.299999237060547
2022-08-02,28.700000762939453
2022-08-03,29.200000762939453
2022-08-04,28.899999618530273
2022-08-05,27.0
2022-08-08,32.79999923706055
2022-08-09,28.700000762939453
2022-08-10,32.900001525878906
2022-08-11,31.5
2022-08-12,33.0
2022-08-15,38.20000076293945
2022-08-16,37.79999923706055
2022-08-17,40.599998474121094
2022-08-18,38.099998474121094
2022-08-19,38.20000076293945
2022-08-22,33.0
2022-08-23,34.400001525878906
2022-08-24,38.900001525878906
2022-08-25,42.29999923706055
2022-08-26,38.400001525878906
2022-08-29,39.599998474121094
2022-08-30,36.79999923706055
2022-08-31,36.79999923706055
2022-09-01,35.20000076293945
2022-09-02,34.599998474121094
2022-09-06,32.599998474121094
2022-09-07,34.099998474121094
2022-09-08,35.099998474121094
2022-09-09,36.5
2022-09-12,38.29999923706055
2022-09-13,34.599998474121094
2022-09-14,34.79999923706055
2022-09-15,34.400001525878906
2022-09-16,31.700000762939453
2022-09-19,32.29999923706055
2022-09-20,30.799999237060547
2022-09-21,29.399999618530273
2022-09-22,27.200000762939453
2022-09-23,28.399999618530273
2022-09-26,27.399999618530273
2022-09-27,28.600000381469727
2022-09-28,30.399999618530273
2022-09-29,27.799999237060547
2022-09-30,27.299999237060547
2022-10-03,29.100000381469727
2022-10-04,31.399999618530273
2022-10-05,30.700000762939453
2022-10-06,37.5
2022-10-07,27.899999618530273
2022-10-10,24.100000381469727
2022-10-11,23.799999237060547
2022-10-12,24.799999237060547
2022-10-13,24.700000762939453
2022-10-14,23.5
