Date,WKSP
2022-02-28,2.440000057220459
2022-03-01,2.440000057220459
2022-03-02,2.390000104904175
2022-03-03,2.380000114440918
2022-03-04,2.240000009536743
2022-03-07,2.2300000190734863
2022-03-08,2.309999942779541
2022-03-09,2.3499999046325684
2022-03-10,2.259999990463257
2022-03-11,2.2009999752044678
2022-03-14,2.0799999237060547
2022-03-15,2.0799999237060547
2022-03-16,2.1600000858306885
2022-03-17,2.380000114440918
2022-03-18,2.1700000762939453
2022-03-21,2.2200000286102295
2022-03-22,2.2200000286102295
2022-03-23,2.2799999713897705
2022-03-24,2.3499999046325684
2022-03-25,2.319999933242798
2022-03-28,2.2799999713897705
2022-03-29,2.390000104904175
2022-03-30,2.369999885559082
2022-03-31,2.619999885559082
2022-04-01,2.630000114440918
2022-04-04,2.859999895095825
2022-04-05,3.25
2022-04-06,2.759999990463257
2022-04-07,2.9000000953674316
2022-04-08,2.9200000762939453
2022-04-11,2.680000066757202
2022-04-12,3.059999942779541
2022-04-13,2.9700000286102295
2022-04-14,2.9000000953674316
2022-04-18,2.6600000858306885
2022-04-19,2.7200000286102295
2022-04-20,2.7300000190734863
2022-04-21,2.6500000953674316
2022-04-22,2.440000057220459
2022-04-25,2.4800000190734863
2022-04-26,2.4700000286102295
2022-04-27,2.450000047683716
2022-04-28,2.430000066757202
2022-04-29,2.369999885559082
2022-05-02,2.319999933242798
2022-05-03,2.319999933242798
2022-05-04,2.4800000190734863
2022-05-05,2.369999885559082
2022-05-06,2.4000000953674316
2022-05-09,2.140000104904175
2022-05-10,2.069999933242798
2022-05-11,1.850000023841858
2022-05-12,1.8600000143051147
2022-05-13,2.0
2022-05-16,2.049999952316284
2022-05-17,2.1700000762939453
2022-05-18,2.0999999046325684
2022-05-19,2.200000047683716
2022-05-20,2.059999942779541
2022-05-23,2.0799999237060547
2022-05-24,2.009999990463257
2022-05-25,2.0439999103546143
2022-05-26,2.0199999809265137
2022-05-27,1.9700000286102295
2022-05-31,1.9600000381469727
2022-06-01,1.9700000286102295
2022-06-02,2.0299999713897705
2022-06-03,2.0
2022-06-06,2.069999933242798
2022-06-07,2.0999999046325684
2022-06-08,2.190000057220459
2022-06-09,2.180000066757202
2022-06-10,2.0840001106262207
2022-06-13,1.8899999856948853
2022-06-14,1.8799999952316284
2022-06-15,1.9299999475479126
2022-06-16,1.8200000524520874
2022-06-17,1.840000033378601
2022-06-21,1.8700000047683716
2022-06-22,2.069999933242798
2022-06-23,2.0399999618530273
2022-06-24,2.0199999809265137
2022-06-27,1.9700000286102295
2022-06-28,1.9199999570846558
2022-06-29,1.909999966621399
2022-06-30,1.9299999475479126
2022-07-01,1.9199999570846558
2022-07-05,1.8799999952316284
2022-07-06,1.7799999713897705
2022-07-07,1.840000033378601
2022-07-08,1.8200000524520874
2022-07-11,1.75
2022-07-12,1.7400000095367432
2022-07-13,1.6399999856948853
2022-07-14,1.6299999952316284
2022-07-15,1.6299999952316284
2022-07-18,1.6200000047683716
2022-07-19,1.6399999856948853
2022-07-20,1.6699999570846558
2022-07-21,1.690000057220459
2022-07-22,1.6399999856948853
2022-07-25,1.6799999475479126
2022-07-26,1.6399999856948853
2022-07-27,1.659999966621399
2022-07-28,1.7000000476837158
2022-07-29,1.7300000190734863
2022-08-01,1.7200000286102295
2022-08-02,1.8300000429153442
2022-08-03,1.8700000047683716
2022-08-04,2.059999942779541
2022-08-05,2.1700000762939453
2022-08-08,2.1600000858306885
2022-08-09,2.119999885559082
2022-08-10,2.2300000190734863
2022-08-11,2.2699999809265137
2022-08-12,2.430000066757202
2022-08-15,2.4800000190734863
2022-08-16,2.369999885559082
2022-08-17,2.5199999809265137
2022-08-18,2.8299999237060547
2022-08-19,2.549999952316284
2022-08-22,2.305000066757202
2022-08-23,2.319999933242798
2022-08-24,2.265000104904175
