Date,MNTS
2022-02-28,115.0
2022-03-01,116.5
2022-03-02,110.0
2022-03-03,110.0
2022-03-04,110.0
2022-03-07,105.5
2022-03-08,106.5
2022-03-09,116.0
2022-03-10,110.0
2022-03-11,100.0
2022-03-14,95.5
2022-03-15,100.0
2022-03-16,106.5
2022-03-17,125.5
2022-03-18,130.0
2022-03-21,127.0
2022-03-22,139.5
2022-03-23,138.5
2022-03-24,150.0
2022-03-25,151.0
2022-03-28,140.0
2022-03-29,147.0
2022-03-30,152.5
2022-03-31,159.5
2022-04-01,157.5
2022-04-04,164.0
2022-04-05,150.5
2022-04-06,147.5
2022-04-07,219.5
2022-04-08,200.5
2022-04-11,197.0
2022-04-12,175.0
2022-04-13,188.5
2022-04-14,173.0
2022-04-18,161.5
2022-04-19,168.0
2022-04-20,167.5
2022-04-21,155.5
2022-04-22,151.0
2022-04-25,153.0
2022-04-26,137.5
2022-04-27,138.0
2022-04-28,153.5
2022-04-29,140.0
2022-05-02,148.0
2022-05-03,134.5
2022-05-04,141.5
2022-05-05,141.5
2022-05-06,147.5
2022-05-09,130.5
2022-05-10,124.5
2022-05-11,117.5
2022-05-12,117.5
2022-05-13,146.5
2022-05-16,133.0
2022-05-17,138.0
2022-05-18,134.5
2022-05-19,139.5
2022-05-20,145.0
2022-05-23,141.0
2022-05-24,127.5
2022-05-25,135.5
2022-05-26,144.0
2022-05-27,158.0
2022-05-31,145.0
2022-06-01,160.5
2022-06-02,167.0
2022-06-03,173.0
2022-06-06,186.5
2022-06-07,179.0
2022-06-08,160.5
2022-06-09,154.0
2022-06-10,139.0
2022-06-13,116.5
2022-06-14,114.0
2022-06-15,118.0
2022-06-16,115.5
2022-06-17,130.5
2022-06-21,140.0
2022-06-22,137.5
2022-06-23,138.0
2022-06-24,123.0
2022-06-27,102.0
2022-06-28,105.0
2022-06-29,98.0
2022-06-30,108.0
2022-07-01,108.0
2022-07-05,102.5
2022-07-06,100.0
2022-07-07,102.0
2022-07-08,100.5
2022-07-11,90.5
2022-07-12,95.0
2022-07-13,101.0
2022-07-14,94.0
2022-07-15,96.0
2022-07-18,98.0
2022-07-19,107.0
2022-07-20,105.0
2022-07-21,99.0
2022-07-22,94.0
2022-07-25,91.5
2022-07-26,84.5
2022-07-27,82.5
2022-07-28,87.0
2022-07-29,88.0
2022-08-01,88.5
2022-08-02,98.5
2022-08-03,99.0
2022-08-04,107.5
2022-08-05,106.5
2022-08-08,103.0
2022-08-09,101.0
2022-08-10,106.5
2022-08-11,109.0
2022-08-12,125.0
2022-08-15,116.5
2022-08-16,117.5
2022-08-17,102.5
2022-08-18,105.0
2022-08-19,100.5
2022-08-22,94.0
2022-08-23,96.0
2022-08-24,96.5
2022-08-25,99.0
2022-08-26,95.0
2022-08-29,91.5
2022-08-30,87.5
2022-08-31,88.5
2022-09-01,85.5
2022-09-02,85.5
2022-09-06,85.5
2022-09-07,88.0
2022-09-08,87.0
2022-09-09,87.0
2022-09-12,88.0
2022-09-13,81.0
2022-09-14,79.0
2022-09-15,78.0
2022-09-16,78.5
2022-09-19,78.0
2022-09-20,80.0
2022-09-21,81.0
2022-09-22,77.5
2022-09-23,75.5
2022-09-26,71.0
2022-09-27,70.0
2022-09-28,75.0
2022-09-29,68.0
2022-09-30,68.5
2022-10-03,68.5
2022-10-04,73.5
2022-10-05,70.0
2022-10-06,68.0
2022-10-07,67.0
2022-10-10,64.5
2022-10-11,60.5
2022-10-12,57.5
2022-10-13,59.0
2022-10-14,57.0
2022-10-17,56.5
2022-10-18,59.5
2022-10-19,59.5
2022-10-20,58.0
2022-10-21,57.5
2022-10-24,57.5
2022-10-25,59.0
2022-10-26,61.0
2022-10-27,64.5
2022-10-28,69.0
2022-10-31,73.0
2022-11-01,75.0
2022-11-02,68.5
2022-11-03,69.5
2022-11-04,69.0
2022-11-07,71.5
2022-11-08,65.0
2022-11-09,62.0
2022-11-10,67.0
2022-11-11,70.5
2022-11-14,70.0
2022-11-15,73.5
2022-11-16,66.5
2022-11-17,63.75
2022-11-18,61.5
2022-11-21,58.5
2022-11-22,58.0
2022-11-23,60.5
2022-11-25,60.0
2022-11-28,54.0
2022-11-29,53.5
2022-11-30,54.0
2022-12-01,56.0
2022-12-02,55.0
2022-12-05,55.5
2022-12-06,53.0
2022-12-07,51.0
2022-12-08,52.0
2022-12-09,50.5
2022-12-12,47.599998474121094
2022-12-13,48.75
2022-12-14,45.0
2022-12-15,44.04999923706055
2022-12-16,41.849998474121094
2022-12-19,39.900001525878906
2022-12-20,42.849998474121094
2022-12-21,42.45000076293945
2022-12-22,40.79999923706055
2022-12-23,39.650001525878906
2022-12-27,36.75
2022-12-28,36.25
2022-12-29,41.45000076293945
2022-12-30,39.0
2023-01-03,43.45000076293945
2023-01-04,48.0
2023-01-05,45.20000076293945
2023-01-06,42.400001525878906
2023-01-09,45.599998474121094
2023-01-10,44.45000076293945
2023-01-11,45.29999923706055
2023-01-12,57.0
2023-01-13,59.0
2023-01-17,56.5
2023-01-18,44.5
2023-01-19,46.04999923706055
2023-01-20,45.75
2023-01-23,46.95000076293945
2023-01-24,45.79999923706055
2023-01-25,43.20000076293945
2023-01-26,41.04999923706055
2023-01-27,45.150001525878906
2023-01-30,42.650001525878906
2023-01-31,45.25
2023-02-01,45.95000076293945
2023-02-02,51.5
2023-02-03,53.5
2023-02-06,50.5
2023-02-07,47.150001525878906
2023-02-08,46.5
2023-02-09,47.599998474121094
2023-02-10,44.75
2023-02-13,43.04999923706055
2023-02-14,43.5
2023-02-15,45.95000076293945
2023-02-16,45.20000076293945
2023-02-17,44.099998474121094
2023-02-21,42.900001525878906
2023-02-22,43.25
2023-02-23,42.900001525878906
