Date,MNTS
2023-02-24,39.849998474121094
2023-02-27,40.70000076293945
2023-02-28,41.25
2023-03-01,38.75
2023-03-02,38.54999923706055
2023-03-03,39.5
2023-03-06,37.5
2023-03-07,36.0
2023-03-08,36.0
2023-03-09,33.5
2023-03-10,33.650001525878906
2023-03-13,31.299999237060547
2023-03-14,31.5
2023-03-15,29.100000381469727
2023-03-16,28.899999618530273
2023-03-17,27.5
2023-03-20,24.0
2023-03-21,27.5
2023-03-22,27.100000381469727
2023-03-23,29.850000381469727
2023-03-24,31.25
2023-03-27,28.299999237060547
2023-03-28,27.149999618530273
2023-03-29,26.950000762939453
2023-03-30,27.5
2023-03-31,29.25
2023-04-03,27.350000381469727
2023-04-04,25.899999618530273
2023-04-05,25.5
2023-04-06,26.600000381469727
2023-04-10,24.25
2023-04-11,24.399999618530273
2023-04-12,23.5
2023-04-13,23.149999618530273
2023-04-14,22.0
2023-04-17,22.25
2023-04-18,23.649999618530273
2023-04-19,23.799999237060547
2023-04-20,24.75
2023-04-21,22.899999618530273
2023-04-24,22.049999237060547
2023-04-25,21.600000381469727
2023-04-26,21.299999237060547
2023-04-27,21.600000381469727
2023-04-28,21.5
2023-05-01,21.549999237060547
2023-05-02,20.850000381469727
2023-05-03,20.399999618530273
2023-05-04,20.5
2023-05-05,20.350000381469727
2023-05-08,20.0
2023-05-09,19.75
2023-05-10,21.350000381469727
2023-05-11,21.0
2023-05-12,19.100000381469727
2023-05-15,17.25
2023-05-16,16.850000381469727
2023-05-17,17.149999618530273
2023-05-18,18.0
2023-05-19,17.850000381469727
2023-05-22,17.5
2023-05-23,17.649999618530273
2023-05-24,16.899999618530273
2023-05-25,16.100000381469727
2023-05-26,16.100000381469727
2023-05-30,15.899999618530273
2023-05-31,16.799999237060547
2023-06-01,16.350000381469727
2023-06-02,16.049999237060547
2023-06-05,17.450000762939453
2023-06-06,17.5
2023-06-07,15.0
2023-06-08,14.449999809265137
2023-06-09,15.100000381469727
2023-06-12,14.449999809265137
2023-06-13,14.5
2023-06-14,14.149999618530273
2023-06-15,14.649999618530273
2023-06-16,15.5
2023-06-20,15.300000190734863
2023-06-21,14.75
2023-06-22,14.300000190734863
2023-06-23,13.199999809265137
2023-06-26,13.0
2023-06-27,12.5
2023-06-28,13.600000381469727
2023-06-29,14.550000190734863
2023-06-30,15.75
2023-07-03,15.949999809265137
2023-07-05,15.399999618530273
2023-07-06,13.899999618530273
2023-07-07,14.100000381469727
2023-07-10,14.449999809265137
2023-07-11,15.600000381469727
2023-07-12,15.5
2023-07-13,15.399999618530273
2023-07-14,16.100000381469727
2023-07-17,14.0
2023-07-18,15.350000381469727
2023-07-19,17.0
2023-07-20,18.299999237060547
2023-07-21,18.0
2023-07-24,19.299999237060547
2023-07-25,23.049999237060547
2023-07-26,20.649999618530273
2023-07-27,21.0
2023-07-28,21.450000762939453
2023-07-31,21.700000762939453
2023-08-01,20.350000381469727
2023-08-02,20.049999237060547
2023-08-03,20.450000762939453
2023-08-04,20.5
2023-08-07,18.799999237060547
2023-08-08,17.75
2023-08-09,18.299999237060547
2023-08-10,17.25
2023-08-11,16.950000762939453
2023-08-14,16.0
2023-08-15,15.5
2023-08-16,15.0
2023-08-17,15.0
2023-08-18,14.050000190734863
2023-08-21,13.100000381469727
2023-08-22,11.550000190734863
2023-08-23,12.050000190734863
2023-08-24,9.010000228881836
2023-08-25,8.279999732971191
2023-08-28,7.360000133514404
2023-08-29,7.909999847412109
2023-08-30,9.039999961853027
2023-08-31,10.1899995803833
2023-09-01,8.4399995803833
2023-09-05,7.920000076293945
2023-09-06,7.179999828338623
2023-09-07,6.309999942779541
2023-09-08,5.460000038146973
2023-09-11,5.289999961853027
2023-09-12,4.829999923706055
2023-09-13,4.050000190734863
2023-09-14,3.359999895095825
2023-09-15,3.4100000858306885
2023-09-18,2.990000009536743
2023-09-19,2.869999885559082
2023-09-20,2.6700000762939453
2023-09-21,2.430000066757202
2023-09-22,2.2899999618530273
2023-09-25,1.909999966621399
2023-09-26,1.7699999809265137
2023-09-27,1.3300000429153442
2023-09-28,1.2999999523162842
2023-09-29,2.0
2023-10-02,1.7799999713897705
2023-10-03,1.350000023841858
2023-10-04,1.100000023841858
2023-10-05,1.1699999570846558
2023-10-06,1.1699999570846558
2023-10-09,1.600000023841858
2023-10-10,1.7899999618530273
2023-10-11,1.7899999618530273
2023-10-12,2.7699999809265137
2023-10-13,3.109999895095825
2023-10-16,4.849999904632568
2023-10-17,4.96999979019165
2023-10-18,4.190000057220459
2023-10-19,3.7200000286102295
2023-10-20,3.700000047683716
2023-10-23,3.740000009536743
2023-10-24,3.6500000953674316
2023-10-25,2.700000047683716
2023-10-26,3.0799999237060547
2023-10-27,3.259999990463257
2023-10-30,3.4600000381469727
2023-10-31,3.549999952316284
2023-11-01,3.6700000762939453
2023-11-02,4.210000038146973
2023-11-03,3.819999933242798
2023-11-06,4.059999942779541
2023-11-07,3.380000114440918
2023-11-08,3.549999952316284
2023-11-09,3.3399999141693115
2023-11-10,3.130000114440918
2023-11-13,3.259999990463257
2023-11-14,3.5899999141693115
2023-11-15,3.2799999713897705
2023-11-16,3.130000114440918
2023-11-17,3.0799999237060547
2023-11-20,2.7699999809265137
2023-11-21,2.9100000858306885
2023-11-22,3.0399999618530273
2023-11-24,2.880000114440918
2023-11-27,2.859999895095825
2023-11-28,2.7200000286102295
2023-11-29,2.609999895095825
2023-11-30,2.6700000762939453
2023-12-01,2.819999933242798
2023-12-04,2.880000114440918
2023-12-05,2.8499999046325684
2023-12-06,2.490000009536743
2023-12-07,2.440000057220459
2023-12-08,2.490000009536743
2023-12-11,2.2799999713897705
2023-12-12,2.140000104904175
2023-12-13,2.1600000858306885
2023-12-14,2.059999942779541
2023-12-15,1.8200000524520874
2023-12-18,1.7000000476837158
2023-12-19,1.7400000095367432
2023-12-20,1.6699999570846558
2023-12-21,1.6399999856948853
2023-12-22,1.75
2023-12-26,1.8700000047683716
2023-12-27,1.8300000429153442
2023-12-28,1.7450000047683716
2023-12-29,1.7300000190734863
2024-01-02,1.7100000381469727
2024-01-03,1.5
2024-01-04,1.4299999475479126
2024-01-05,1.4199999570846558
2024-01-08,1.3799999952316284
2024-01-09,1.2699999809265137
2024-01-10,1.2200000286102295
2024-01-11,1.25
2024-01-12,0.9599999785423279
2024-01-16,0.8560000061988831
2024-01-17,0.8009999990463257
2024-01-18,0.7300000190734863
2024-01-19,0.7730000019073486
2024-01-22,0.7929999828338623
2024-01-23,0.8100000023841858
2024-01-24,0.7409999966621399
2024-01-25,0.7739999890327454
2024-01-26,0.7900000214576721
2024-01-29,0.7799999713897705
2024-01-30,0.718999981880188
2024-01-31,1.0199999809265137
2024-02-01,0.8569999933242798
2024-02-02,1.0299999713897705
2024-02-05,0.949999988079071
2024-02-06,0.8799999952316284
2024-02-07,0.9559999704360962
2024-02-08,0.9210000038146973
2024-02-09,0.9390000104904175
2024-02-12,1.0
2024-02-13,0.8600000143051147
2024-02-14,0.8500000238418579
2024-02-15,0.8500000238418579
2024-02-16,0.8240000009536743
2024-02-20,0.7409999966621399
2024-02-21,0.6899999976158142
2024-02-22,0.6039999723434448
2024-02-23,0.6100000143051147
2024-02-26,0.6000000238418579
2024-02-27,0.7139999866485596
2024-02-28,0.7300000190734863
2024-02-29,0.7559999823570251
2024-03-01,0.7049999833106995
2024-03-04,0.7799999713897705
2024-03-05,0.75
2024-03-06,0.6389999985694885
2024-03-07,0.6470000147819519
2024-03-08,0.625
2024-03-11,0.5659999847412109
2024-03-12,0.5569999814033508
2024-03-13,0.5099999904632568
2024-03-14,0.49399998784065247
2024-03-15,0.460999995470047
2024-03-18,0.5070000290870667
2024-03-19,0.593999981880188
2024-03-20,0.4519999921321869
2024-03-21,0.4580000042915344
2024-03-22,0.4490000009536743
2024-03-25,0.4230000078678131
2024-03-26,0.4320000112056732
2024-03-27,0.4480000138282776
2024-03-28,0.4320000112056732
2024-04-01,0.42500001192092896
2024-04-02,0.44699999690055847
2024-04-03,0.4359999895095825
2024-04-04,0.4269999861717224
2024-04-05,0.4359999895095825
2024-04-08,0.4129999876022339
2024-04-09,0.42800000309944153
2024-04-10,0.42500001192092896
2024-04-11,0.42399999499320984
2024-04-12,0.4009999930858612
2024-04-15,0.3720000088214874
2024-04-16,0.37700000405311584
2024-04-17,0.3889999985694885
2024-04-18,0.3709999918937683
2024-04-19,0.36899998784065247
2024-04-22,0.5
2024-04-23,0.4580000042915344
2024-04-24,0.4359999895095825
2024-04-25,0.4180000126361847
2024-04-26,0.47600001096725464
2024-04-29,0.48899999260902405
2024-04-30,0.47999998927116394
2024-05-01,0.5170000195503235
2024-05-02,0.5379999876022339
2024-05-03,0.5389999747276306
2024-05-06,0.5410000085830688
2024-05-07,0.5860000252723694
2024-05-08,0.5720000267028809
2024-05-09,0.5540000200271606
2024-05-10,0.5450000166893005
2024-05-13,0.5559999942779541
2024-05-14,0.5479999780654907
2024-05-15,0.5139999985694885
2024-05-16,0.5019999742507935
2024-05-17,0.5090000033378601
2024-05-20,0.5
2024-05-21,0.5199999809265137
2024-05-22,0.5299999713897705
2024-05-23,0.5360000133514404
2024-05-24,0.5299999713897705
2024-05-28,0.5260000228881836
2024-05-29,0.5199999809265137
2024-05-30,0.8650000095367432
2024-05-31,0.8399999737739563
2024-06-03,0.8399999737739563
2024-06-04,0.7250000238418579
2024-06-05,0.6710000038146973
2024-06-06,0.7229999899864197
2024-06-07,0.6779999732971191
2024-06-10,0.6190000176429749
2024-06-11,0.6200000047683716
2024-06-12,0.5839999914169312
2024-06-13,0.5419999957084656
2024-06-14,0.5070000290870667
2024-06-17,0.5299999713897705
2024-06-18,0.48399999737739563
2024-06-20,0.5090000033378601
2024-06-21,0.4950000047683716
2024-06-24,0.5090000033378601
2024-06-25,0.48100000619888306
2024-06-26,0.5139999985694885
2024-06-27,0.5460000038146973
2024-06-28,0.5360000133514404
2024-07-01,0.5289999842643738
2024-07-02,0.5130000114440918
2024-07-03,0.5059999823570251
2024-07-05,0.492000013589859
2024-07-08,0.5389999747276306
2024-07-09,0.515999972820282
2024-07-10,0.5289999842643738
2024-07-11,0.5699999928474426
2024-07-12,0.5899999737739563
2024-07-15,0.5709999799728394
2024-07-16,0.574999988079071
2024-07-17,0.5899999737739563
2024-07-18,0.578000009059906
2024-07-19,0.5609999895095825
2024-07-22,0.6010000109672546
2024-07-23,0.5649999976158142
2024-07-24,0.5450000166893005
2024-07-25,0.5440000295639038
2024-07-26,0.6190000176429749
2024-07-29,0.5929999947547913
2024-07-30,0.5910000205039978
2024-07-31,0.5910000205039978
2024-08-01,0.5870000123977661
2024-08-02,0.5580000281333923
2024-08-05,0.5370000004768372
2024-08-06,0.5109999775886536
2024-08-07,0.4819999933242798
2024-08-08,0.4779999852180481
2024-08-09,0.4740000069141388
2024-08-12,0.4790000021457672
2024-08-13,0.5230000019073486
2024-08-14,0.49300000071525574
2024-08-15,0.5090000033378601
2024-08-16,0.5509999990463257
2024-08-19,0.6600000262260437
2024-08-20,0.5820000171661377
2024-08-21,0.5649999976158142
2024-08-22,0.5759999752044678
2024-08-23,1.0499999523162842
2024-08-26,1.059999942779541
2024-08-27,1.0499999523162842
2024-08-28,0.8550000190734863
2024-08-29,0.8199999928474426
2024-08-30,0.7429999709129333
2024-09-03,0.7269999980926514
2024-09-04,0.7940000295639038
2024-09-05,0.7599999904632568
2024-09-06,0.7080000042915344
2024-09-09,0.6700000166893005
2024-09-10,0.6359999775886536
2024-09-11,0.6340000033378601
2024-09-12,0.5989999771118164
2024-09-13,0.5720000267028809
2024-09-16,0.5799999833106995
2024-09-17,0.4909999966621399
2024-09-18,0.48500001430511475
2024-09-19,0.4819999933242798
2024-09-20,0.49799999594688416
2024-09-23,0.48899999260902405
2024-09-24,0.4950000047683716
2024-09-25,0.5519999861717224
2024-09-26,0.5360000133514404
2024-09-27,0.4300000071525574
2024-09-30,0.44200000166893005
2024-10-01,0.41499999165534973
2024-10-02,0.38999998569488525
2024-10-03,0.375
2024-10-04,0.4099999964237213
2024-10-07,0.39399999380111694
2024-10-08,0.41499999165534973
2024-10-09,1.059999942779541
2024-10-10,0.6340000033378601
2024-10-11,0.6819999814033508
2024-10-14,0.6600000262260437
2024-10-15,0.6019999980926514
2024-10-16,0.6399999856948853
2024-10-17,0.6589999794960022
2024-10-18,0.6740000247955322
2024-10-21,0.6200000047683716
2024-10-22,0.6119999885559082
2024-10-23,0.6039999723434448
2024-10-24,0.5289999842643738
2024-10-25,0.5019999742507935
2024-10-28,0.4699999988079071
2024-10-29,0.5559999942779541
2024-10-30,0.5199999809265137
2024-10-31,0.5199999809265137
2024-11-01,0.5669999718666077
2024-11-04,0.5649999976158142
2024-11-05,0.5509999990463257
2024-11-06,0.5680000185966492
2024-11-07,0.5440000295639038
2024-11-08,0.6069999933242798
2024-11-11,0.6589999794960022
2024-11-12,0.6129999756813049
2024-11-13,0.6629999876022339
2024-11-14,0.625
2024-11-15,0.6320000290870667
2024-11-18,0.6069999933242798
2024-11-19,0.5799999833106995
2024-11-20,0.5649999976158142
2024-11-21,0.5799999833106995
