Date,BSFC
2023-02-02,420.0
2023-02-03,390.0
2023-02-06,357.0
2023-02-07,350.0
2023-02-08,370.0
2023-02-09,370.0
2023-02-10,197.0
2023-02-13,199.0
2023-02-14,170.0
2023-02-15,185.0
2023-02-16,192.0
2023-02-17,184.0
2023-02-21,173.0
2023-02-22,168.0
2023-02-23,167.0
2023-02-24,159.0
2023-02-27,163.0
2023-02-28,153.0
2023-03-01,163.0
2023-03-02,180.0
2023-03-03,171.0
2023-03-06,180.0
2023-03-07,210.0
2023-03-08,179.0
2023-03-09,181.0
2023-03-10,170.0
2023-03-13,153.0
2023-03-14,151.0
2023-03-15,144.0
2023-03-16,150.0
2023-03-17,130.0
2023-03-20,159.0
2023-03-21,177.0
2023-03-22,160.0
2023-03-23,156.0
2023-03-24,174.0
2023-03-27,166.0
2023-03-28,159.0
2023-03-29,157.0
2023-03-30,129.0
2023-03-31,127.0
2023-04-03,140.0
2023-04-04,125.0
2023-04-05,129.0
2023-04-06,132.0
2023-04-10,132.0
2023-04-11,136.0
2023-04-12,134.0
2023-04-13,145.0
2023-04-14,136.0
2023-04-17,142.0
2023-04-18,135.0
2023-04-19,132.0
2023-04-20,132.0
2023-04-21,125.0
2023-04-24,121.0
2023-04-25,113.0
2023-04-26,120.0
2023-04-27,120.0
2023-04-28,125.0
2023-05-01,118.0
2023-05-02,114.0
2023-05-03,115.0
2023-05-04,113.0
2023-05-05,113.0
2023-05-08,114.0
2023-05-09,126.0
2023-05-10,122.0
2023-05-11,116.0
2023-05-12,112.0
2023-05-15,109.0
2023-05-16,113.0
2023-05-17,123.0
2023-05-18,114.0
2023-05-19,112.0
2023-05-22,107.0
2023-05-23,108.0
2023-05-24,100.0
2023-05-25,93.0
2023-05-26,86.0
2023-05-30,107.0
2023-05-31,98.0
2023-06-01,97.0
2023-06-02,95.0
2023-06-05,85.0
2023-06-06,77.0
2023-06-07,75.0
2023-06-08,84.0
2023-06-09,79.0
2023-06-12,75.0
2023-06-13,75.0
2023-06-14,73.0
2023-06-15,72.0
2023-06-16,82.0
2023-06-20,69.0
2023-06-21,66.5
2023-06-22,64.5
2023-06-23,62.0
2023-06-26,59.5
2023-06-27,65.0
2023-06-28,59.0
2023-06-29,58.0
2023-06-30,57.0
2023-07-03,56.75
2023-07-05,54.5
2023-07-06,55.0
2023-07-07,57.5
2023-07-10,55.0
2023-07-11,59.5
2023-07-12,59.0
2023-07-13,60.0
2023-07-14,59.0
2023-07-17,55.0
2023-07-18,54.0
2023-07-19,56.5
2023-07-20,54.5
2023-07-21,51.0
2023-07-24,56.5
2023-07-25,53.25
2023-07-26,53.5
2023-07-27,53.5
2023-07-28,51.0
2023-07-31,41.95000076293945
2023-08-01,42.75
2023-08-02,43.20000076293945
2023-08-03,40.0
2023-08-04,43.75
2023-08-07,62.5
2023-08-08,46.20000076293945
2023-08-09,45.0
2023-08-10,45.900001525878906
2023-08-11,41.75
2023-08-14,46.5
2023-08-15,43.5
2023-08-16,41.5
2023-08-17,46.5
2023-08-18,44.0
2023-08-21,44.70000076293945
2023-08-22,39.5
2023-08-23,37.54999923706055
2023-08-24,35.79999923706055
2023-08-25,33.75
2023-08-28,33.0
2023-08-29,30.649999618530273
2023-08-30,29.25
2023-08-31,27.899999618530273
2023-09-01,27.0
2023-09-05,32.95000076293945
2023-09-06,23.299999237060547
2023-09-07,26.950000762939453
2023-09-08,24.0
2023-09-11,23.450000762939453
2023-09-12,22.5
2023-09-13,19.850000381469727
2023-09-14,19.399999618530273
2023-09-15,17.75
2023-09-18,16.700000762939453
2023-09-19,16.299999237060547
2023-09-20,15.800000190734863
2023-09-21,15.050000190734863
2023-09-22,14.5
2023-09-25,11.600000381469727
2023-09-26,11.449999809265137
2023-09-27,11.0
2023-09-28,11.850000381469727
2023-09-29,13.0
2023-10-02,11.399999618530273
2023-10-03,10.25
2023-10-04,9.699999809265137
2023-10-05,10.350000381469727
2023-10-06,9.699999809265137
2023-10-09,9.600000381469727
2023-10-10,9.899999618530273
2023-10-11,9.75
2023-10-12,10.0
2023-10-13,10.0
2023-10-16,9.149999618530273
2023-10-17,9.899999618530273
2023-10-18,9.449999809265137
2023-10-19,8.5
2023-10-20,7.550000190734863
2023-10-23,7.199999809265137
2023-10-24,7.449999809265137
2023-10-25,7.400000095367432
2023-10-26,7.150000095367432
2023-10-27,6.949999809265137
2023-10-30,6.5
2023-10-31,6.300000190734863
2023-11-01,6.400000095367432
2023-11-02,6.599999904632568
2023-11-03,5.650000095367432
2023-11-06,5.349999904632568
2023-11-07,5.699999809265137
2023-11-08,6.25
2023-11-09,6.400000095367432
2023-11-10,7.25
2023-11-13,8.149999618530273
2023-11-14,7.25
2023-11-15,6.199999809265137
2023-11-16,5.849999904632568
2023-11-17,6.900000095367432
2023-11-20,8.399999618530273
2023-11-21,7.699999809265137
2023-11-22,8.899999618530273
2023-11-24,8.5
2023-11-27,8.0
2023-11-28,8.0
2023-11-29,7.75
2023-11-30,7.300000190734863
2023-12-01,7.449999809265137
2023-12-04,8.25
2023-12-05,7.75
2023-12-06,7.150000095367432
2023-12-07,7.349999904632568
2023-12-08,7.849999904632568
2023-12-11,8.25
2023-12-12,8.300000190734863
2023-12-13,7.650000095367432
2023-12-14,7.949999809265137
2023-12-15,7.599999904632568
2023-12-18,7.5
2023-12-19,7.300000190734863
2023-12-20,7.25
2023-12-21,7.300000190734863
2023-12-22,7.25
2023-12-26,7.199999809265137
2023-12-27,7.800000190734863
2023-12-28,7.650000095367432
2023-12-29,7.199999809265137
2024-01-02,7.0
2024-01-03,7.050000190734863
2024-01-04,7.199999809265137
2024-01-05,7.0
2024-01-08,6.849999904632568
2024-01-09,7.099999904632568
2024-01-10,7.599999904632568
2024-01-11,6.800000190734863
2024-01-12,6.949999809265137
2024-01-16,6.900000095367432
2024-01-17,8.350000381469727
2024-01-18,7.0
2024-01-19,7.300000190734863
2024-01-22,7.050000190734863
2024-01-23,7.0
2024-01-24,6.949999809265137
2024-01-25,7.150000095367432
2024-01-26,7.150000095367432
2024-01-29,7.199999809265137
2024-01-30,6.949999809265137
2024-01-31,6.650000095367432
2024-02-01,6.75
2024-02-02,6.599999904632568
2024-02-05,6.599999904632568
2024-02-06,6.550000190734863
2024-02-07,6.599999904632568
2024-02-08,6.400000095367432
2024-02-09,6.449999809265137
2024-02-12,6.300000190734863
2024-02-13,6.25
2024-02-14,6.099999904632568
2024-02-15,6.099999904632568
2024-02-16,6.0
2024-02-20,5.900000095367432
2024-02-21,5.400000095367432
2024-02-22,4.599999904632568
2024-02-23,4.449999809265137
2024-02-26,4.699999809265137
2024-02-27,4.900000095367432
2024-02-28,5.050000190734863
2024-02-29,5.349999904632568
2024-03-01,6.099999904632568
2024-03-04,7.349999904632568
2024-03-05,5.25
2024-03-06,5.800000190734863
2024-03-07,5.650000095367432
2024-03-08,5.650000095367432
2024-03-11,5.400000095367432
2024-03-12,5.300000190734863
2024-03-13,5.5
2024-03-14,5.650000095367432
2024-03-15,5.449999809265137
2024-03-18,4.900000095367432
2024-03-19,4.75
2024-03-20,4.849999904632568
2024-03-21,4.599999904632568
2024-03-22,4.699999809265137
2024-03-25,4.800000190734863
2024-03-26,4.75
2024-03-27,4.5
2024-03-28,4.599999904632568
2024-04-01,4.449999809265137
2024-04-02,4.599999904632568
2024-04-03,4.300000190734863
2024-04-04,4.300000190734863
2024-04-05,4.050000190734863
2024-04-08,4.199999809265137
2024-04-09,4.800000190734863
2024-04-10,4.599999904632568
2024-04-11,4.25
2024-04-12,3.9000000953674316
2024-04-15,3.549999952316284
2024-04-16,3.450000047683716
2024-04-17,3.299999952316284
2024-04-18,3.200000047683716
2024-04-19,3.799999952316284
2024-04-22,3.25
2024-04-23,3.299999952316284
2024-04-24,3.299999952316284
2024-04-25,3.200000047683716
2024-04-26,3.200000047683716
2024-04-29,2.950000047683716
2024-04-30,2.799999952316284
2024-05-01,2.8499999046325684
2024-05-02,3.0
2024-05-03,3.0
2024-05-06,2.8499999046325684
2024-05-07,2.799999952316284
2024-05-08,2.6500000953674316
2024-05-09,2.700000047683716
2024-05-10,2.6500000953674316
2024-05-13,2.700000047683716
2024-05-14,2.799999952316284
2024-05-15,3.25
2024-05-16,6.900000095367432
2024-05-17,3.799999952316284
2024-05-20,3.25
2024-05-21,2.740000009536743
2024-05-22,2.3299999237060547
2024-05-23,2.509999990463257
2024-05-24,2.8399999141693115
2024-05-28,2.759999990463257
2024-05-29,2.4000000953674316
2024-05-30,2.5899999141693115
2024-05-31,2.5
2024-06-03,2.4700000286102295
2024-06-04,2.25
2024-06-05,2.5199999809265137
2024-06-06,2.609999895095825
2024-06-07,2.4600000381469727
2024-06-10,2.450000047683716
2024-06-11,2.6600000858306885
2024-06-12,2.7750000953674316
2024-06-13,2.380000114440918
2024-06-14,2.450000047683716
2024-06-17,2.440000057220459
2024-06-18,2.2300000190734863
2024-06-20,2.2899999618530273
2024-06-21,2.069999933242798
2024-06-24,1.75
2024-06-25,1.8200000524520874
2024-06-26,1.7799999713897705
2024-06-27,2.2899999618530273
2024-06-28,2.0
2024-07-01,1.9700000286102295
2024-07-02,1.809999942779541
2024-07-03,1.9500000476837158
2024-07-05,1.940000057220459
2024-07-08,1.8600000143051147
2024-07-09,1.7599999904632568
2024-07-10,1.6799999475479126
2024-07-11,2.049999952316284
2024-07-12,2.4000000953674316
2024-07-15,2.680000066757202
2024-07-16,2.3299999237060547
2024-07-17,2.509999990463257
2024-07-18,2.2799999713897705
2024-07-19,2.1600000858306885
2024-07-22,1.9900000095367432
2024-07-23,2.2100000381469727
2024-07-24,2.009999990463257
2024-07-25,1.9299999475479126
2024-07-26,1.940000057220459
2024-07-29,1.8899999856948853
2024-07-30,1.9299999475479126
2024-07-31,1.840000033378601
2024-08-01,1.7899999618530273
2024-08-02,1.850000023841858
2024-08-05,1.649999976158142
2024-08-06,1.6200000047683716
2024-08-07,1.5499999523162842
2024-08-08,1.409999966621399
2024-08-09,1.2799999713897705
2024-08-12,1.159999966621399
2024-08-13,1.1100000143051147
2024-08-14,1.149999976158142
2024-08-15,1.0399999618530273
2024-08-16,1.1200000047683716
2024-08-19,1.1100000143051147
2024-08-20,1.2000000476837158
2024-08-21,1.409999966621399
2024-08-22,1.2300000190734863
2024-08-23,1.2999999523162842
2024-08-26,1.25
2024-08-27,1.184999942779541
2024-08-28,1.100000023841858
2024-08-29,1.0700000524520874
2024-08-30,1.0800000429153442
2024-09-03,1.0700000524520874
2024-09-04,0.9300000071525574
2024-09-05,0.7400000095367432
2024-09-06,0.7649999856948853
2024-09-09,0.7599999904632568
2024-09-10,0.7689999938011169
2024-09-11,0.7829999923706055
2024-09-12,0.8109999895095825
2024-09-13,0.7409999966621399
2024-09-16,0.7360000014305115
2024-09-17,0.7300000190734863
2024-09-18,0.6909999847412109
2024-09-19,0.6499999761581421
2024-09-20,0.6309999823570251
2024-09-23,0.621999979019165
2024-09-24,0.6380000114440918
2024-09-25,0.6240000128746033
2024-09-26,0.6140000224113464
2024-09-27,0.6079999804496765
2024-09-30,0.5299999713897705
2024-10-01,0.47699999809265137
2024-10-02,0.5120000243186951
2024-10-03,0.5519999861717224
2024-10-04,0.5400000214576721
2024-10-07,0.5460000038146973
2024-10-08,0.5120000243186951
2024-10-09,0.5299999713897705
2024-10-10,0.5299999713897705
2024-10-11,0.48899999260902405
2024-10-14,0.4819999933242798
2024-10-15,0.47200000286102295
2024-10-16,0.46000000834465027
2024-10-17,0.5419999957084656
2024-10-18,0.5
2024-10-21,0.6499999761581421
2024-10-22,0.6000000238418579
2024-10-23,0.5979999899864197
2024-10-24,0.515999972820282
2024-10-25,0.38199999928474426
2024-10-28,0.39899998903274536
2024-10-29,0.36899998784065247
2024-10-30,0.32499998807907104
2024-10-31,0.3109999895095825
2024-11-01,0.30799999833106995
2024-11-04,0.32100000977516174
2024-11-05,0.30300000309944153
2024-11-06,0.2720000147819519
2024-11-07,0.29499998688697815
2024-11-08,0.3109999895095825
2024-11-11,0.3100000023841858
2024-11-12,0.28700000047683716
2024-11-13,0.2840000092983246
2024-11-14,0.28700000047683716
2024-11-15,0.25699999928474426
2024-11-18,0.2329999953508377
2024-11-19,0.21899999678134918
2024-11-20,0.2070000022649765
2024-11-21,0.22100000083446503
