Date,BSFC
2022-02-28,1790.0
2022-03-01,1790.0
2022-03-02,1680.0
2022-03-03,1760.0
2022-03-04,1770.0
2022-03-07,1890.0
2022-03-08,1960.0
2022-03-09,1880.0
2022-03-10,2120.0
2022-03-11,2570.0
2022-03-14,2220.0
2022-03-15,1920.0
2022-03-16,1930.0
2022-03-17,1940.0
2022-03-18,2020.0
2022-03-21,2065.0
2022-03-22,2100.0
2022-03-23,2220.0
2022-03-24,2320.0
2022-03-25,2160.0
2022-03-28,2050.0
2022-03-29,2050.0
2022-03-30,2090.0
2022-03-31,1950.0
2022-04-01,2090.0
2022-04-04,2090.0
2022-04-05,2060.0
2022-04-06,1930.0
2022-04-07,1860.0
2022-04-08,1710.0
2022-04-11,1700.0
2022-04-12,1550.0
2022-04-13,1650.0
2022-04-14,1620.0
2022-04-18,1500.0
2022-04-19,1520.0
2022-04-20,1570.0
2022-04-21,1600.0
2022-04-22,1530.0
2022-04-25,1550.0
2022-04-26,1515.0
2022-04-27,1510.0
2022-04-28,1510.0
2022-04-29,1530.0
2022-05-02,1430.0
2022-05-03,1430.0
2022-05-04,1420.0
2022-05-05,1430.0
2022-05-06,1430.0
2022-05-09,1320.0
2022-05-10,1280.0
2022-05-11,1190.0
2022-05-12,1130.0
2022-05-13,1140.0
2022-05-16,1180.0
2022-05-17,1230.0
2022-05-18,1260.0
2022-05-19,1250.0
2022-05-20,1360.0
2022-05-23,1390.0
2022-05-24,1390.0
2022-05-25,1340.0
2022-05-26,1350.0
2022-05-27,1380.0
2022-05-31,1350.0
2022-06-01,1370.0
2022-06-02,1380.0
2022-06-03,1370.0
2022-06-06,1420.0
2022-06-07,1480.0
2022-06-08,1590.0
2022-06-09,1580.0
2022-06-10,1450.0
2022-06-13,1460.0
2022-06-14,1430.0
2022-06-15,1320.0
2022-06-16,1280.0
2022-06-17,1090.0
2022-06-21,1200.0
2022-06-22,1080.0
2022-06-23,1190.0
2022-06-24,1480.0
2022-06-27,1340.0
2022-06-28,1300.0
2022-06-29,1260.0
2022-06-30,1240.0
2022-07-01,1190.0
2022-07-05,1440.0
2022-07-06,1340.0
2022-07-07,1400.0
2022-07-08,1340.0
2022-07-11,1400.0
2022-07-12,1370.0
2022-07-13,1320.0
2022-07-14,1380.0
2022-07-15,1340.0
2022-07-18,1410.0
2022-07-19,1310.0
2022-07-20,1370.0
2022-07-21,1370.0
2022-07-22,1290.0
2022-07-25,1300.0
2022-07-26,1280.0
2022-07-27,1310.0
2022-07-28,1280.0
2022-07-29,1300.0
2022-08-01,1250.0
2022-08-02,1250.0
2022-08-03,1260.0
2022-08-04,1280.0
2022-08-05,1280.0
2022-08-08,1310.0
2022-08-09,1270.0
2022-08-10,1250.0
2022-08-11,1288.0
2022-08-12,1305.0
2022-08-15,1380.0
2022-08-16,1280.0
2022-08-17,1250.0
2022-08-18,1230.0
2022-08-19,1220.0
2022-08-22,1300.0
2022-08-23,1280.0
2022-08-24,1270.0
2022-08-25,1220.0
2022-08-26,1250.0
2022-08-29,1200.0
2022-08-30,1180.0
2022-08-31,1150.0
2022-09-01,1140.0
2022-09-02,1120.0
2022-09-06,1130.0
2022-09-07,1100.0
2022-09-08,1100.0
2022-09-09,1110.0
2022-09-12,1060.0
2022-09-13,1060.0
2022-09-14,990.0
2022-09-15,985.0
2022-09-16,862.0
2022-09-19,850.0
2022-09-20,820.0
2022-09-21,758.0
2022-09-22,829.0
2022-09-23,903.0
2022-09-26,795.0
2022-09-27,751.0
2022-09-28,670.0
2022-09-29,645.0
2022-09-30,630.0
2022-10-03,832.0
2022-10-04,1010.0
2022-10-05,1000.0
2022-10-06,983.0
2022-10-07,918.0
2022-10-10,980.0
2022-10-11,913.0
2022-10-12,988.0
2022-10-13,880.0
2022-10-14,934.0
2022-10-17,924.0
2022-10-18,947.0
2022-10-19,890.0
2022-10-20,880.0
2022-10-21,890.0
2022-10-24,890.0
2022-10-25,943.0
2022-10-26,970.0
2022-10-27,962.0
2022-10-28,950.0
2022-10-31,910.0
2022-11-01,970.0
2022-11-02,941.0
2022-11-03,980.0
2022-11-04,970.0
2022-11-07,940.0
2022-11-08,898.0
2022-11-09,936.0
2022-11-10,917.0
2022-11-11,921.0
2022-11-14,888.0
2022-11-15,840.0
2022-11-16,799.0
2022-11-17,820.0
2022-11-18,800.0
2022-11-21,785.0
2022-11-22,790.0
2022-11-23,780.0
2022-11-25,780.0
2022-11-28,758.0
2022-11-29,752.0
2022-11-30,650.0
2022-12-01,590.0
2022-12-02,600.0
2022-12-05,578.0
2022-12-06,540.0
2022-12-07,560.0
2022-12-08,540.0
2022-12-09,490.0
2022-12-12,450.0
2022-12-13,459.0
2022-12-14,460.0
2022-12-15,490.0
2022-12-16,480.0
2022-12-19,443.0
2022-12-20,430.0
2022-12-21,486.0
2022-12-22,471.0
2022-12-23,452.0
2022-12-27,402.0
2022-12-28,350.0
2022-12-29,350.0
2022-12-30,400.0
2023-01-03,422.0
2023-01-04,399.0
2023-01-05,367.0
2023-01-06,480.0
2023-01-09,450.0
2023-01-10,445.0
2023-01-11,442.0
2023-01-12,471.0
2023-01-13,446.0
2023-01-17,430.0
2023-01-18,400.0
2023-01-19,394.0
2023-01-20,385.0
2023-01-23,375.0
2023-01-24,360.0
2023-01-25,330.0
2023-01-26,329.0
2023-01-27,370.0
2023-01-30,418.0
2023-01-31,520.0
2023-02-01,430.0
