Date,SKK
2024-10-08,6.050000190734863
2024-10-09,3.930000066757202
2024-10-10,3.25
2024-10-11,2.799999952316284
2024-10-14,2.8299999237060547
2024-10-15,3.049999952316284
2024-10-16,3.309999942779541
2024-10-17,3.75
2024-10-18,4.400000095367432
2024-10-21,4.599999904632568
2024-10-22,4.400000095367432
2024-10-23,5.159999847412109
2024-10-24,4.880000114440918
2024-10-25,4.659999847412109
2024-10-28,5.25
2024-10-29,6.170000076293945
2024-10-30,5.389999866485596
2024-10-31,4.909999847412109
2024-11-01,4.71999979019165
2024-11-04,4.71999979019165
2024-11-05,4.980000019073486
2024-11-06,4.980000019073486
2024-11-07,6.800000190734863
2024-11-08,6.630000114440918
2024-11-11,6.340000152587891
2024-11-12,6.340000152587891
2024-11-13,5.900000095367432
2024-11-14,6.340000152587891
2024-11-15,6.385000228881836
2024-11-18,7.639999866485596
2024-11-19,8.630000114440918
2024-11-20,4.559999942779541
2024-11-21,1.100000023841858
