Date,AQN
2022-02-28,14.479999542236328
2022-03-01,14.430000305175781
2022-03-02,14.59000015258789
2022-03-03,14.600000381469727
2022-03-04,14.699999809265137
2022-03-07,14.989999771118164
2022-03-08,14.920000076293945
2022-03-09,14.989999771118164
2022-03-10,15.109999656677246
2022-03-11,15.079999923706055
2022-03-14,14.739999771118164
2022-03-15,14.789999961853027
2022-03-16,14.819999694824219
2022-03-17,15.100000381469727
2022-03-18,15.270000457763672
2022-03-21,15.229999542236328
2022-03-22,15.199999809265137
2022-03-23,15.149999618530273
2022-03-24,15.270000457763672
2022-03-25,15.449999809265137
2022-03-28,15.479999542236328
2022-03-29,15.579999923706055
2022-03-30,15.5
2022-03-31,15.520000457763672
2022-04-01,15.59000015258789
2022-04-04,15.649999618530273
2022-04-05,15.729999542236328
2022-04-06,15.989999771118164
2022-04-07,15.9399995803833
2022-04-08,15.859999656677246
2022-04-11,15.710000038146973
2022-04-12,15.680000305175781
2022-04-13,15.699999809265137
2022-04-14,15.619999885559082
2022-04-18,15.529999732971191
2022-04-19,15.569999694824219
2022-04-20,15.829999923706055
2022-04-21,15.630000114440918
2022-04-22,15.270000457763672
2022-04-25,15.079999923706055
2022-04-26,14.819999694824219
2022-04-27,14.710000038146973
2022-04-28,14.8100004196167
2022-04-29,14.449999809265137
2022-05-02,14.260000228881836
2022-05-03,14.180000305175781
2022-05-04,14.0600004196167
2022-05-05,13.819999694824219
2022-05-06,13.779999732971191
2022-05-09,13.579999923706055
2022-05-10,13.550000190734863
2022-05-11,13.4399995803833
2022-05-12,13.399999618530273
2022-05-13,14.100000381469727
2022-05-16,14.119999885559082
2022-05-17,14.380000114440918
2022-05-18,14.25
2022-05-19,14.420000076293945
2022-05-20,14.420000076293945
2022-05-23,14.649999618530273
2022-05-24,14.609999656677246
2022-05-25,14.579999923706055
2022-05-26,14.5
2022-05-27,14.510000228881836
2022-05-31,14.5600004196167
2022-06-01,14.300000190734863
2022-06-02,14.640000343322754
2022-06-03,14.630000114440918
2022-06-06,14.729999542236328
2022-06-07,14.670000076293945
2022-06-08,14.619999885559082
2022-06-09,14.300000190734863
2022-06-10,14.180000305175781
2022-06-13,13.819999694824219
2022-06-14,13.1899995803833
2022-06-15,13.350000381469727
2022-06-16,13.0600004196167
2022-06-17,12.960000038146973
2022-06-21,13.180000305175781
2022-06-22,13.279999732971191
2022-06-23,13.520000457763672
2022-06-24,13.859999656677246
2022-06-27,13.930000305175781
2022-06-28,13.8100004196167
2022-06-29,13.460000038146973
2022-06-30,13.430000305175781
2022-07-01,13.779999732971191
2022-07-05,13.289999961853027
2022-07-06,13.4399995803833
2022-07-07,13.399999618530273
2022-07-08,13.479999542236328
2022-07-11,13.369999885559082
2022-07-12,13.319999694824219
2022-07-13,13.399999618530273
2022-07-14,13.279999732971191
2022-07-15,13.300000190734863
2022-07-18,13.300000190734863
2022-07-19,13.4399995803833
2022-07-20,13.319999694824219
2022-07-21,13.300000190734863
2022-07-22,13.380000114440918
2022-07-25,13.5600004196167
2022-07-26,13.569999694824219
2022-07-27,13.609999656677246
2022-07-28,13.920000076293945
2022-07-29,13.989999771118164
2022-08-01,13.989999771118164
2022-08-02,13.949999809265137
2022-08-03,14.0
2022-08-04,14.210000038146973
2022-08-05,14.069999694824219
2022-08-08,14.289999961853027
2022-08-09,14.289999961853027
2022-08-10,14.489999771118164
2022-08-11,14.470000267028809
2022-08-12,14.489999771118164
2022-08-15,14.539999961853027
2022-08-16,14.550000190734863
2022-08-17,14.460000038146973
2022-08-18,14.369999885559082
2022-08-19,14.270000457763672
2022-08-22,14.130000114440918
2022-08-23,14.229999542236328
2022-08-24,14.329999923706055
2022-08-25,14.380000114440918
2022-08-26,14.149999618530273
2022-08-29,14.180000305175781
2022-08-30,13.979999542236328
2022-08-31,13.710000038146973
2022-09-01,13.720000267028809
2022-09-02,13.699999809265137
2022-09-06,13.579999923706055
2022-09-07,13.739999771118164
2022-09-08,13.760000228881836
2022-09-09,13.770000457763672
2022-09-12,13.9399995803833
2022-09-13,13.5
2022-09-14,13.510000228881836
2022-09-15,13.40999984741211
2022-09-16,13.199999809265137
2022-09-19,13.220000267028809
2022-09-20,12.8100004196167
2022-09-21,12.75
2022-09-22,12.670000076293945
2022-09-23,12.489999771118164
2022-09-26,11.920000076293945
2022-09-27,11.6899995803833
2022-09-28,11.600000381469727
2022-09-29,11.0600004196167
2022-09-30,10.90999984741211
2022-10-03,11.4399995803833
2022-10-04,11.770000457763672
2022-10-05,11.34000015258789
2022-10-06,10.829999923706055
2022-10-07,10.720000267028809
2022-10-10,10.479999542236328
2022-10-11,10.569999694824219
2022-10-12,10.220000267028809
2022-10-13,10.489999771118164
2022-10-14,10.239999771118164
2022-10-17,10.640000343322754
2022-10-18,10.760000228881836
2022-10-19,10.59000015258789
2022-10-20,10.329999923706055
2022-10-21,10.520000457763672
2022-10-24,10.5
2022-10-25,10.789999961853027
2022-10-26,10.779999732971191
2022-10-27,10.90999984741211
2022-10-28,11.0
2022-10-31,11.0600004196167
2022-11-01,10.960000038146973
2022-11-02,10.84000015258789
2022-11-03,10.760000228881836
2022-11-04,11.0600004196167
2022-11-07,10.84000015258789
2022-11-08,11.119999885559082
2022-11-09,10.920000076293945
2022-11-10,11.510000228881836
2022-11-11,9.300000190734863
2022-11-14,7.96999979019165
2022-11-15,7.789999961853027
2022-11-16,7.679999828338623
2022-11-17,7.489999771118164
2022-11-18,7.670000076293945
2022-11-21,7.599999904632568
2022-11-22,7.5
2022-11-23,7.670000076293945
