Date,TNGX
2022-02-28,9.15999984741211
2022-03-01,9.479999542236328
2022-03-02,9.4399995803833
2022-03-03,8.739999771118164
2022-03-04,8.350000381469727
2022-03-07,8.369999885559082
2022-03-08,8.59000015258789
2022-03-09,8.65999984741211
2022-03-10,8.479999542236328
2022-03-11,8.300000190734863
2022-03-14,8.329999923706055
2022-03-15,8.829999923706055
2022-03-16,8.4399995803833
2022-03-17,8.329999923706055
2022-03-18,7.929999828338623
2022-03-21,7.639999866485596
2022-03-22,7.849999904632568
2022-03-23,7.809999942779541
2022-03-24,7.150000095367432
2022-03-25,7.010000228881836
2022-03-28,7.03000020980835
2022-03-29,7.150000095367432
2022-03-30,7.75
2022-03-31,7.579999923706055
2022-04-01,7.489999771118164
2022-04-04,8.010000228881836
2022-04-05,8.0
2022-04-06,8.0
2022-04-07,7.670000076293945
2022-04-08,7.619999885559082
2022-04-11,7.369999885559082
2022-04-12,7.489999771118164
2022-04-13,7.929999828338623
2022-04-14,7.639999866485596
2022-04-18,7.400000095367432
2022-04-19,7.420000076293945
2022-04-20,7.400000095367432
2022-04-21,7.360000133514404
2022-04-22,7.159999847412109
2022-04-25,7.179999828338623
2022-04-26,6.860000133514404
2022-04-27,7.099999904632568
2022-04-28,7.389999866485596
2022-04-29,7.360000133514404
2022-05-02,7.429999828338623
2022-05-03,7.070000171661377
2022-05-04,7.0
2022-05-05,6.559999942779541
2022-05-06,6.099999904632568
2022-05-09,5.329999923706055
2022-05-10,5.019999980926514
2022-05-11,4.639999866485596
2022-05-12,4.96999979019165
2022-05-13,5.070000171661377
2022-05-16,5.079999923706055
2022-05-17,5.630000114440918
2022-05-18,5.389999866485596
2022-05-19,5.409999847412109
2022-05-20,5.570000171661377
2022-05-23,5.579999923706055
2022-05-24,5.599999904632568
2022-05-25,5.619999885559082
2022-05-26,5.880000114440918
2022-05-27,6.21999979019165
2022-05-31,6.690000057220459
2022-06-01,6.519999980926514
2022-06-02,6.78000020980835
2022-06-03,6.800000190734863
2022-06-06,5.989999771118164
2022-06-07,5.889999866485596
2022-06-08,5.900000095367432
2022-06-09,5.289999961853027
2022-06-10,4.829999923706055
2022-06-13,3.859999895095825
2022-06-14,3.9600000381469727
2022-06-15,4.090000152587891
2022-06-16,4.119999885559082
2022-06-17,4.730000019073486
2022-06-21,4.269999980926514
2022-06-22,4.139999866485596
2022-06-23,4.230000019073486
2022-06-24,4.630000114440918
2022-06-27,4.400000095367432
2022-06-28,4.409999847412109
2022-06-29,4.320000171661377
2022-06-30,4.53000020980835
2022-07-01,4.75
2022-07-05,5.070000171661377
2022-07-06,4.849999904632568
2022-07-07,5.309999942779541
2022-07-08,5.460000038146973
2022-07-11,4.679999828338623
2022-07-12,4.610000133514404
2022-07-13,4.71999979019165
2022-07-14,4.369999885559082
2022-07-15,4.510000228881836
2022-07-18,4.25
2022-07-19,4.380000114440918
2022-07-20,4.420000076293945
2022-07-21,4.519999980926514
2022-07-22,4.159999847412109
2022-07-25,4.139999866485596
2022-07-26,4.199999809265137
2022-07-27,4.360000133514404
2022-07-28,4.309999942779541
2022-07-29,4.090000152587891
2022-08-01,3.809999942779541
2022-08-02,4.050000190734863
2022-08-03,4.119999885559082
2022-08-04,4.329999923706055
2022-08-05,4.28000020980835
2022-08-08,4.300000190734863
2022-08-09,4.059999942779541
2022-08-10,4.96999979019165
2022-08-11,5.099999904632568
2022-08-12,5.21999979019165
2022-08-15,5.389999866485596
2022-08-16,5.170000076293945
2022-08-17,5.010000228881836
2022-08-18,5.0
2022-08-19,4.900000095367432
2022-08-22,4.840000152587891
2022-08-23,4.679999828338623
2022-08-24,4.71999979019165
2022-08-25,4.510000228881836
2022-08-26,4.28000020980835
2022-08-29,4.5
2022-08-30,4.150000095367432
