Date,MLGO
2022-02-28,101.0999984741211
2022-03-01,101.19999694824219
2022-03-02,101.19999694824219
2022-03-03,101.19999694824219
2022-03-04,101.19999694824219
2022-03-07,101.19999694824219
2022-03-08,101.19999694824219
2022-03-09,101.19999694824219
2022-03-10,101.0999984741211
2022-03-11,101.1500015258789
2022-03-14,101.30000305175781
2022-03-15,101.0999984741211
2022-03-16,101.12999725341797
2022-03-17,101.4000015258789
2022-03-18,101.30000305175781
2022-03-21,101.4000015258789
2022-03-22,101.3499984741211
2022-03-23,101.4000015258789
2022-03-24,101.4000015258789
2022-03-25,101.41999816894531
2022-03-28,101.5
2022-03-29,101.5
2022-03-30,101.5
2022-03-31,101.4000015258789
2022-04-01,101.44999694824219
2022-04-04,101.44999694824219
2022-04-05,101.4000015258789
2022-04-06,101.4000015258789
2022-04-07,101.5
2022-04-08,101.5999984741211
2022-04-11,101.5
2022-04-12,101.5999984741211
2022-04-13,101.5
2022-04-14,101.69999694824219
2022-04-18,101.8499984741211
2022-04-19,101.9000015258789
2022-04-20,101.9000015258789
2022-04-21,101.9000015258789
2022-04-22,101.80000305175781
2022-04-25,101.9000015258789
2022-04-26,101.9000015258789
2022-04-27,101.69999694824219
2022-04-28,101.75
2022-04-29,101.75
2022-05-02,101.9000015258789
2022-05-03,101.94999694824219
2022-05-04,102.0
2022-05-05,102.0
2022-05-06,102.0
2022-05-09,102.01000213623047
2022-05-10,102.0999984741211
2022-05-11,102.0999984741211
2022-05-12,102.0
2022-05-13,102.0
2022-05-16,102.0
2022-05-17,102.19999694824219
2022-05-18,102.30000305175781
2022-05-19,102.19999694824219
2022-05-20,102.30000305175781
2022-05-23,102.0
2022-05-24,102.19999694824219
2022-05-25,102.30000305175781
2022-05-26,102.0999984741211
2022-05-27,102.0999984741211
2022-05-31,102.19999694824219
2022-06-01,102.30000305175781
2022-06-02,102.30000305175781
2022-06-03,102.19999694824219
2022-06-06,102.30000305175781
2022-06-07,102.4000015258789
2022-06-08,102.4000015258789
2022-06-09,102.4000015258789
2022-06-10,102.4000015258789
2022-06-13,102.4000015258789
2022-06-14,102.5
2022-06-15,102.0999984741211
2022-06-16,102.0999984741211
2022-06-17,102.30000305175781
2022-06-21,102.0999984741211
2022-06-22,102.30000305175781
2022-06-23,102.19999694824219
2022-06-24,102.19999694824219
2022-06-27,102.19999694824219
2022-06-28,102.30000305175781
2022-06-29,102.30000305175781
2022-06-30,102.19999694824219
2022-07-01,102.30000305175781
2022-07-05,102.0999984741211
2022-07-06,102.0999984741211
2022-07-07,102.19999694824219
2022-07-08,102.19999694824219
2022-07-11,102.30000305175781
